,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-488000.0,7226000.0,3192000.0,4517000.0,3780000.0,
Repurchase Of Capital Stock,,,,,,0.0
Repayment Of Debt,-2691000.0,-2500000.0,-500000.0,-4500000.0,-500000.0,
Capital Expenditure,-21000.0,,-10000.0,-44000.0,-84000.0,-120000.0
Interest Paid Supplemental Data,798000.0,916000.0,980000.0,1167000.0,1121000.0,
Income Tax Paid Supplemental Data,12000.0,753000.0,-80000.0,1087000.0,0.0,
End Cash Position,20169000.0,23365000.0,19519000.0,16585000.0,16573000.0,
Beginning Cash Position,23365000.0,19519000.0,16585000.0,16573000.0,13380000.0,
Changes In Cash,-3196000.0,3846000.0,2934000.0,12000.0,3193000.0,
Financing Cash Flow,-2708000.0,-3448000.0,-258000.0,-4505000.0,-587000.0,
Cash Flow From Continuing Financing Activities,-2708000.0,-3448000.0,-258000.0,-4505000.0,-587000.0,
Net Other Financing Charges,-17000.0,-962000.0,-96000.0,-5000.0,-87000.0,
Proceeds From Stock Option Exercised,,14000.0,,,,0.0
Net Common Stock Issuance,,,,,,0.0
Common Stock Payments,,,,,,0.0
Net Issuance Payments Of Debt,-2691000.0,-2500000.0,-500000.0,-4500000.0,-500000.0,
Net Long Term Debt Issuance,-2691000.0,-2500000.0,-500000.0,-4500000.0,-500000.0,
Long Term Debt Payments,-2691000.0,-2500000.0,-500000.0,-4500000.0,-500000.0,
Investing Cash Flow,-21000.0,206000.0,-10000.0,-44000.0,-84000.0,
Cash Flow From Continuing Investing Activities,-21000.0,206000.0,-10000.0,-44000.0,-84000.0,
Net Investment Purchase And Sale,,,,,,0.0
Sale Of Investment,,,,,,0.0
Purchase Of Investment,,,,,,0.0
Net PPE Purchase And Sale,-21000.0,-11000.0,-10000.0,-10000.0,-27000.0,
Purchase Of PPE,-21000.0,-11000.0,-10000.0,-10000.0,-27000.0,
Capital Expenditure Reported,0.0,217000.0,0.0,-34000.0,-57000.0,
Operating Cash Flow,-467000.0,7088000.0,3202000.0,4561000.0,3864000.0,
Cash Flow From Continuing Operating Activities,-467000.0,7088000.0,3202000.0,4561000.0,3864000.0,
Change In Working Capital,-3222000.0,-1663000.0,-788000.0,30000.0,3237000.0,
Change In Other Working Capital,-3000.0,2000.0,1908000.0,-888000.0,-1098000.0,
Change In Other Current Liabilities,-2000.0,-3000.0,6000.0,9000.0,0.0,
Change In Payables And Accrued Expense,-8690000.0,1817000.0,-2432000.0,2733000.0,-1231000.0,
Change In Accrued Expense,-7989000.0,1461000.0,-2225000.0,3284000.0,854000.0,
Change In Payable,-701000.0,356000.0,-207000.0,-551000.0,-2085000.0,
Change In Account Payable,-701000.0,356000.0,-207000.0,-551000.0,-2085000.0,
Change In Prepaid Assets,-290000.0,-19000.0,510000.0,-1032000.0,74000.0,
Change In Receivables,5763000.0,-3460000.0,-780000.0,-792000.0,5492000.0,
Changes In Account Receivables,5763000.0,-5525000.0,1285000.0,-792000.0,5492000.0,
Other Non Cash Items,358000.0,325000.0,174000.0,437000.0,174000.0,
Stock Based Compensation,1828000.0,1960000.0,1956000.0,1488000.0,1558000.0,
Asset Impairment Charge,,368000.0,0.0,0.0,0.0,77000.0
Depreciation Amortization Depletion,1064000.0,1078000.0,1081000.0,1074000.0,1094000.0,
Depreciation And Amortization,1064000.0,1078000.0,1081000.0,1074000.0,1094000.0,
Net Income From Continuing Operations,-495000.0,5020000.0,779000.0,1532000.0,-2199000.0,
