,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-14394996.0,1875172.0,-19940829.0,-1659328.0,5987857.0,
Repayment Of Debt,,0.0,-34790750.0,,,0.0
Issuance Of Debt,,0.0,74870337.0,,,
Issuance Of Capital Stock,12465542.0,7976081.0,11971007.0,11823970.0,3573607.0,
End Cash Position,40924712.0,51934647.0,50788037.0,29794174.0,37252672.0,
Beginning Cash Position,51934647.0,50788037.0,29794174.0,37252672.0,34926468.0,
Changes In Cash,-11009935.0,1146610.0,20993863.0,-7458498.0,2326204.0,
Financing Cash Flow,3385061.0,-728562.0,40934692.0,-5799170.0,-3661653.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,0.0,
Cash Dividends Paid,-8920740.0,-8607449.0,-8109936.0,-7470158.0,-7126302.0,
Common Stock Dividend Paid,-8920740.0,-8607449.0,-8109936.0,-7470158.0,-7126302.0,
Net Common Stock Issuance,12465542.0,7976081.0,11971007.0,11823970.0,3573607.0,
Common Stock Issuance,12465542.0,7976081.0,11971007.0,11823970.0,3573607.0,
Net Issuance Payments Of Debt,,0.0,40079587.0,,,0.0
Net Long Term Debt Issuance,,0.0,40079587.0,,,0.0
Long Term Debt Payments,,0.0,-34790750.0,,,0.0
Long Term Debt Issuance,,0.0,74870337.0,,,
Operating Cash Flow,-14394996.0,1875172.0,-19940829.0,-1659328.0,5987857.0,
Change In Working Capital,479813.0,-147637.0,902622.0,55134.0,386774.0,
Change In Other Current Liabilities,0.0,0.0,0.0,0.0,0.0,
Change In Other Current Assets,41784.0,181547.0,5500.0,-218635.0,188228.0,
Change In Accrued Expense,12427.0,-634747.0,314510.0,261512.0,58045.0,
Change In Payable,-45427.0,79044.0,523819.0,-126638.0,-157180.0,
Change In Receivables,471029.0,226519.0,58793.0,138895.0,297681.0,
Other Non Cash Items,2336992.0,1161620.0,579662.0,525588.0,164838.0,
Gain Loss On Investment Securities,8313020.0,13763935.0,-19330952.0,-6625407.0,13557762.0,
Net Income From Continuing Operations,-25524821.0,-12902746.0,-2092161.0,4385357.0,-8121517.0,
