,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,152400000.0,25100000.0,300400000.0,118700000.0,206300000.0,,
Repurchase Of Capital Stock,-26300000.0,-40100000.0,-7800000.0,-71300000.0,-39900000.0,,
Repayment Of Debt,-1286900000.0,-1062300000.0,-2193500000.0,-1247300000.0,-1217800000.0,,
Issuance Of Debt,1845600000.0,1523400000.0,1964600000.0,1255900000.0,1098600000.0,,
Capital Expenditure,-62600000.0,-98100000.0,-79100000.0,-62700000.0,-84700000.0,,
Interest Paid Supplemental Data,64000000.0,76400000.0,66200000.0,62000000.0,69600000.0,,
Income Tax Paid Supplemental Data,17300000.0,53900000.0,36300000.0,157800000.0,23500000.0,,
End Cash Position,83700000.0,64700000.0,80300000.0,155300000.0,123200000.0,,
Beginning Cash Position,64700000.0,80300000.0,155300000.0,123200000.0,83600000.0,,
Effect Of Exchange Rate Changes,-200000.0,-200000.0,100000.0,5100000.0,1500000.0,,
Changes In Cash,19200000.0,-26600000.0,-75100000.0,38200000.0,38100000.0,,
Financing Cash Flow,438600000.0,-91100000.0,-373200000.0,-112900000.0,-248300000.0,,
Cash Flow From Continuing Financing Activities,438600000.0,-91100000.0,-373200000.0,-112900000.0,-248300000.0,,
Net Other Financing Charges,-1200000.0,-416300000.0,-500000.0,-15300000.0,-7400000.0,,
Cash Dividends Paid,-92600000.0,-91100000.0,-87300000.0,-83600000.0,-81800000.0,,
Common Stock Dividend Paid,-92600000.0,,-87300000.0,-83600000.0,-81800000.0,,-71700000.0
Net Common Stock Issuance,-26300000.0,-40100000.0,-7800000.0,-71300000.0,-39900000.0,,
Common Stock Payments,-26300000.0,-40100000.0,-7800000.0,-71300000.0,-39900000.0,,
Net Issuance Payments Of Debt,558700000.0,456400000.0,-277600000.0,57300000.0,-119200000.0,,
Net Short Term Debt Issuance,85600000.0,20500000.0,-73900000.0,75900000.0,-27200000.0,,
Short Term Debt Payments,,,,,-27200000.0,,
Short Term Debt Issuance,85600000.0,,,,,,
Net Long Term Debt Issuance,473100000.0,435900000.0,-203700000.0,-18600000.0,-92000000.0,,
Long Term Debt Payments,-1286900000.0,-1087500000.0,-2168300000.0,-1274500000.0,-1190600000.0,,
Long Term Debt Issuance,1760000000.0,,,,,,
Investing Cash Flow,-634400000.0,-58700000.0,-81400000.0,-30300000.0,-4600000.0,,
Cash Flow From Continuing Investing Activities,-634400000.0,-58700000.0,-81400000.0,-30300000.0,-4600000.0,,
Net Other Investing Changes,400000.0,-2100000.0,13000000.0,-1500000.0,-1700000.0,,
Net Business Purchase And Sale,-592700000.0,39800000.0,-20600000.0,17400000.0,77800000.0,,
Sale Of Business,77000000.0,39800000.0,900000.0,17400000.0,77800000.0,,
Purchase Of Business,-669700000.0,0.0,-21500000.0,0.0,0.0,,
Net Intangibles Purchase And Sale,,,,,,53900000.0,
Sale Of Intangibles,,,,,,53900000.0,
Net PPE Purchase And Sale,-42100000.0,-96400000.0,-73800000.0,-46200000.0,-80700000.0,,
Sale Of PPE,20500000.0,1700000.0,5300000.0,16500000.0,4000000.0,,
Purchase Of PPE,-62600000.0,-98100000.0,-79100000.0,-62700000.0,-84700000.0,,
Operating Cash Flow,215000000.0,123200000.0,379500000.0,181400000.0,291000000.0,,
Cash Flow From Continuing Operating Activities,215000000.0,123200000.0,379500000.0,181400000.0,291000000.0,,
Change In Working Capital,29100000.0,-171900000.0,68900000.0,-48800000.0,92800000.0,,
Change In Other Working Capital,-13100000.0,11100000.0,15600000.0,20000000.0,-1900000.0,,
Change In Other Current Assets,-16100000.0,-7000000.0,7000000.0,900000.0,-15700000.0,,
Change In Payables And Accrued Expense,143600000.0,-80300000.0,-112900000.0,-67900000.0,118400000.0,,
Change In Payable,143600000.0,-80300000.0,-112900000.0,-67900000.0,118400000.0,,
Change In Account Payable,147800000.0,-139400000.0,41600000.0,-145500000.0,190300000.0,,
Change In Inventory,-74700000.0,-54700000.0,113200000.0,-201000000.0,194600000.0,,
Change In Receivables,-10600000.0,-41000000.0,46000000.0,199200000.0,-202600000.0,,
Changes In Account Receivables,-10600000.0,-41000000.0,46000000.0,199200000.0,-202600000.0,,
Stock Based Compensation,8100000.0,5900000.0,7400000.0,8900000.0,8000000.0,,
Deferred Tax,-700000.0,31600000.0,78500000.0,-20700000.0,-23200000.0,,
Deferred Income Tax,-700000.0,31600000.0,78500000.0,-20700000.0,-23200000.0,,
Depreciation Amortization Depletion,44800000.0,47400000.0,42900000.0,41400000.0,40600000.0,,
Depreciation And Amortization,44800000.0,47400000.0,42900000.0,41400000.0,40600000.0,,
Depreciation,44800000.0,47400000.0,42900000.0,41400000.0,40600000.0,,
Operating Gains Losses,-101200000.0,-18300000.0,-31700000.0,-36900000.0,-85600000.0,,
Earnings Losses From Equity Investments,-40800000.0,-18300000.0,-31700000.0,-36900000.0,-33300000.0,,
Gain Loss On Sale Of Business,-60400000.0,0.0,0.0,0.0,-52300000.0,,
Net Income From Continuing Operations,234900000.0,228500000.0,213500000.0,237500000.0,258400000.0,,
