,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-489000.0,2396000.0,6922000.0,-3961000.0,5060000.0,
Repayment Of Debt,-1700000.0,-4628000.0,-5100000.0,-4715000.0,-9440000.0,
Issuance Of Debt,,0.0,2825000.0,,,0.0
Capital Expenditure,-248000.0,-273000.0,-126000.0,-224000.0,-637000.0,
Interest Paid Supplemental Data,7135000.0,8494000.0,7815000.0,8399000.0,7732000.0,
Income Tax Paid Supplemental Data,,,0.0,,,0.0
End Cash Position,39159000.0,31170000.0,40572000.0,31475000.0,51468000.0,
Beginning Cash Position,31170000.0,40572000.0,31475000.0,51468000.0,31572000.0,
Changes In Cash,7989000.0,-9402000.0,9097000.0,-19993000.0,19896000.0,
Financing Cash Flow,-3006000.0,-40364000.0,-37116000.0,8885000.0,16071000.0,
Cash Flow From Continuing Financing Activities,-3006000.0,-40364000.0,-37116000.0,8885000.0,16071000.0,
Net Other Financing Charges,-13000.0,402000.0,-427000.0,-12000.0,-13000.0,
Proceeds From Stock Option Exercised,446000.0,126000.0,94000.0,256000.0,180000.0,
Cash Dividends Paid,-618000.0,-1031000.0,-202000.0,-615000.0,-612000.0,
Common Stock Dividend Paid,-618000.0,-1031000.0,-202000.0,-615000.0,-612000.0,
Net Issuance Payments Of Debt,-30700000.0,1372000.0,-39775000.0,51849000.0,-43440000.0,
Net Short Term Debt Issuance,-29000000.0,6000000.0,-37500000.0,48500000.0,-34000000.0,
Net Long Term Debt Issuance,-1700000.0,-4628000.0,-2275000.0,3349000.0,-9440000.0,
Long Term Debt Payments,-1700000.0,-4628000.0,-5100000.0,-4715000.0,-9440000.0,
Long Term Debt Issuance,,0.0,2825000.0,,,0.0
Investing Cash Flow,11236000.0,28293000.0,39165000.0,-25141000.0,-1872000.0,
Cash Flow From Continuing Investing Activities,11236000.0,28293000.0,39165000.0,-25141000.0,-1872000.0,
Net Other Investing Changes,391000.0,928000.0,1790000.0,-2372000.0,1684000.0,
Net Investment Purchase And Sale,9748000.0,31412000.0,23928000.0,-18990000.0,-9598000.0,
Sale Of Investment,30421000.0,31427000.0,27254000.0,20692000.0,22587000.0,
Purchase Of Investment,-20673000.0,-15000.0,-3326000.0,-39682000.0,-32185000.0,
Net Intangibles Purchase And Sale,,0.0,,,,0.0
Purchase Of Intangibles,,0.0,,,,0.0
Net PPE Purchase And Sale,-248000.0,-273000.0,-126000.0,-224000.0,-637000.0,
Purchase Of PPE,-248000.0,-273000.0,-126000.0,-224000.0,-637000.0,
Operating Cash Flow,-241000.0,2669000.0,7048000.0,-3737000.0,5697000.0,
Cash Flow From Continuing Operating Activities,-241000.0,2669000.0,7048000.0,-3737000.0,5697000.0,
Change In Working Capital,-2936000.0,724000.0,-943000.0,-2060000.0,1790000.0,
Change In Other Working Capital,-3432000.0,554000.0,-1334000.0,-1919000.0,1657000.0,
Change In Receivables,496000.0,170000.0,391000.0,-141000.0,133000.0,
Changes In Account Receivables,496000.0,170000.0,391000.0,-141000.0,133000.0,
Other Non Cash Items,-70000.0,-97000.0,2996000.0,-3234000.0,-97000.0,
Stock Based Compensation,260000.0,290000.0,235000.0,286000.0,174000.0,
Depreciation Amortization Depletion,639000.0,403000.0,818000.0,513000.0,665000.0,
Depreciation And Amortization,639000.0,403000.0,818000.0,513000.0,665000.0,
Amortization Cash Flow,158000.0,148000.0,290000.0,0.0,140000.0,
Amortization Of Intangibles,158000.0,148000.0,290000.0,0.0,140000.0,
Depreciation,481000.0,255000.0,528000.0,513000.0,525000.0,
Operating Gains Losses,-257000.0,-760000.0,-254000.0,-503000.0,-275000.0,
Gain Loss On Investment Securities,-71000.0,-664000.0,-133000.0,-420000.0,-210000.0,
Net Income From Continuing Operations,2413000.0,-5564000.0,626000.0,31000.0,2974000.0,
