,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30
Free Cash Flow,-7382000.0,-2706000.0,7052000.0,-1598000.0,-1329000.0,
Repurchase Of Capital Stock,-121000.0,0.0,-74000.0,-22000.0,-193000.0,
Repayment Of Debt,-128000.0,-101000.0,-67000.0,-10000.0,-12000.0,
Issuance Of Debt,100000.0,1304000.0,,,0.0,0.0
Capital Expenditure,-3174000.0,-1727000.0,-2313000.0,-1095000.0,,-6108000.0
Interest Paid Supplemental Data,142000.0,94000.0,104000.0,102000.0,103000.0,
Income Tax Paid Supplemental Data,,,0.0,0.0,1800000.0,0.0
End Cash Position,11597000.0,23869000.0,28379000.0,20457000.0,22139000.0,
Beginning Cash Position,23869000.0,28379000.0,20457000.0,22139000.0,24367000.0,
Changes In Cash,-12272000.0,-4510000.0,7922000.0,-1682000.0,-2228000.0,
Financing Cash Flow,-149000.0,1203000.0,-141000.0,-32000.0,-205000.0,
Cash Flow From Continuing Financing Activities,-149000.0,1203000.0,-141000.0,-32000.0,-205000.0,
Net Common Stock Issuance,-121000.0,0.0,-74000.0,-22000.0,-193000.0,
Common Stock Payments,-121000.0,0.0,-74000.0,-22000.0,-193000.0,
Net Issuance Payments Of Debt,-28000.0,1203000.0,-67000.0,-10000.0,-12000.0,
Net Long Term Debt Issuance,-28000.0,1203000.0,-67000.0,-10000.0,-12000.0,
Long Term Debt Payments,-128000.0,-101000.0,-67000.0,-10000.0,-12000.0,
Long Term Debt Issuance,100000.0,1304000.0,,,0.0,0.0
Investing Cash Flow,-7915000.0,-4734000.0,-1302000.0,-1147000.0,-651000.0,
Cash Flow From Continuing Investing Activities,-7915000.0,-4734000.0,-1302000.0,-1147000.0,-651000.0,
Net Other Investing Changes,,,419000.0,0.0,,
Net Investment Purchase And Sale,-1277000.0,-447000.0,354000.0,-112000.0,-669000.0,
Purchase Of Investment,-1277000.0,-447000.0,354000.0,-112000.0,-669000.0,
Net Business Purchase And Sale,-3536000.0,-2560000.0,,,-25000.0,-19000.0
Purchase Of Business,-3536000.0,-2560000.0,,,-25000.0,-19000.0
Net PPE Purchase And Sale,-3102000.0,-1727000.0,-2134000.0,-1095000.0,43000.0,
Purchase Of PPE,-3174000.0,-1727000.0,-2313000.0,-1095000.0,43000.0,
Operating Cash Flow,-4208000.0,-979000.0,9365000.0,-503000.0,-1372000.0,
Cash Flow From Continuing Operating Activities,-4208000.0,-979000.0,9365000.0,-503000.0,-1372000.0,
Change In Working Capital,2955000.0,-6293000.0,-4692000.0,12032000.0,-7013000.0,
Change In Other Working Capital,-2183000.0,507000.0,3121000.0,609000.0,-2466000.0,
Change In Payables And Accrued Expense,-212000.0,-710000.0,721000.0,1015000.0,375000.0,
Change In Prepaid Assets,-223000.0,590000.0,-223000.0,30000.0,-351000.0,
Change In Receivables,5573000.0,-6680000.0,-8311000.0,10378000.0,-4571000.0,
Changes In Account Receivables,65000.0,-1172000.0,1000.0,2066000.0,1596000.0,
Other Non Cash Items,,,7154000.0,-15354000.0,-1190000.0,-3296000.0
Stock Based Compensation,228000.0,183000.0,29000.0,29000.0,209000.0,
Deferred Tax,,,146000.0,,,
Deferred Income Tax,,,146000.0,,,
Depreciation Amortization Depletion,556000.0,566000.0,620000.0,534000.0,617000.0,
Net Income From Continuing Operations,1105000.0,4565000.0,6108000.0,2256000.0,809000.0,
