,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-8826000.0,7550000.0,-3038000.0,-13741000.0,437000.0,
Repurchase Of Capital Stock,,0.0,-244000.0,0.0,0.0,0.0
Repayment Of Debt,-625000.0,-625000.0,-625000.0,-625000.0,0.0,
Issuance Of Debt,0.0,0.0,0.0,0.0,69550000.0,
Capital Expenditure,-10500000.0,-9791000.0,-6325000.0,-8526000.0,-8203000.0,
Income Tax Paid Supplemental Data,817000.0,,449000.0,1473000.0,226000.0,498000.0
End Cash Position,31153000.0,42220000.0,35880000.0,37415000.0,43734000.0,
Beginning Cash Position,42220000.0,35880000.0,37415000.0,43734000.0,90594000.0,
Effect Of Exchange Rate Changes,-95000.0,-320000.0,-306000.0,594000.0,403000.0,
Changes In Cash,-10972000.0,6660000.0,-1229000.0,-6913000.0,-47263000.0,
Financing Cash Flow,-2146000.0,-890000.0,-1192000.0,-1313000.0,67958000.0,
Cash Flow From Continuing Financing Activities,-2146000.0,-890000.0,-1192000.0,-1313000.0,67958000.0,
Net Other Financing Charges,-3710000.0,-266000.0,-2411000.0,-715000.0,-3720000.0,
Proceeds From Stock Option Exercised,2189000.0,1000.0,2088000.0,27000.0,2128000.0,
Net Common Stock Issuance,,0.0,-244000.0,0.0,0.0,0.0
Common Stock Payments,,0.0,-244000.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,-625000.0,-625000.0,-625000.0,-625000.0,69550000.0,
Net Long Term Debt Issuance,-625000.0,-625000.0,-625000.0,-625000.0,69550000.0,
Long Term Debt Payments,-625000.0,-625000.0,-625000.0,-625000.0,0.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,69550000.0,
Investing Cash Flow,-10500000.0,-9791000.0,-3324000.0,-385000.0,-123861000.0,
Cash Flow From Continuing Investing Activities,-10500000.0,-9791000.0,-3324000.0,-385000.0,-123861000.0,
Net Other Investing Changes,,,0.0,,,
Net Investment Purchase And Sale,0.0,0.0,3001000.0,7500000.0,14060000.0,
Sale Of Investment,0.0,0.0,3000000.0,7500000.0,16998000.0,
Purchase Of Investment,0.0,0.0,1000.0,0.0,-2938000.0,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,-129718000.0,
Purchase Of Business,0.0,0.0,0.0,0.0,-129718000.0,
Net Intangibles Purchase And Sale,,,,,,0.0
Purchase Of Intangibles,,,,,,0.0
Net PPE Purchase And Sale,-10500000.0,-9150000.0,-6325000.0,-8526000.0,-8203000.0,
Sale Of PPE,,,,,,0.0
Purchase Of PPE,-10500000.0,-9791000.0,-6325000.0,-8526000.0,-8203000.0,
Operating Cash Flow,1674000.0,17341000.0,3287000.0,-5215000.0,8640000.0,
Cash Flow From Continuing Operating Activities,1674000.0,17341000.0,3287000.0,-5215000.0,8640000.0,
Change In Working Capital,-14159000.0,5012000.0,-9548000.0,-14282000.0,3219000.0,
Change In Other Working Capital,5246000.0,-1812000.0,-2359000.0,1826000.0,-4521000.0,
Change In Other Current Liabilities,-500000.0,-437000.0,-402000.0,-420000.0,-440000.0,
Change In Other Current Assets,1509000.0,5680000.0,3786000.0,2447000.0,-3750000.0,
Change In Payables And Accrued Expense,-2221000.0,6980000.0,6234000.0,-9727000.0,4020000.0,
Change In Accrued Expense,-370000.0,5306000.0,2751000.0,-9368000.0,3936000.0,
Change In Payable,-1851000.0,1674000.0,3483000.0,-359000.0,84000.0,
Change In Account Payable,-1851000.0,1674000.0,3483000.0,-359000.0,84000.0,
Change In Prepaid Assets,-5213000.0,2681000.0,-11131000.0,-2788000.0,-5123000.0,
Change In Receivables,-12980000.0,-8080000.0,-5676000.0,-5620000.0,13033000.0,
Changes In Account Receivables,-12980000.0,-8080000.0,-5676000.0,-5620000.0,13033000.0,
Other Non Cash Items,767000.0,1138000.0,741000.0,549000.0,624000.0,
Stock Based Compensation,6396000.0,6866000.0,6264000.0,6199000.0,6596000.0,
Asset Impairment Charge,,,0.0,,,
Amortization Of Securities,0.0,0.0,-13000.0,-70000.0,-196000.0,
Deferred Tax,263000.0,859000.0,1334000.0,-986000.0,-312000.0,
Deferred Income Tax,263000.0,859000.0,1334000.0,-986000.0,-312000.0,
Depreciation Amortization Depletion,3616000.0,3514000.0,3215000.0,2870000.0,1741000.0,
Depreciation And Amortization,3616000.0,3514000.0,3215000.0,2870000.0,1741000.0,
Amortization Cash Flow,2057000.0,2066000.0,2067000.0,2066000.0,1056000.0,
Amortization Of Intangibles,2057000.0,2066000.0,2067000.0,2066000.0,1056000.0,
Depreciation,1559000.0,1448000.0,1148000.0,804000.0,685000.0,
Net Income From Continuing Operations,4791000.0,-48000.0,1294000.0,1146000.0,-3032000.0,
