,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,6485000.0,13237000.0,13030000.0,8502000.0,8572000.0,
Repurchase Of Capital Stock,-370000.0,,,,,
Repayment Of Debt,-19633000.0,-29905000.0,-333000.0,-33329000.0,-10324000.0,
Issuance Of Debt,20000000.0,-33303000.0,94075000.0,,,
Capital Expenditure,-1811000.0,-2856000.0,-2188000.0,-5391000.0,-499000.0,
Interest Paid Supplemental Data,20738000.0,24922000.0,20645000.0,23937000.0,22942000.0,
Income Tax Paid Supplemental Data,19000.0,1136000.0,2745000.0,3661000.0,22000.0,
End Cash Position,328612000.0,268984000.0,179923000.0,175739000.0,77102000.0,
Beginning Cash Position,268984000.0,179923000.0,175739000.0,77102000.0,135851000.0,
Changes In Cash,59628000.0,89061000.0,4184000.0,98637000.0,-58749000.0,
Financing Cash Flow,131591000.0,91711000.0,29431000.0,90637000.0,-108483000.0,
Cash Flow From Continuing Financing Activities,131591000.0,91711000.0,29431000.0,90637000.0,-108483000.0,
Cash Dividends Paid,-6246000.0,-6162000.0,-6161000.0,-6161000.0,-6158000.0,
Common Stock Dividend Paid,-6246000.0,-6162000.0,,,-6158000.0,-6153000.0
Net Common Stock Issuance,-370000.0,,,,,
Common Stock Payments,-370000.0,,,,,
Net Issuance Payments Of Debt,146967000.0,-46387000.0,33302000.0,126588000.0,-11384000.0,
Net Short Term Debt Issuance,146600000.0,-43589000.0,-30000.0,61500000.0,-1060000.0,
Net Long Term Debt Issuance,367000.0,-2798000.0,33332000.0,65088000.0,-10324000.0,
Long Term Debt Payments,-19633000.0,-29905000.0,-333000.0,-33329000.0,-10324000.0,
Long Term Debt Issuance,20000000.0,27107000.0,33665000.0,,,
Investing Cash Flow,-80259000.0,-18743000.0,-40465000.0,-5893000.0,40663000.0,
Cash Flow From Continuing Investing Activities,-80259000.0,-18743000.0,-40465000.0,-5893000.0,40663000.0,
Net Other Investing Changes,243000.0,1060000.0,-1806000.0,-1445000.0,944000.0,
Net Investment Purchase And Sale,42109000.0,27147000.0,-19705000.0,2477000.0,31085000.0,
Sale Of Investment,61861000.0,117128000.0,30908000.0,30706000.0,31085000.0,
Purchase Of Investment,-19752000.0,-89981000.0,-50613000.0,,,-4066000.0
Net Business Purchase And Sale,,,,,,-744000.0
Sale Of Business,,,,,,-744000.0
Net PPE Purchase And Sale,-1811000.0,814000.0,-2162000.0,-5391000.0,3197000.0,
Sale Of PPE,,3670000.0,26000.0,0.0,3696000.0,1654000.0
Purchase Of PPE,-1811000.0,-2856000.0,-2188000.0,-5391000.0,-499000.0,
Operating Cash Flow,8296000.0,16093000.0,15218000.0,13893000.0,9071000.0,
Cash Flow From Continuing Operating Activities,8296000.0,16093000.0,15218000.0,13893000.0,9071000.0,
Change In Working Capital,-7162000.0,-297000.0,1981000.0,-522000.0,-4634000.0,
Change In Other Current Liabilities,7726000.0,573000.0,-2630000.0,-67000.0,-6174000.0,
Change In Other Current Assets,-15628000.0,952000.0,2416000.0,-238000.0,2408000.0,
Change In Payables And Accrued Expense,1098000.0,-1184000.0,3336000.0,-799000.0,-64000.0,
Change In Payable,1098000.0,-1184000.0,3336000.0,-799000.0,-64000.0,
Change In Account Payable,1098000.0,-1184000.0,3336000.0,-799000.0,-64000.0,
Change In Receivables,-358000.0,-638000.0,-1141000.0,582000.0,-804000.0,
Changes In Account Receivables,-358000.0,-638000.0,-1141000.0,582000.0,-804000.0,
Other Non Cash Items,-3619000.0,-4031000.0,-11896000.0,2944000.0,-4633000.0,
Stock Based Compensation,444000.0,288000.0,267000.0,-19000.0,-188000.0,
Unrealized Gain Loss On Investment Securities,-456000.0,-125000.0,21000.0,7000.0,-71000.0,
Amortization Of Securities,62000.0,-251000.0,-315000.0,-770000.0,-298000.0,
Deferred Tax,1110000.0,2265000.0,-230000.0,802000.0,1877000.0,
Deferred Income Tax,1110000.0,2265000.0,-230000.0,802000.0,1877000.0,
Depreciation Amortization Depletion,2640000.0,2615000.0,2540000.0,2701000.0,2765000.0,
Depreciation And Amortization,2640000.0,2615000.0,2540000.0,2701000.0,2765000.0,
Amortization Cash Flow,1539000.0,1539000.0,1539000.0,1710000.0,1709000.0,
Amortization Of Intangibles,1539000.0,1539000.0,1539000.0,1710000.0,1709000.0,
Depreciation,1101000.0,1076000.0,1001000.0,991000.0,1056000.0,
Operating Gains Losses,-632000.0,2347000.0,8528000.0,-7938000.0,-678000.0,
Gain Loss On Investment Securities,-510000.0,,,,,0.0
Gain Loss On Sale Of PPE,,139000.0,87000.0,528000.0,-680000.0,166000.0
Net Income From Continuing Operations,14747000.0,11976000.0,15246000.0,16956000.0,15009000.0,
