,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Free Cash Flow,1229000.0,49619000.0,20181000.0,25216000.0,-29096000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,-20740000.0,-72109000.0,
Repayment Of Debt,-2000.0,-3000.0,-3000.0,-3000.0,-2623000.0,
Capital Expenditure,-45801000.0,-47635000.0,-67643000.0,-24839000.0,-60549000.0,
End Cash Position,511490000.0,544133000.0,492256000.0,479521000.0,530708000.0,
Other Cash Adjustment Outside Changein Cash,-82000.0,-2792000.0,85000.0,-104000.0,-164000.0,
Beginning Cash Position,544133000.0,495113000.0,479521000.0,530708000.0,642200000.0,
Effect Of Exchange Rate Changes,-807000.0,-5915000.0,-9901000.0,11826000.0,19505000.0,
Changes In Cash,-31754000.0,57727000.0,22551000.0,-62909000.0,-130833000.0,
Financing Cash Flow,-1170000.0,749000.0,27000.0,-20212000.0,-74594000.0,
Cash Flow From Continuing Financing Activities,-1170000.0,749000.0,27000.0,-20212000.0,-74594000.0,
Net Other Financing Charges,464000.0,752000.0,,537000.0,150000.0,1433000.0
Proceeds From Stock Option Exercised,-1632000.0,0.0,2150000.0,-6000.0,-12000.0,
Net Common Stock Issuance,0.0,0.0,0.0,-20740000.0,-72109000.0,
Common Stock Payments,0.0,0.0,0.0,-20740000.0,-72109000.0,
Net Issuance Payments Of Debt,-2000.0,-3000.0,-3000.0,-3000.0,-2623000.0,
Net Long Term Debt Issuance,-2000.0,-3000.0,-3000.0,-3000.0,-2623000.0,
Long Term Debt Payments,-2000.0,-3000.0,-3000.0,-3000.0,-2623000.0,
Investing Cash Flow,-77614000.0,-40276000.0,-65300000.0,-92752000.0,-87692000.0,
Cash Flow From Continuing Investing Activities,-77614000.0,-40276000.0,-65300000.0,-92752000.0,-87692000.0,
Net Other Investing Changes,8000.0,2487000.0,746000.0,303000.0,546000.0,
Net Investment Purchase And Sale,-31821000.0,4872000.0,1597000.0,-68216000.0,-27689000.0,
Sale Of Investment,37399000.0,41483000.0,34675000.0,666000.0,0.0,
Purchase Of Investment,-69220000.0,-36611000.0,-33078000.0,-68882000.0,-27689000.0,
Net PPE Purchase And Sale,-45801000.0,-47635000.0,-67549000.0,-24839000.0,-60549000.0,
Purchase Of PPE,-45801000.0,-47635000.0,-67549000.0,-24839000.0,-60549000.0,
Operating Cash Flow,47030000.0,97254000.0,87824000.0,50055000.0,31453000.0,
Cash Flow From Continuing Operating Activities,47030000.0,97254000.0,87824000.0,50055000.0,31453000.0,
Change In Working Capital,-19955000.0,14424000.0,4615000.0,-1225000.0,-15734000.0,
Change In Other Current Assets,221000.0,-2187000.0,3292000.0,-1075000.0,-6410000.0,
Change In Payables And Accrued Expense,-26354000.0,20136000.0,6240000.0,-6835000.0,-3587000.0,
Change In Payable,-26354000.0,20136000.0,6240000.0,-6835000.0,-3587000.0,
Change In Account Payable,-26354000.0,20136000.0,6240000.0,-6835000.0,-3587000.0,
Change In Inventory,-5268000.0,-982000.0,1152000.0,-1400000.0,-2161000.0,
Change In Receivables,11446000.0,-2543000.0,-6069000.0,8085000.0,-3576000.0,
Changes In Account Receivables,11446000.0,-2543000.0,-6069000.0,8085000.0,-3576000.0,
Stock Based Compensation,3725000.0,2851000.0,3385000.0,3293000.0,3376000.0,
Depreciation Amortization Depletion,20010000.0,19802000.0,18371000.0,18848000.0,19594000.0,
Depreciation And Amortization,20010000.0,19802000.0,18371000.0,18848000.0,19594000.0,
Net Income From Continuing Operations,43250000.0,60177000.0,78621000.0,29139000.0,24217000.0,
