,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-13735000.0,-20324000.0,-17430000.0,-21995000.0,-17400000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,80404000.0,0.0,
Interest Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,11236000.0,11944000.0,9098000.0,94107000.0,14596000.0,
Beginning Cash Position,11944000.0,9098000.0,94107000.0,14596000.0,8932000.0,
Changes In Cash,-708000.0,2846000.0,-85009000.0,79511000.0,5664000.0,
Financing Cash Flow,747000.0,356000.0,911000.0,101160000.0,10000.0,
Cash Flow From Continuing Financing Activities,747000.0,356000.0,911000.0,101160000.0,10000.0,
Net Other Financing Charges,0.0,0.0,-35000.0,-465000.0,0.0,
Proceeds From Stock Option Exercised,747000.0,356000.0,946000.0,21221000.0,10000.0,
Net Common Stock Issuance,0.0,0.0,0.0,80404000.0,0.0,
Common Stock Issuance,0.0,0.0,0.0,80404000.0,0.0,
Investing Cash Flow,12280000.0,22814000.0,-68490000.0,346000.0,23054000.0,
Cash Flow From Continuing Investing Activities,12280000.0,22814000.0,-68490000.0,346000.0,23054000.0,
Net Investment Purchase And Sale,12280000.0,22814000.0,-68490000.0,346000.0,23054000.0,
Sale Of Investment,49300000.0,49653000.0,20400000.0,27800000.0,25071000.0,
Purchase Of Investment,-37020000.0,-26839000.0,-88890000.0,-27454000.0,-2017000.0,
Operating Cash Flow,-13735000.0,-20324000.0,-17430000.0,-21995000.0,-17400000.0,
Cash Flow From Continuing Operating Activities,-13735000.0,-20324000.0,-17430000.0,-21995000.0,-17400000.0,
Change In Working Capital,-1657000.0,-398000.0,-1175000.0,229000.0,-36000.0,
Change In Payables And Accrued Expense,-2006000.0,-864000.0,-1848000.0,1172000.0,-253000.0,
Change In Accrued Expense,-1419000.0,-1388000.0,667000.0,1902000.0,-3607000.0,
Change In Payable,-587000.0,524000.0,-2515000.0,-730000.0,3354000.0,
Change In Account Payable,-587000.0,524000.0,-2515000.0,-730000.0,3354000.0,
Change In Prepaid Assets,349000.0,466000.0,673000.0,-943000.0,217000.0,
Other Non Cash Items,146000.0,143000.0,140000.0,137000.0,134000.0,
Stock Based Compensation,4420000.0,3411000.0,2531000.0,2371000.0,1905000.0,
Amortization Of Securities,-481000.0,-713000.0,-799000.0,-335000.0,-502000.0,
Depreciation Amortization Depletion,8000.0,7000.0,8000.0,8000.0,7000.0,
Depreciation And Amortization,8000.0,7000.0,8000.0,8000.0,7000.0,
Depreciation,,,8000.0,8000.0,,
Operating Gains Losses,0.0,0.0,15000.0,,6000.0,-6000.0
Gain Loss On Investment Securities,0.0,0.0,15000.0,,6000.0,-6000.0
Net Income From Continuing Operations,-16171000.0,-22774000.0,-18150000.0,-24390000.0,-18914000.0,
