,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,73518000.0,37483000.0,87576000.0,-3909000.0,-93816000.0,
Repayment Of Debt,-265221000.0,-190219000.0,-200892000.0,-288436000.0,-348767000.0,
Issuance Of Debt,214000000.0,135000000.0,111000000.0,302000000.0,444000000.0,
Capital Expenditure,-66116000.0,-99825000.0,-90274000.0,-174651000.0,-202889000.0,
End Cash Position,39177000.0,19720000.0,35500000.0,18837000.0,16535000.0,
Beginning Cash Position,19720000.0,35500000.0,18837000.0,16535000.0,19473000.0,
Changes In Cash,19457000.0,-15780000.0,16663000.0,2302000.0,-2938000.0,
Financing Cash Flow,-56453000.0,-55038000.0,-90682000.0,13464000.0,90052000.0,
Cash Flow From Continuing Financing Activities,-56453000.0,-55038000.0,-90682000.0,13464000.0,90052000.0,
Net Other Financing Charges,-5461000.0,-132000.0,,,-7644000.0,-1904000.0
Proceeds From Stock Option Exercised,229000.0,313000.0,0.0,0.0,2463000.0,
Net Issuance Payments Of Debt,-51221000.0,-55219000.0,-89892000.0,13564000.0,95233000.0,
Net Long Term Debt Issuance,-51221000.0,-55219000.0,-89892000.0,13564000.0,95233000.0,
Long Term Debt Payments,-265221000.0,-190219000.0,-200892000.0,-288436000.0,-348767000.0,
Long Term Debt Issuance,214000000.0,135000000.0,111000000.0,302000000.0,444000000.0,
Investing Cash Flow,-63724000.0,-98050000.0,-70505000.0,-181904000.0,-202063000.0,
Cash Flow From Continuing Investing Activities,-63724000.0,-98050000.0,-70505000.0,-181904000.0,-202063000.0,
Net Other Investing Changes,,0.0,0.0,,,0.0
Net PPE Purchase And Sale,-63724000.0,-98050000.0,-70505000.0,-173510000.0,-202063000.0,
Sale Of PPE,2392000.0,1775000.0,19769000.0,1141000.0,826000.0,
Purchase Of PPE,-66116000.0,-99825000.0,-90274000.0,-174651000.0,-202889000.0,
Operating Cash Flow,139634000.0,137308000.0,177850000.0,170742000.0,109073000.0,
Cash Flow From Continuing Operating Activities,139634000.0,137308000.0,177850000.0,170742000.0,109073000.0,
Change In Working Capital,10901000.0,22981000.0,-15975000.0,17859000.0,-11524000.0,
Change In Other Working Capital,29524000.0,-4506000.0,4921000.0,21995000.0,1230000.0,
Change In Payables And Accrued Expense,28327000.0,-3790000.0,-514000.0,-5375000.0,16371000.0,
Change In Payable,28327000.0,-3790000.0,-514000.0,-5375000.0,16371000.0,
Change In Account Payable,28327000.0,-3790000.0,-514000.0,-5375000.0,16371000.0,
Change In Receivables,-46950000.0,31277000.0,-20382000.0,1239000.0,-29125000.0,
Changes In Account Receivables,-46950000.0,31277000.0,-20382000.0,1239000.0,-29125000.0,
Other Non Cash Items,7343000.0,,-7115000.0,6717000.0,6499000.0,
Deferred Tax,9331000.0,-2753000.0,50587000.0,12229000.0,5245000.0,
Deferred Income Tax,9331000.0,-2753000.0,50587000.0,12229000.0,5245000.0,
Depreciation Amortization Depletion,62190000.0,62947000.0,64037000.0,62546000.0,59043000.0,
Depreciation And Amortization,62190000.0,62947000.0,64037000.0,62546000.0,59043000.0,
Net Income From Continuing Operations,49869000.0,47519000.0,86316000.0,71391000.0,49810000.0,
