,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-822188.0,189261.0,-589583.0,-601358.0,-785274.0,
Repurchase Of Capital Stock,,,,,,-95205.0
Repayment Of Debt,,,,,,0.0
Issuance Of Debt,500000.0,0.0,0.0,1500000.0,0.0,
Capital Expenditure,-53332.0,-161146.0,-186768.0,-136917.0,-52304.0,
Interest Paid Supplemental Data,133151.0,138630.0,138630.0,112466.0,99125.0,
End Cash Position,1710280.0,2032468.0,2015749.0,2605332.0,1706690.0,
Beginning Cash Position,2032468.0,2015749.0,2605332.0,1706690.0,2491964.0,
Changes In Cash,-322188.0,16719.0,-589583.0,898642.0,-785274.0,
Financing Cash Flow,500000.0,-172542.0,0.0,1500000.0,0.0,
Cash Flow From Continuing Financing Activities,500000.0,-172542.0,0.0,1500000.0,0.0,
Proceeds From Stock Option Exercised,,0.0,0.0,0.0,0.0,0.0
Net Common Stock Issuance,,,,,,-95205.0
Common Stock Payments,,,,,,-95205.0
Net Issuance Payments Of Debt,500000.0,0.0,0.0,1500000.0,0.0,
Net Short Term Debt Issuance,,,1250000.0,,,
Short Term Debt Issuance,,,1250000.0,,,
Net Long Term Debt Issuance,500000.0,,,1250000.0,0.0,
Long Term Debt Issuance,500000.0,,,1250000.0,0.0,
Investing Cash Flow,-53332.0,-161146.0,-186768.0,-136917.0,-52304.0,
Cash Flow From Continuing Investing Activities,-53332.0,-161146.0,-186768.0,-136917.0,-52304.0,
Net Other Investing Changes,,,,,,0.0
Net PPE Purchase And Sale,-53332.0,-161146.0,-186768.0,-136917.0,-52304.0,
Purchase Of PPE,-53332.0,-161146.0,-186768.0,-136917.0,-52304.0,
Operating Cash Flow,-768856.0,350407.0,-402815.0,-464441.0,-732970.0,
Cash Flow From Continuing Operating Activities,-768856.0,350407.0,-402815.0,-464441.0,-732970.0,
Change In Working Capital,-467925.0,450428.0,143729.0,-378104.0,-278947.0,
Change In Other Working Capital,4666.0,-23494.0,5470.0,18356.0,-39009.0,
Change In Other Current Liabilities,-137815.0,-136097.0,-134399.0,-131130.0,-126327.0,
Change In Other Current Assets,,0.0,0.0,-22277.0,0.0,-14919.0
Change In Payables And Accrued Expense,-180524.0,316461.0,-143995.0,-1013575.0,887056.0,
Change In Accrued Expense,-170051.0,204028.0,-86125.0,-86344.0,2878.0,
Change In Payable,-10473.0,112433.0,-57870.0,-927231.0,884178.0,
Change In Account Payable,-10473.0,112433.0,-57870.0,-927231.0,884178.0,
Change In Prepaid Assets,-18572.0,-809.0,26704.0,44383.0,-187938.0,
Change In Inventory,350622.0,460428.0,162672.0,437108.0,-339530.0,
Change In Receivables,-486302.0,-166061.0,227277.0,289031.0,-473199.0,
Changes In Account Receivables,-486302.0,-166061.0,227277.0,289031.0,-473199.0,
Other Non Cash Items,3645.0,3646.0,3646.0,3645.0,3646.0,
Stock Based Compensation,170054.0,184850.0,183033.0,230690.0,70625.0,
Deferred Tax,,,,,,-551000.0
Deferred Income Tax,,,,,,-551000.0
Depreciation Amortization Depletion,424946.0,442271.0,464827.0,471469.0,465846.0,
Depreciation And Amortization,424946.0,442271.0,464827.0,471469.0,465846.0,
Depreciation,424946.0,442271.0,464827.0,471469.0,465846.0,
Net Income From Continuing Operations,-899576.0,-11394207.0,-1198050.0,-792141.0,-994140.0,
