,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-17990000.0,-10600000.0,-11482000.0,-10190000.0,-12241000.0,
Repayment Of Debt,-569000.0,-477000.0,-506000.0,-426000.0,-463000.0,
Issuance Of Debt,,0.0,0.0,,,0.0
Issuance Of Capital Stock,14496000.0,,,,0.0,
Capital Expenditure,-2870000.0,-2464000.0,-2689000.0,-1976000.0,-1491000.0,
End Cash Position,65392000.0,70289000.0,81610000.0,94822000.0,68528000.0,
Beginning Cash Position,70289000.0,81610000.0,94822000.0,68528000.0,80226000.0,
Effect Of Exchange Rate Changes,-238000.0,703000.0,144000.0,2521000.0,1081000.0,
Changes In Cash,-4659000.0,-12024000.0,-13356000.0,23773000.0,-12779000.0,
Financing Cash Flow,13042000.0,-385000.0,-1987000.0,33539000.0,-990000.0,
Cash Flow From Continuing Financing Activities,13042000.0,-385000.0,-1987000.0,33539000.0,-990000.0,
Interest Paid Cff,-1348000.0,-1148000.0,-1565000.0,-673000.0,-567000.0,
Proceeds From Stock Option Exercised,463000.0,147000.0,84000.0,75000.0,40000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,14496000.0,,,,0.0,
Common Stock Issuance,14496000.0,,,,0.0,
Net Issuance Payments Of Debt,-569000.0,-477000.0,-506000.0,34137000.0,-463000.0,
Net Long Term Debt Issuance,-569000.0,-477000.0,-506000.0,34137000.0,-463000.0,
Long Term Debt Payments,-569000.0,-477000.0,-506000.0,-426000.0,-463000.0,
Long Term Debt Issuance,,0.0,0.0,,,0.0
Investing Cash Flow,-2581000.0,-3503000.0,-2576000.0,-1552000.0,-1039000.0,
Cash Flow From Continuing Investing Activities,-2581000.0,-3503000.0,-2576000.0,-1552000.0,-1039000.0,
Interest Received Cfi,289000.0,353000.0,606000.0,424000.0,452000.0,
Net Investment Purchase And Sale,,493000.0,,,,0.0
Sale Of Investment,,,,,,0.0
Net Intangibles Purchase And Sale,-32000.0,115000.0,-136000.0,-41000.0,-46000.0,
Purchase Of Intangibles,-32000.0,115000.0,-136000.0,-41000.0,-46000.0,
Net PPE Purchase And Sale,-878000.0,-338000.0,-106000.0,-130000.0,0.0,
Purchase Of PPE,-878000.0,-338000.0,-106000.0,-130000.0,0.0,
Capital Expenditure Reported,-1960000.0,-2241000.0,-2447000.0,-1805000.0,-1445000.0,
Operating Cash Flow,-15120000.0,-8136000.0,-8793000.0,-8214000.0,-10750000.0,
Cash Flow From Continuing Operating Activities,-15120000.0,-8136000.0,-8793000.0,-8214000.0,-10750000.0,
Taxes Refund Paid,-34000.0,5000.0,-59000.0,-101000.0,-45000.0,
Interest Received Cfo,,,,,,680000.0
Interest Paid Cfo,,,,,,-595000.0
Change In Working Capital,-3484000.0,5103000.0,2791000.0,3596000.0,-783000.0,
Change In Payables And Accrued Expense,-3275000.0,13252000.0,863000.0,2002000.0,813000.0,
Change In Payable,-3275000.0,13252000.0,863000.0,2002000.0,813000.0,
Change In Account Payable,-3275000.0,13252000.0,863000.0,2002000.0,813000.0,
Change In Prepaid Assets,189000.0,-1726000.0,1126000.0,541000.0,393000.0,
Change In Inventory,-867000.0,211000.0,-527000.0,-610000.0,972000.0,
Change In Receivables,469000.0,-6634000.0,1329000.0,1663000.0,-2961000.0,
Changes In Account Receivables,469000.0,-6634000.0,1329000.0,1663000.0,-2961000.0,
Other Non Cash Items,1426000.0,118000.0,972000.0,3112000.0,925000.0,
Stock Based Compensation,3313000.0,3868000.0,4146000.0,4356000.0,3835000.0,
Provisionand Write Offof Assets,55000.0,221000.0,-71000.0,519000.0,37000.0,
Deferred Tax,-173000.0,-225000.0,-224000.0,-356000.0,-172000.0,
Deferred Income Tax,-173000.0,-225000.0,-224000.0,-356000.0,-172000.0,
Depreciation Amortization Depletion,2751000.0,2438000.0,2424000.0,2370000.0,2297000.0,
Depreciation And Amortization,2751000.0,2438000.0,2424000.0,2370000.0,2297000.0,
Amortization Cash Flow,1672000.0,1411000.0,1402000.0,1428000.0,1312000.0,
Amortization Of Intangibles,1672000.0,1411000.0,1402000.0,1428000.0,1312000.0,
Depreciation,1079000.0,1027000.0,1022000.0,942000.0,985000.0,
Operating Gains Losses,95000.0,-90000.0,607000.0,-58000.0,38000.0,
Gain Loss On Investment Securities,92000.0,-90000.0,607000.0,-58000.0,38000.0,
Gain Loss On Sale Of PPE,3000.0,,,,0.0,0.0
Net Income From Continuing Operations,-19069000.0,-19574000.0,-19379000.0,-21652000.0,-16882000.0,
