,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-165838.0,-955781.0,-384168.0,-1055061.0,-2382434.0,
Repurchase Of Capital Stock,,0.0,0.0,,,
Repayment Of Debt,0.0,0.0,0.0,0.0,-42671.0,
Issuance Of Debt,,1000000.0,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,,0.0,0.0,0.0,0.0,0.0
Capital Expenditure,-23975.0,-26860.0,-32384.0,-141342.0,-40156.0,
Interest Paid Supplemental Data,0.0,,,-960.0,7329.0,
Income Tax Paid Supplemental Data,0.0,-10258.0,9298.0,960.0,6369.0,
End Cash Position,38887.0,204725.0,160506.0,114652.0,1170173.0,
Beginning Cash Position,204725.0,160506.0,114652.0,1170173.0,3353732.0,
Changes In Cash,-165838.0,44219.0,45854.0,-1055521.0,-2183559.0,
Financing Cash Flow,0.0,1000000.0,430022.0,-460.0,198875.0,
Cash Flow From Continuing Financing Activities,0.0,1000000.0,430022.0,-460.0,198875.0,
Net Other Financing Charges,,,,,,-115000.0
Proceeds From Stock Option Exercised,0.0,0.0,430022.0,0.0,241546.0,
Net Common Stock Issuance,,0.0,0.0,-460.0,0.0,0.0
Common Stock Payments,,0.0,0.0,,,
Common Stock Issuance,,0.0,0.0,0.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,1000000.0,0.0,0.0,-42671.0,
Net Short Term Debt Issuance,0.0,1000000.0,0.0,0.0,-42671.0,
Short Term Debt Payments,0.0,0.0,0.0,0.0,-42671.0,
Short Term Debt Issuance,,1000000.0,0.0,0.0,0.0,0.0
Investing Cash Flow,-23975.0,-26860.0,-32384.0,-141342.0,-40156.0,
Cash Flow From Continuing Investing Activities,-23975.0,-26860.0,-32384.0,-141342.0,-40156.0,
Net PPE Purchase And Sale,,0.0,0.0,,,
Purchase Of PPE,,0.0,0.0,,,
Capital Expenditure Reported,-23975.0,-26860.0,-32384.0,-23530.0,-40156.0,
Operating Cash Flow,-141863.0,-928921.0,-351784.0,-913719.0,-2342278.0,
Cash Flow From Continuing Operating Activities,-141863.0,-928921.0,-351784.0,-913719.0,-2342278.0,
Change In Working Capital,1935906.0,-444620.0,1288547.0,599554.0,-34882.0,
Change In Other Working Capital,95858.0,13648.0,13648.0,13648.0,13648.0,
Change In Other Current Assets,-371163.0,177721.0,177721.0,175768.0,-607376.0,
Change In Payables And Accrued Expense,2118286.0,-730081.0,1015289.0,251669.0,860880.0,
Change In Payable,2118286.0,-730081.0,1015289.0,251669.0,860880.0,
Change In Account Payable,2043286.0,-730081.0,1015289.0,251669.0,867249.0,
Change In Tax Payable,0.0,0.0,0.0,0.0,-6369.0,
Change In Income Tax Payable,0.0,0.0,0.0,0.0,-6369.0,
Change In Prepaid Assets,103439.0,93642.0,82338.0,162581.0,-302034.0,
Change In Inventory,,0.0,0.0,,,0.0
Change In Receivables,-10514.0,450.0,-449.0,-4112.0,0.0,
Changes In Account Receivables,-10514.0,450.0,-449.0,-4112.0,0.0,
Other Non Cash Items,-430805.0,-258183.0,-202249.0,112470.0,90450.0,
Stock Based Compensation,277654.0,5463947.0,348555.0,203508.0,755032.0,
Depreciation Amortization Depletion,67400.0,87584.0,68458.0,68458.0,69942.0,
Depreciation And Amortization,67400.0,87584.0,68458.0,68458.0,69942.0,
Amortization Cash Flow,19824.0,,,,22366.0,
Amortization Of Intangibles,19824.0,,,,22366.0,
Depreciation,47576.0,,,,47576.0,
Operating Gains Losses,-561350.0,38214977.0,2237050.0,216150.0,-12417450.0,
Gain Loss On Investment Securities,-561350.0,38214977.0,2237050.0,216150.0,-12417450.0,
Net Income From Continuing Operations,-1430668.0,-43992626.0,-4092145.0,-2113859.0,9194630.0,
