,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,66524000.0,19434000.0,-61793000.0,58080000.0,30272000.0,
Repayment Of Debt,,,,,,0.0
Issuance Of Debt,,,,,,0.0
Issuance Of Capital Stock,13670000.0,8557000.0,23741000.0,3276000.0,2042000.0,
Capital Expenditure,,-427000.0,-129000.0,-455000.0,-327000.0,-213000.0
Interest Paid Supplemental Data,,,,,,0.0
Income Tax Paid Supplemental Data,,271000.0,3083000.0,12423000.0,274000.0,12911000.0
End Cash Position,186319000.0,129898000.0,152821000.0,144711000.0,115848000.0,
Beginning Cash Position,129898000.0,152821000.0,144711000.0,115848000.0,69331000.0,
Changes In Cash,56421000.0,-22923000.0,8110000.0,28863000.0,46517000.0,
Financing Cash Flow,9115000.0,8526000.0,21068000.0,935000.0,-21399000.0,
Cash Flow From Continuing Financing Activities,9115000.0,8526000.0,21068000.0,935000.0,-21399000.0,
Net Other Financing Charges,-4555000.0,-31000.0,-2673000.0,-2341000.0,-23441000.0,
Net Common Stock Issuance,13670000.0,8557000.0,23741000.0,3276000.0,2042000.0,
Common Stock Issuance,13670000.0,8557000.0,23741000.0,3276000.0,2042000.0,
Net Issuance Payments Of Debt,,,,,,0.0
Net Long Term Debt Issuance,,,,,,0.0
Long Term Debt Payments,,,,,,0.0
Long Term Debt Issuance,,,,,,0.0
Investing Cash Flow,-19218000.0,-51310000.0,48706000.0,-30607000.0,37317000.0,
Cash Flow From Continuing Investing Activities,-19218000.0,-51310000.0,48706000.0,-30607000.0,37317000.0,
Net Investment Purchase And Sale,-19218000.0,-50883000.0,341928000.0,-30152000.0,37644000.0,
Sale Of Investment,59220000.0,39317000.0,468556000.0,110404000.0,156201000.0,
Purchase Of Investment,-78438000.0,-90200000.0,-126628000.0,-140556000.0,-118557000.0,
Net Business Purchase And Sale,,0.0,,,,
Purchase Of Business,,0.0,,,,
Net PPE Purchase And Sale,0.0,-427000.0,-129000.0,-455000.0,-327000.0,
Purchase Of PPE,0.0,-427000.0,-129000.0,-455000.0,-327000.0,
Operating Cash Flow,66524000.0,19861000.0,-61664000.0,58535000.0,30599000.0,
Cash Flow From Continuing Operating Activities,66524000.0,19861000.0,-61664000.0,58535000.0,30599000.0,
Change In Working Capital,21754000.0,-51357000.0,-49200000.0,11492000.0,13906000.0,
Change In Payables And Accrued Expense,28672000.0,-23853000.0,-17985000.0,4298000.0,5366000.0,
Change In Accrued Expense,28623000.0,-23362000.0,3543000.0,10783000.0,1428000.0,
Change In Payable,49000.0,-491000.0,-21528000.0,-6485000.0,3938000.0,
Change In Account Payable,49000.0,-491000.0,-21528000.0,-6485000.0,3938000.0,
Change In Prepaid Assets,-12432000.0,-6905000.0,-11144000.0,-2502000.0,7372000.0,
Change In Inventory,-105000.0,-4180000.0,-12940000.0,4887000.0,4731000.0,
Change In Receivables,5619000.0,-16419000.0,-7131000.0,4809000.0,-3563000.0,
Changes In Account Receivables,5619000.0,-16419000.0,-7131000.0,4809000.0,-3563000.0,
Other Non Cash Items,4933000.0,20018000.0,3827000.0,1962000.0,4577000.0,
Stock Based Compensation,8480000.0,9651000.0,7825000.0,7507000.0,8068000.0,
Asset Impairment Charge,1815000.0,698000.0,-239000.0,920000.0,547000.0,
Amortization Of Securities,-192000.0,498000.0,-921000.0,-32000.0,-1074000.0,
Deferred Tax,5916000.0,19003000.0,-2645000.0,-7162000.0,-3990000.0,
Deferred Income Tax,5916000.0,19003000.0,-2645000.0,-7162000.0,-3990000.0,
Depreciation Amortization Depletion,26132000.0,25016000.0,24806000.0,21358000.0,20383000.0,
Depreciation And Amortization,26132000.0,25016000.0,24806000.0,21358000.0,20383000.0,
Operating Gains Losses,-21000.0,,,,9000.0,0.0
Gain Loss On Investment Securities,-21000.0,,,,9000.0,0.0
Net Income From Continuing Operations,-2293000.0,-4105000.0,-45117000.0,22499000.0,-11827000.0,
