,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-305000000.0,-1490000000.0,1036000000.0,-233000000.0,-622000000.0,,
Repurchase Of Capital Stock,,,,0.0,0.0,0.0,
Repayment Of Debt,-174000000.0,-57000000.0,14000000.0,-8000000.0,-600000000.0,,
Issuance Of Debt,143000000.0,,,,57000000.0,15000000.0,-31000000.0
Issuance Of Capital Stock,,,0.0,3000000.0,,,
Capital Expenditure,-331000000.0,-258000000.0,-607000000.0,-281000000.0,-310000000.0,,
End Cash Position,3549000000.0,4048000000.0,5725000000.0,4554000000.0,4828000000.0,,
Other Cash Adjustment Outside Changein Cash,,,,-1000000.0,,-1000000.0,
Beginning Cash Position,4048000000.0,5725000000.0,4554000000.0,4828000000.0,5718000000.0,,
Effect Of Exchange Rate Changes,26000000.0,-10000000.0,5000000.0,-41000000.0,-10000000.0,,
Changes In Cash,-525000000.0,-1667000000.0,1167000000.0,-232000000.0,-880000000.0,,
Financing Cash Flow,-207000000.0,-175000000.0,-31000000.0,-20000000.0,-709000000.0,,
Net Other Financing Charges,-46000000.0,-82000000.0,-50000000.0,20000000.0,-36000000.0,,
Cash Dividends Paid,-93000000.0,,0.0,,-93000000.0,,0.0
Net Common Stock Issuance,,,0.0,3000000.0,0.0,0.0,14000000.0
Common Stock Payments,,,,0.0,0.0,0.0,
Common Stock Issuance,,,0.0,3000000.0,,,
Net Issuance Payments Of Debt,-31000000.0,-57000000.0,56000000.0,-8000000.0,-543000000.0,,
Net Long Term Debt Issuance,-31000000.0,-57000000.0,56000000.0,-8000000.0,-543000000.0,,
Long Term Debt Payments,-174000000.0,-57000000.0,14000000.0,-8000000.0,-600000000.0,,
Long Term Debt Issuance,143000000.0,,,,57000000.0,15000000.0,-31000000.0
Investing Cash Flow,-344000000.0,-260000000.0,-445000000.0,-260000000.0,141000000.0,,
Net Other Investing Changes,1000000.0,-1000000.0,140000000.0,12000000.0,13000000.0,,
Net Business Purchase And Sale,-17000000.0,-1000000.0,-1000000.0,0.0,434000000.0,,
Sale Of Business,,,-1000000.0,0.0,438000000.0,0.0,9000000.0
Purchase Of Business,-17000000.0,-1000000.0,0.0,0.0,-4000000.0,,
Net Intangibles Purchase And Sale,0.0,,1000000.0,0.0,4000000.0,,
Sale Of Intangibles,0.0,,1000000.0,0.0,4000000.0,,
Net PPE Purchase And Sale,3000000.0,-1000000.0,32000000.0,9000000.0,-9000000.0,,
Sale Of PPE,3000000.0,,,9000000.0,,,3000000.0
Purchase Of PPE,,-1000000.0,,,-9000000.0,-9000000.0,
Capital Expenditure Reported,-331000000.0,-257000000.0,-617000000.0,-281000000.0,-301000000.0,,
Operating Cash Flow,26000000.0,-1232000000.0,1643000000.0,48000000.0,-312000000.0,,
Change In Working Capital,-163000000.0,-1091000000.0,1277000000.0,-82000000.0,-339000000.0,,
Change In Other Current Assets,-293000000.0,-230000000.0,101000000.0,144000000.0,-374000000.0,,
Change In Payable,557000000.0,-549000000.0,288000000.0,-90000000.0,290000000.0,,
Change In Inventory,146000000.0,-777000000.0,431000000.0,31000000.0,551000000.0,,
Change In Receivables,-510000000.0,163000000.0,554000000.0,-188000000.0,-679000000.0,,
Deferred Tax,15000000.0,15000000.0,81000000.0,138000000.0,0.0,,
Depreciation And Amortization,180000000.0,187000000.0,577000000.0,271000000.0,279000000.0,,
Depreciation,180000000.0,187000000.0,577000000.0,271000000.0,279000000.0,,
Gain Loss On Investment Securities,14000000.0,5000000.0,-11000000.0,,-312000000.0,16000000.0,
Net Income From Continuing Operations,-11000000.0,-334000000.0,653000000.0,-255000000.0,167000000.0,,
