,2026-03-31
Free Cash Flow,-301327.0
End Cash Position,2653957.0
Beginning Cash Position,2872627.0
Changes In Cash,-218670.0
Investing Cash Flow,82657.0
Cash Flow From Continuing Investing Activities,82657.0
Net Other Investing Changes,82657.0
Operating Cash Flow,-301327.0
Cash Flow From Continuing Operating Activities,-301327.0
Change In Working Capital,41480.0
Change In Payables And Accrued Expense,90456.0
Change In Prepaid Assets,-48976.0
Other Non Cash Items,-2314024.0
Net Income From Continuing Operations,1971217.0
