,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2083466.0,2238226.0,1526697.0,1649591.0,1425946.0,,
Repurchase Of Capital Stock,873590.0,-1998588.0,-749995.0,-749995.0,-649979.0,,
Repayment Of Debt,-54381.0,-53461.0,-52669.0,-51976.0,-138925.0,,
Capital Expenditure,,,-11750.0,-7170.0,,,
Interest Paid Supplemental Data,4624.0,3446.0,3984.0,13254.0,2937.0,,
Income Tax Paid Supplemental Data,477.0,172382.0,536561.0,59940.0,0.0,,
End Cash Position,26409558.0,28706493.0,28794806.0,28568805.0,28134321.0,,
Beginning Cash Position,28706493.0,28794806.0,28568805.0,28134321.0,28041398.0,,
Changes In Cash,-2296935.0,-88313.0,226001.0,434484.0,92923.0,,
Financing Cash Flow,-1349073.0,-2326559.0,-1292087.0,-1216131.0,-1329264.0,,
Cash Flow From Continuing Financing Activities,-1349073.0,-2326559.0,-1292087.0,-1216131.0,-1329264.0,,
Proceeds From Stock Option Exercised,41040.0,0.0,63479.0,1.0,69993.0,,
Cash Dividends Paid,-410785.0,-424495.0,-402917.0,-314142.0,-510337.0,,
Net Preferred Stock Issuance,-375003.0,-749995.0,-749995.0,-749995.0,-749995.0,,
Preferred Stock Payments,-375003.0,-749995.0,-749995.0,-749995.0,-749995.0,,
Net Common Stock Issuance,-549944.0,-1098608.0,-149985.0,-100019.0,0.0,,
Net Issuance Payments Of Debt,-54381.0,-53461.0,-52669.0,-51976.0,-138925.0,,
Net Long Term Debt Issuance,-54381.0,-53461.0,-52669.0,-51976.0,-138925.0,,
Long Term Debt Payments,-54381.0,-53461.0,-52669.0,-51976.0,-138925.0,,
Investing Cash Flow,-3031328.0,21.0,-20359.0,-6146.0,-12554.0,,
Cash Flow From Continuing Investing Activities,-3031328.0,21.0,-20359.0,-6146.0,-12554.0,,
Net Investment Purchase And Sale,-31328.0,20.0,-8609.0,1024.0,-3759.0,,
Sale Of Investment,,,,,-3759.0,-15217.0,34086.0
Net PPE Purchase And Sale,0.0,1.0,-11750.0,-7170.0,-8795.0,,
Purchase Of PPE,0.0,1.0,-11750.0,-7170.0,-8795.0,,
Operating Cash Flow,2083466.0,2238225.0,1538447.0,1656761.0,1434741.0,,
Cash Flow From Continuing Operating Activities,2083466.0,2238225.0,1538447.0,1656761.0,1434741.0,,
Change In Working Capital,-292596.0,-52778.0,-850851.0,-732692.0,-1125068.0,,
Change In Other Working Capital,108230.0,960323.0,-489711.0,-499972.0,-484327.0,,
Change In Other Current Liabilities,0.0,0.0,0.0,-203414.0,-16154.0,,
Change In Payables And Accrued Expense,280747.0,226378.0,150060.0,527730.0,-133921.0,,
Change In Accrued Expense,199798.0,346778.0,122580.0,532416.0,-128881.0,,
Change In Payable,80949.0,-120400.0,27480.0,-4686.0,-5040.0,,
Change In Account Payable,80949.0,-120400.0,27480.0,-4686.0,-5040.0,,
Change In Receivables,-681573.0,-1239479.0,-511200.0,-743745.0,-490666.0,,
Changes In Account Receivables,81417.0,-1505240.0,-245439.0,-505182.0,-281750.0,,
Stock Based Compensation,70013.0,32056.0,225000.0,101532.0,99264.0,,
Asset Impairment Charge,225000.0,348977.0,101023.0,150000.0,150000.0,,
Depreciation Amortization Depletion,95414.0,223930.0,243746.0,354079.0,344757.0,,
Depreciation And Amortization,95414.0,223930.0,243746.0,354079.0,344757.0,,
Depreciation,95414.0,223930.0,243746.0,354079.0,344757.0,,
Net Income From Continuing Operations,1985635.0,1686040.0,1819529.0,1796104.0,1965788.0,,
