,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-1266498.0,-663303.0,-1502721.0,-2185481.0,-783809.0,
Repurchase Of Capital Stock,-345000.0,,,,0.0,
Repayment Of Debt,-21095.0,-302555.0,-121017.0,-270980.0,-2448.0,
Issuance Of Debt,0.0,0.0,0.0,0.0,2520000.0,
Capital Expenditure,-1144302.0,-943333.0,-878856.0,-1280054.0,-334690.0,
Interest Paid Supplemental Data,0.0,0.0,0.0,0.0,108993.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,10936670.0,12569263.0,13535121.0,10159359.0,12615820.0,
Beginning Cash Position,12569263.0,13535121.0,10159359.0,12615820.0,10882077.0,
Changes In Cash,-1632593.0,-965858.0,3375762.0,-2456461.0,1733743.0,
Financing Cash Flow,-366095.0,-302555.0,4878483.0,-270980.0,2517552.0,
Cash Flow From Continuing Financing Activities,-366095.0,-302555.0,4878483.0,-270980.0,2517552.0,
Net Other Financing Charges,,,,,,2321063.0
Proceeds From Stock Option Exercised,,0.0,,,,
Net Common Stock Issuance,-345000.0,,,,0.0,
Common Stock Payments,-345000.0,,,,0.0,
Net Issuance Payments Of Debt,-21095.0,-302555.0,-121017.0,-270980.0,2517552.0,
Net Short Term Debt Issuance,,0.0,0.0,0.0,0.0,0.0
Short Term Debt Payments,,0.0,0.0,0.0,0.0,0.0
Short Term Debt Issuance,,,,,,0.0
Net Long Term Debt Issuance,-21095.0,-302555.0,-121017.0,-270980.0,2517552.0,
Long Term Debt Payments,-21095.0,-302555.0,-121017.0,-270980.0,-2448.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,2520000.0,
Investing Cash Flow,-1144302.0,-943333.0,-878856.0,-1280054.0,-334690.0,
Cash Flow From Continuing Investing Activities,-1144302.0,-943333.0,-878856.0,-1280054.0,-334690.0,
Net PPE Purchase And Sale,-78238.0,-107439.0,-52038.0,18193.0,-64159.0,
Purchase Of PPE,-78238.0,-107439.0,-52038.0,18193.0,-64159.0,
Capital Expenditure Reported,-1066064.0,-835894.0,-826818.0,-1298247.0,-270531.0,
Operating Cash Flow,-122196.0,280030.0,-623865.0,-905427.0,-449119.0,
Cash Flow From Continuing Operating Activities,-122196.0,280030.0,-623865.0,-905427.0,-449119.0,
Change In Working Capital,701670.0,1742242.0,90140.0,740494.0,694755.0,
Change In Other Working Capital,1050144.0,-625895.0,1177392.0,867438.0,1028780.0,
Change In Other Current Liabilities,-131504.0,-157250.0,-98153.0,-95824.0,-93865.0,
Change In Other Current Assets,0.0,0.0,0.0,0.0,45737.0,
Change In Payables And Accrued Expense,316440.0,-181970.0,-539972.0,-404268.0,1471538.0,
Change In Accrued Expense,-103045.0,-136231.0,-143264.0,-1050645.0,1727786.0,
Change In Interest Payable,0.0,-5643.0,35286.0,-455.0,-95974.0,
Change In Payable,419485.0,-45739.0,-396708.0,646377.0,-256248.0,
Change In Account Payable,419485.0,-45739.0,-396708.0,646377.0,-256248.0,
Change In Prepaid Assets,218129.0,-283953.0,-410734.0,-100428.0,-73342.0,
Change In Inventory,-497411.0,1812582.0,22471.0,1154667.0,-1503632.0,
Change In Receivables,-254128.0,1178728.0,-60864.0,-681091.0,-180461.0,
Changes In Account Receivables,-254128.0,1178728.0,-60864.0,-681091.0,-180461.0,
Other Non Cash Items,,0.0,0.0,1209291.0,1319453.0,1159915.0
Stock Based Compensation,0.0,1114.0,3343.0,3341.0,3341.0,
Asset Impairment Charge,,7319.0,0.0,,,826207.0
Depreciation Amortization Depletion,623428.0,487212.0,425736.0,388099.0,203654.0,
Depreciation And Amortization,623428.0,487212.0,425736.0,388099.0,203654.0,
Depreciation,623428.0,487212.0,425736.0,388099.0,203654.0,
Operating Gains Losses,,0.0,,,,
Net Income From Continuing Operations,-1447294.0,-1957857.0,-7278244.0,-3321470.0,-2670322.0,
