,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1750000.0,1235000.0,-10954000.0,8743000.0,906000.0,
Repayment Of Debt,-24376000.0,-25724000.0,-28255000.0,-36803000.0,-32739000.0,
Issuance Of Debt,24902000.0,26120000.0,40375000.0,26537000.0,47403000.0,
Capital Expenditure,-3556000.0,-3320000.0,-3430000.0,-7705000.0,-2310000.0,
End Cash Position,16114000.0,14889000.0,14241000.0,16109000.0,16245000.0,
Beginning Cash Position,14889000.0,14241000.0,16109000.0,16245000.0,15906000.0,
Effect Of Exchange Rate Changes,-684000.0,-354000.0,-773000.0,3499000.0,1816000.0,
Changes In Cash,1909000.0,1002000.0,-1095000.0,-3635000.0,-1477000.0,
Financing Cash Flow,-54000.0,-175000.0,9868000.0,-11154000.0,14098000.0,
Cash Flow From Continuing Financing Activities,-54000.0,-175000.0,9868000.0,-11154000.0,14098000.0,
Net Other Financing Charges,-11000.0,11000.0,-1686000.0,-306000.0,0.0,
Cash Dividends Paid,-580000.0,-571000.0,-566000.0,-582000.0,-566000.0,
Common Stock Dividend Paid,-580000.0,-571000.0,-566000.0,-582000.0,-566000.0,
Net Issuance Payments Of Debt,526000.0,396000.0,12120000.0,-10266000.0,14664000.0,
Net Long Term Debt Issuance,526000.0,396000.0,12120000.0,-10266000.0,14664000.0,
Long Term Debt Payments,-24376000.0,-25724000.0,-28255000.0,-36803000.0,-32739000.0,
Long Term Debt Issuance,24902000.0,26120000.0,40375000.0,26537000.0,47403000.0,
Investing Cash Flow,-3343000.0,-3378000.0,-3439000.0,-8929000.0,-18791000.0,
Cash Flow From Continuing Investing Activities,-3343000.0,-3378000.0,-3439000.0,-8929000.0,-18791000.0,
Net Other Investing Changes,-15000.0,-58000.0,-9000.0,-379000.0,-198000.0,
Net Business Purchase And Sale,,,,-890000.0,,
Purchase Of Business,,,,-890000.0,,
Net PPE Purchase And Sale,-3328000.0,-3320000.0,-3430000.0,-7660000.0,-2247000.0,
Sale Of PPE,228000.0,0.0,0.0,45000.0,63000.0,
Purchase Of PPE,-3556000.0,-3320000.0,-3430000.0,-7705000.0,-2310000.0,
Operating Cash Flow,5306000.0,4555000.0,-7524000.0,16448000.0,3216000.0,
Cash Flow From Continuing Operating Activities,5306000.0,4555000.0,-7524000.0,16448000.0,3216000.0,
Change In Working Capital,38000.0,-1879000.0,-11035000.0,9055000.0,-62000.0,
Other Non Cash Items,,,,1027000.0,,
Stock Based Compensation,895000.0,916000.0,862000.0,983000.0,1499000.0,
Asset Impairment Charge,0.0,,,0.0,0.0,
Deferred Tax,-2407000.0,-20297000.0,-403000.0,-791000.0,-427000.0,
Deferred Income Tax,-2407000.0,-20297000.0,-403000.0,-791000.0,-427000.0,
Depreciation Amortization Depletion,3424000.0,3337000.0,3464000.0,4705000.0,3660000.0,
Depreciation And Amortization,3424000.0,3337000.0,3464000.0,4705000.0,3660000.0,
Operating Gains Losses,,,,-26000.0,-33000.0,-30000.0
Gain Loss On Sale Of PPE,,,,,0.0,0.0
Net Income From Continuing Operations,3556000.0,22478000.0,-412000.0,1495000.0,-1421000.0,
