,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,15126000.0,12827000.0,19452000.0,81000.0,-7612000.0,
Issuance Of Capital Stock,1563000.0,1255000.0,1482000.0,1788000.0,9409000.0,
Capital Expenditure,-1257000.0,-2187000.0,-2630000.0,-8133000.0,-14212000.0,
End Cash Position,109295000.0,100092000.0,100403000.0,80532000.0,79705000.0,
Beginning Cash Position,100092000.0,100403000.0,80532000.0,79705000.0,85049000.0,
Changes In Cash,9203000.0,-311000.0,19871000.0,827000.0,-5344000.0,
Financing Cash Flow,-2979000.0,1065000.0,1166000.0,1641000.0,3198000.0,
Cash Flow From Continuing Financing Activities,-2979000.0,1065000.0,1166000.0,1641000.0,3198000.0,
Net Other Financing Charges,-4542000.0,-190000.0,-316000.0,-147000.0,-6211000.0,
Net Common Stock Issuance,1563000.0,1255000.0,1482000.0,1788000.0,9409000.0,
Common Stock Issuance,1563000.0,1255000.0,1482000.0,1788000.0,9409000.0,
Investing Cash Flow,-4201000.0,-16390000.0,-3377000.0,-9028000.0,-15142000.0,
Cash Flow From Continuing Investing Activities,-4201000.0,-16390000.0,-3377000.0,-9028000.0,-15142000.0,
Net Investment Purchase And Sale,-2944000.0,-14203000.0,-747000.0,-895000.0,-930000.0,
Sale Of Investment,14249000.0,14650000.0,13796000.0,14650000.0,12500000.0,
Purchase Of Investment,-17193000.0,-28853000.0,-14543000.0,-15545000.0,-13430000.0,
Net Intangibles Purchase And Sale,,,,,,0.0
Purchase Of Intangibles,,,,,,0.0
Capital Expenditure Reported,-1257000.0,-2187000.0,-2630000.0,-8133000.0,-14212000.0,
Operating Cash Flow,16383000.0,15014000.0,22082000.0,8214000.0,6600000.0,
Cash Flow From Continuing Operating Activities,16383000.0,15014000.0,22082000.0,8214000.0,6600000.0,
Change In Working Capital,6538000.0,-22253000.0,4087000.0,-5525000.0,2334000.0,
Change In Other Working Capital,4000.0,244000.0,26000.0,-180000.0,977000.0,
Change In Other Current Liabilities,-1828000.0,-1779000.0,-1758000.0,797000.0,117000.0,
Change In Other Current Assets,-246000.0,262000.0,-1431000.0,1943000.0,-1231000.0,
Change In Payables And Accrued Expense,-2679000.0,3676000.0,4710000.0,3031000.0,-6272000.0,
Change In Accrued Expense,-5269000.0,2963000.0,1906000.0,3023000.0,-5721000.0,
Change In Payable,2590000.0,713000.0,2804000.0,8000.0,-551000.0,
Change In Account Payable,2590000.0,713000.0,2804000.0,8000.0,-551000.0,
Change In Inventory,-964000.0,-448000.0,-1324000.0,275000.0,267000.0,
Change In Receivables,12251000.0,-24208000.0,3864000.0,-11391000.0,8476000.0,
Changes In Account Receivables,12251000.0,-24208000.0,3864000.0,-11391000.0,8476000.0,
Other Non Cash Items,1440000.0,1411000.0,1348000.0,1379000.0,1440000.0,
Stock Based Compensation,11294000.0,8423000.0,8699000.0,10140000.0,11505000.0,
Provisionand Write Offof Assets,173000.0,,,,0.0,
Amortization Of Securities,-27000.0,59000.0,-70000.0,-53000.0,-119000.0,
Depreciation Amortization Depletion,3267000.0,3088000.0,2944000.0,2826000.0,2686000.0,
Depreciation And Amortization,3267000.0,3088000.0,2944000.0,2826000.0,2686000.0,
Net Income From Continuing Operations,-6302000.0,23243000.0,5074000.0,-553000.0,-11246000.0,
