,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,32253000.0,48803000.0,41965000.0,32319000.0,3543000.0,
Capital Expenditure,-2962000.0,-3780000.0,-2792000.0,-1286000.0,-1819000.0,
Income Tax Paid Supplemental Data,164000.0,,835000.0,1432000.0,121000.0,1031000.0
End Cash Position,264793000.0,364226000.0,317210000.0,221153000.0,187765000.0,
Beginning Cash Position,364226000.0,317210000.0,221153000.0,187765000.0,240631000.0,
Effect Of Exchange Rate Changes,-58000.0,12000.0,60000.0,573000.0,74000.0,
Changes In Cash,-99375000.0,47004000.0,95997000.0,32815000.0,-52940000.0,
Financing Cash Flow,-6629000.0,-149000.0,2977000.0,-566000.0,-6484000.0,
Cash Flow From Continuing Financing Activities,-6629000.0,-149000.0,2977000.0,-566000.0,-6484000.0,
Net Other Financing Charges,-9364000.0,-3659000.0,-2814000.0,-2380000.0,-9451000.0,
Proceeds From Stock Option Exercised,2735000.0,3510000.0,5791000.0,1814000.0,2967000.0,
Investing Cash Flow,-127961000.0,-5430000.0,48263000.0,-224000.0,-51818000.0,
Cash Flow From Continuing Investing Activities,-127961000.0,-5430000.0,48263000.0,-224000.0,-51818000.0,
Net Investment Purchase And Sale,-124999000.0,1195000.0,51055000.0,1062000.0,-49999000.0,
Sale Of Investment,,51195000.0,51055000.0,,,0.0
Purchase Of Investment,-124999000.0,-50000000.0,0.0,-49999000.0,-49999000.0,
Net Business Purchase And Sale,,-2845000.0,0.0,0.0,0.0,0.0
Sale Of Business,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-2962000.0,-3780000.0,-2792000.0,-1286000.0,-1819000.0,
Purchase Of PPE,-2962000.0,-3780000.0,-2792000.0,-1286000.0,-1819000.0,
Operating Cash Flow,35215000.0,52583000.0,44757000.0,33605000.0,5362000.0,
Cash Flow From Continuing Operating Activities,35215000.0,52583000.0,44757000.0,33605000.0,5362000.0,
Change In Working Capital,-11727000.0,5478000.0,6380000.0,344000.0,-14503000.0,
Change In Other Current Liabilities,-319000.0,-799000.0,-495000.0,-609000.0,-577000.0,
Change In Other Current Assets,-132000.0,194000.0,1720000.0,-1511000.0,122000.0,
Change In Payables And Accrued Expense,-3533000.0,-1210000.0,5465000.0,2791000.0,-1769000.0,
Change In Accrued Expense,-6120000.0,-718000.0,9125000.0,6798000.0,-8889000.0,
Change In Payable,2587000.0,-492000.0,-3660000.0,-4007000.0,7120000.0,
Change In Account Payable,2587000.0,-492000.0,-3660000.0,-4007000.0,7120000.0,
Change In Prepaid Assets,-1306000.0,4362000.0,-956000.0,-2532000.0,-2928000.0,
Change In Inventory,-870000.0,-219000.0,221000.0,-565000.0,-2298000.0,
Change In Receivables,-5567000.0,3150000.0,425000.0,2770000.0,-7053000.0,
Changes In Account Receivables,-5567000.0,3150000.0,425000.0,2770000.0,-7053000.0,
Other Non Cash Items,382000.0,-11880000.0,855000.0,-229000.0,-1050000.0,
Stock Based Compensation,12761000.0,10901000.0,10757000.0,10985000.0,10958000.0,
Asset Impairment Charge,,0.0,0.0,20505000.0,0.0,2754000.0
Amortization Of Securities,-614000.0,-651000.0,,,-882000.0,
Deferred Tax,-10000.0,-568000.0,-87000.0,59000.0,15000.0,
Deferred Income Tax,-10000.0,-568000.0,-87000.0,59000.0,15000.0,
Depreciation Amortization Depletion,5430000.0,5298000.0,5266000.0,5489000.0,5362000.0,
Depreciation And Amortization,5430000.0,5298000.0,5266000.0,5489000.0,5362000.0,
Operating Gains Losses,286000.0,2856000.0,5068000.0,-3450000.0,-1585000.0,
Net Foreign Currency Exchange Gain Loss,-80000.0,11000.0,1205000.0,-3465000.0,-1585000.0,
Gain Loss On Sale Of PPE,366000.0,0.0,0.0,15000.0,0.0,
Gain Loss On Sale Of Business,,2845000.0,,,,
Net Income From Continuing Operations,28707000.0,41149000.0,19137000.0,-980000.0,7047000.0,
