,2025-12-31,2025-09-30,2024-12-31
Free Cash Flow,67079000.0,102108000.0,-4480000.0
Repurchase Of Capital Stock,-1643000.0,0.0,-36026000.0
Repayment Of Debt,-8409000.0,-19341000.0,-1701000.0
Capital Expenditure,-9779000.0,-10288000.0,-7549000.0
End Cash Position,280091000.0,215934000.0,223302000.0
Beginning Cash Position,215934000.0,189190000.0,534406000.0
Effect Of Exchange Rate Changes,18597000.0,-4850000.0,8162000.0
Changes In Cash,45560000.0,31594000.0,-319266000.0
Financing Cash Flow,-21768000.0,-85578000.0,-99591000.0
Cash Flow From Continuing Financing Activities,-21768000.0,-85578000.0,-99591000.0
Interest Paid Cff,-10689000.0,-14452000.0,-10919000.0
Cash Dividends Paid,-50234000.0,-51785000.0,-50945000.0
Net Common Stock Issuance,-1643000.0,0.0,-36026000.0
Common Stock Payments,-1643000.0,0.0,-36026000.0
Net Issuance Payments Of Debt,40798000.0,-19341000.0,-1701000.0
Net Long Term Debt Issuance,40798000.0,-19341000.0,-1701000.0
Long Term Debt Payments,-8409000.0,-19341000.0,-1701000.0
Investing Cash Flow,-9530000.0,4776000.0,-222744000.0
Cash Flow From Continuing Investing Activities,-9530000.0,4776000.0,-222744000.0
Net Other Investing Changes,,,53019000.0
Dividends Received Cfi,958000.0,,
Net Investment Purchase And Sale,820000.0,16662000.0,16298000.0
Sale Of Investment,126889000.0,74245000.0,62687000.0
Purchase Of Investment,-126069000.0,-57583000.0,-46389000.0
Net Business Purchase And Sale,-1529000.0,-4055000.0,-284512000.0
Purchase Of Business,-3772000.0,-4055000.0,-284512000.0
Net PPE Purchase And Sale,-9779000.0,-10288000.0,-7549000.0
Purchase Of PPE,-9779000.0,-10288000.0,-7549000.0
Operating Cash Flow,76858000.0,112396000.0,3069000.0
Cash Flow From Continuing Operating Activities,76858000.0,112396000.0,3069000.0
Taxes Refund Paid,-12176000.0,-10030000.0,-12580000.0
Change In Working Capital,18130000.0,36066000.0,-4796000.0
Change In Other Working Capital,-1857000.0,25841000.0,50509000.0
Change In Other Current Liabilities,32602000.0,27682000.0,45001000.0
Change In Other Current Assets,-9900000.0,-1397000.0,-49848000.0
Change In Payables And Accrued Expense,-21856000.0,2533000.0,268000.0
Change In Payable,-21856000.0,2533000.0,268000.0
Change In Account Payable,8717000.0,2230000.0,-1563000.0
Change In Tax Payable,-30298000.0,28000.0,1831000.0
Change In Income Tax Payable,-30298000.0,28000.0,1831000.0
Change In Receivables,19141000.0,-18593000.0,-50726000.0
Changes In Account Receivables,-13826000.0,-16554000.0,-49438000.0
Other Non Cash Items,42245000.0,25011000.0,-38317000.0
Stock Based Compensation,9814000.0,8101000.0,6524000.0
Depreciation Amortization Depletion,14739000.0,14326000.0,11514000.0
Depreciation And Amortization,14739000.0,14326000.0,11514000.0
Operating Gains Losses,-50698000.0,-22235000.0,29945000.0
Earnings Losses From Equity Investments,,-3609000.0,
Gain Loss On Investment Securities,-66786000.0,-4570000.0,-45187000.0
Net Foreign Currency Exchange Gain Loss,18676000.0,-14056000.0,75132000.0
Net Income From Continuing Operations,54804000.0,61157000.0,10770000.0
