,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-228800000.0,255500000.0,135000000.0,64500000.0,-202400000.0,
Repurchase Of Capital Stock,-1278700000.0,,,,0.0,
Repayment Of Debt,-7370800000.0,0.0,0.0,0.0,-2049000000.0,
Issuance Of Debt,0.0,0.0,0.0,0.0,50000000.0,
Capital Expenditure,-2200000.0,-25800000.0,-16400000.0,-12600000.0,-15500000.0,
End Cash Position,2566500000.0,922800000.0,705300000.0,571100000.0,493300000.0,
Beginning Cash Position,922800000.0,705300000.0,571100000.0,493300000.0,663300000.0,
Effect Of Exchange Rate Changes,2300000.0,-300000.0,-600000.0,5400000.0,4100000.0,
Changes In Cash,1641400000.0,217800000.0,134800000.0,72400000.0,-174100000.0,
Financing Cash Flow,-8671500000.0,-37700000.0,-300000.0,-9400000.0,-2006200000.0,
Cash Flow From Continuing Financing Activities,-8671500000.0,-37700000.0,-300000.0,-9400000.0,-2006200000.0,
Net Other Financing Charges,-20400000.0,-20100000.0,-300000.0,-9400000.0,-7200000.0,
Proceeds From Stock Option Exercised,100000.0,,,,0.0,
Cash Dividends Paid,-1700000.0,,,,0.0,
Preferred Stock Dividend Paid,-1700000.0,,,,0.0,
Net Preferred Stock Issuance,-1278700000.0,,,,0.0,
Preferred Stock Payments,-1278700000.0,,,,0.0,
Net Issuance Payments Of Debt,-7370800000.0,0.0,0.0,0.0,-1999000000.0,
Net Long Term Debt Issuance,-7370800000.0,0.0,0.0,0.0,-1999000000.0,
Long Term Debt Payments,-7370800000.0,0.0,0.0,0.0,-2049000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,0.0,50000000.0,
Investing Cash Flow,10539500000.0,-25800000.0,-16300000.0,4700000.0,2019000000.0,
Cash Flow From Continuing Investing Activities,10539500000.0,-25800000.0,-16300000.0,4700000.0,2019000000.0,
Net Other Investing Changes,,,,,,4400000.0
Net Investment Purchase And Sale,10541700000.0,,,,2034500000.0,
Sale Of Investment,10541700000.0,,,,2034500000.0,
Net Business Purchase And Sale,,0.0,100000.0,,,0.0
Sale Of Business,,0.0,100000.0,,,
Purchase Of Business,,0.0,0.0,,,0.0
Net PPE Purchase And Sale,-2200000.0,-25800000.0,-16400000.0,-2600000.0,-15500000.0,
Sale Of PPE,,0.0,0.0,,,0.0
Purchase Of PPE,-2200000.0,-25800000.0,-16400000.0,-12600000.0,-15500000.0,
Operating Cash Flow,-226600000.0,281300000.0,151400000.0,77100000.0,-186900000.0,
Cash Flow From Continuing Operating Activities,-226600000.0,281300000.0,151400000.0,77100000.0,-186900000.0,
Change In Working Capital,-352700000.0,230300000.0,-76800000.0,-64400000.0,-214300000.0,
Change In Payables And Accrued Expense,-274500000.0,117500000.0,82300000.0,105400000.0,20500000.0,
Change In Payable,-274500000.0,,82300000.0,105400000.0,20500000.0,
Change In Account Payable,,,,,20500000.0,
Change In Prepaid Assets,-21400000.0,158100000.0,-72800000.0,-27100000.0,-49000000.0,
Change In Inventory,-54700000.0,-24500000.0,22500000.0,-54100000.0,-35900000.0,
Change In Receivables,-2100000.0,66000000.0,-108800000.0,-88600000.0,-149900000.0,
Changes In Account Receivables,-2100000.0,66000000.0,-108800000.0,-88600000.0,-149900000.0,
Other Non Cash Items,-6892000000.0,10100000.0,3000000.0,37400000.0,-855400000.0,
Stock Based Compensation,5500000.0,15400000.0,10700000.0,9100000.0,7500000.0,
Asset Impairment Charge,,0.0,0.0,,,2000000.0
Deferred Tax,1465500000.0,-1383100000.0,31400000.0,-12000000.0,13300000.0,
Deferred Income Tax,1465500000.0,-1383100000.0,31400000.0,-12000000.0,13300000.0,
Depreciation Amortization Depletion,39100000.0,49100000.0,74700000.0,75200000.0,78000000.0,
Depreciation And Amortization,39100000.0,49100000.0,74700000.0,75200000.0,78000000.0,
Net Income From Continuing Operations,5508000000.0,1359500000.0,108400000.0,31800000.0,784000000.0,
