,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,64600000.0,358200000.0,454800000.0,238800000.0,83500000.0,,
Repurchase Of Capital Stock,-149500000.0,-400300000.0,0.0,0.0,-38100000.0,,
Repayment Of Debt,-53700000.0,-2400000.0,-552800000.0,-2900000.0,-403300000.0,,
Issuance Of Debt,197000000.0,0.0,0.0,0.0,0.0,,
Capital Expenditure,-176500000.0,-184800000.0,-222000000.0,-102900000.0,-168000000.0,,
Interest Paid Supplemental Data,13400000.0,96500000.0,15900000.0,106800000.0,27900000.0,,
Income Tax Paid Supplemental Data,2600000.0,106200000.0,71500000.0,111300000.0,1700000.0,,
End Cash Position,143700000.0,189400000.0,195200000.0,351000000.0,192900000.0,,
Beginning Cash Position,189400000.0,195200000.0,351000000.0,192900000.0,600800000.0,,
Changes In Cash,-45700000.0,-5800000.0,-155800000.0,158100000.0,-407900000.0,,
Financing Cash Flow,-111900000.0,-470500000.0,-618600000.0,-73200000.0,-532900000.0,,
Cash Flow From Continuing Financing Activities,-111900000.0,-470500000.0,-618600000.0,-73200000.0,-532900000.0,,
Net Other Financing Charges,,100000.0,100000.0,-1700000.0,-100000.0,-28100000.0,
Proceeds From Stock Option Exercised,-37800000.0,-3500000.0,-1200000.0,-3900000.0,-25400000.0,,
Cash Dividends Paid,-67900000.0,-64400000.0,-64700000.0,-64700000.0,-66000000.0,,
Common Stock Dividend Paid,-67900000.0,-64400000.0,-64700000.0,-64700000.0,-66000000.0,,
Net Common Stock Issuance,-149500000.0,-400300000.0,0.0,0.0,-38100000.0,,
Common Stock Payments,-149500000.0,-400300000.0,0.0,0.0,-38100000.0,,
Net Issuance Payments Of Debt,143300000.0,-2400000.0,-552800000.0,-2900000.0,-403300000.0,,
Net Short Term Debt Issuance,146600000.0,0.0,-550100000.0,0.0,-400400000.0,,
Short Term Debt Payments,-50400000.0,0.0,-550100000.0,0.0,-400400000.0,,
Short Term Debt Issuance,197000000.0,0.0,0.0,0.0,0.0,,
Net Long Term Debt Issuance,-3300000.0,-2400000.0,-2700000.0,-2900000.0,-2900000.0,,
Long Term Debt Payments,-3300000.0,-2400000.0,-2700000.0,-2900000.0,-2900000.0,,
Long Term Debt Issuance,,,,,,2000000000.0,0.0
Investing Cash Flow,-174900000.0,-78300000.0,-214000000.0,-110400000.0,-126500000.0,,
Cash Flow From Continuing Investing Activities,-174900000.0,-78300000.0,-214000000.0,-110400000.0,-126500000.0,,
Net Other Investing Changes,,2000000.0,7500000.0,900000.0,100000.0,100000.0,
Net Business Purchase And Sale,0.0,103400000.0,-3300000.0,-9900000.0,23700000.0,,
Sale Of Business,0.0,108400000.0,0.0,-4700000.0,23700000.0,,
Purchase Of Business,,-5000000.0,-3300000.0,,,-2059800000.0,-13000000.0
Net PPE Purchase And Sale,-174900000.0,-183700000.0,-218200000.0,-101400000.0,-150300000.0,,
Sale Of PPE,1600000.0,1100000.0,3800000.0,1500000.0,17700000.0,,
Purchase Of PPE,-176500000.0,-184800000.0,-222000000.0,-102900000.0,-168000000.0,,
Operating Cash Flow,241100000.0,543000000.0,676800000.0,341700000.0,251500000.0,,
Cash Flow From Continuing Operating Activities,241100000.0,542900000.0,676800000.0,341700000.0,251500000.0,,
Change In Working Capital,-130500000.0,157600000.0,16700000.0,-187800000.0,-85200000.0,,
Other Non Cash Items,17000000.0,29300000.0,19900000.0,17100000.0,17400000.0,,
Stock Based Compensation,15500000.0,13200000.0,16900000.0,19100000.0,13900000.0,,
Asset Impairment Charge,,0.0,,,,0.0,
Deferred Tax,3300000.0,-30400000.0,67800000.0,-9500000.0,-1800000.0,,
Deferred Income Tax,3300000.0,-30400000.0,67800000.0,-9500000.0,-1800000.0,,
Depreciation Amortization Depletion,170300000.0,164500000.0,191400000.0,185400000.0,186400000.0,,
Depreciation And Amortization,170300000.0,,,,186400000.0,,
Depreciation,170300000.0,,,,186400000.0,,
Operating Gains Losses,-500000.0,-44000000.0,-11000000.0,-3400000.0,-8600000.0,,
Pension And Employee Benefit Expense,-800000.0,-800000.0,-10400000.0,-2200000.0,-1200000.0,,
Gain Loss On Sale Of PPE,300000.0,-43200000.0,-600000.0,-1200000.0,-7400000.0,,
Net Income From Continuing Operations,166000000.0,252800000.0,375100000.0,320800000.0,129400000.0,,
