,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,326400000.0,276100000.0,336100000.0,188700000.0,391000000.0,
Repurchase Of Capital Stock,-1626900000.0,-223800000.0,-100100000.0,-100000000.0,-200100000.0,
Repayment Of Debt,-2515000000.0,0.0,0.0,-500000000.0,0.0,
Issuance Of Debt,2249000000.0,0.0,1497900000.0,0.0,698300000.0,
Capital Expenditure,-64000000.0,-67200000.0,-67400000.0,-55800000.0,-53700000.0,
Interest Paid Supplemental Data,60000000.0,65500000.0,24900000.0,49500000.0,10400000.0,
Income Tax Paid Supplemental Data,6100000.0,69000000.0,51700000.0,164700000.0,,69300000.0
End Cash Position,524500000.0,2178200000.0,2107900000.0,628700000.0,1112100000.0,
Beginning Cash Position,2178200000.0,2107900000.0,628700000.0,1112100000.0,291200000.0,
Effect Of Exchange Rate Changes,-1800000.0,-3400000.0,4900000.0,11700000.0,700000.0,
Changes In Cash,-1651900000.0,73700000.0,1474300000.0,-495100000.0,820200000.0,
Financing Cash Flow,-1977900000.0,-284400000.0,1305300000.0,-659000000.0,433300000.0,
Cash Flow From Continuing Financing Activities,-1977400000.0,-284400000.0,1305300000.0,-659000000.0,433300000.0,
Net Other Financing Charges,-30100000.0,-3700000.0,-33600000.0,-18900000.0,-26600000.0,
Proceeds From Stock Option Exercised,10600000.0,5600000.0,3700000.0,22900000.0,24700000.0,
Cash Dividends Paid,-65500000.0,-62500000.0,-62600000.0,-63000000.0,-63000000.0,
Common Stock Dividend Paid,-65500000.0,-62500000.0,-62600000.0,-63000000.0,-63000000.0,
Net Common Stock Issuance,-1626900000.0,-223800000.0,-100100000.0,-100000000.0,-200100000.0,
Common Stock Payments,-1626900000.0,-223800000.0,-100100000.0,-100000000.0,-200100000.0,
Net Issuance Payments Of Debt,-266000000.0,0.0,1497900000.0,-500000000.0,698300000.0,
Net Short Term Debt Issuance,-1515000000.0,0.0,1497900000.0,-500000000.0,0.0,
Short Term Debt Payments,-1515000000.0,0.0,0.0,-500000000.0,0.0,
Short Term Debt Issuance,,0.0,1497900000.0,,,
Net Long Term Debt Issuance,1249000000.0,0.0,0.0,0.0,698300000.0,
Long Term Debt Payments,-1000000000.0,,0.0,0.0,0.0,0.0
Long Term Debt Issuance,2249000000.0,0.0,0.0,0.0,698300000.0,
Investing Cash Flow,-64400000.0,14800000.0,-234500000.0,-80600000.0,-57800000.0,
Cash Flow From Continuing Investing Activities,-64900000.0,14800000.0,-234500000.0,-80600000.0,-57800000.0,
Net Other Investing Changes,500000.0,0.0,-2700000.0,,,0.0
Net Investment Purchase And Sale,,,,0.0,,
Sale Of Investment,,,,0.0,,
Net Business Purchase And Sale,-900000.0,82000000.0,-164400000.0,-24800000.0,-4100000.0,
Sale Of Business,,80000000.0,0.0,,,-105700000.0
Purchase Of Business,-900000.0,2000000.0,-164400000.0,-24800000.0,-4100000.0,
Capital Expenditure Reported,-64000000.0,-67200000.0,-67400000.0,-55800000.0,-53700000.0,
Operating Cash Flow,390400000.0,343300000.0,403500000.0,244500000.0,444700000.0,
Cash Flow From Continuing Operating Activities,390400000.0,343300000.0,403500000.0,244500000.0,444700000.0,
Change In Working Capital,42600000.0,-39000000.0,47400000.0,-89700000.0,117400000.0,
Change In Other Working Capital,302100000.0,-111700000.0,-170300000.0,800000.0,277800000.0,
Change In Other Current Liabilities,10700000.0,-3400000.0,-8100000.0,-17600000.0,1000000.0,
Change In Other Current Assets,1800000.0,5900000.0,6600000.0,5800000.0,5600000.0,
Change In Payables And Accrued Expense,-117200000.0,62500000.0,54500000.0,-24600000.0,-44500000.0,
Change In Payable,,,54500000.0,,,
Change In Account Payable,,,54500000.0,,,
Change In Prepaid Assets,-16200000.0,2400000.0,-8400000.0,-8000000.0,11100000.0,
Change In Receivables,-138600000.0,5300000.0,173100000.0,-46100000.0,-133600000.0,
Changes In Account Receivables,-138600000.0,5300000.0,173100000.0,-46100000.0,-133600000.0,
Other Non Cash Items,2100000.0,23800000.0,3800000.0,-12000000.0,600000.0,
Stock Based Compensation,18400000.0,12400000.0,12100000.0,14100000.0,15600000.0,
Provisionand Write Offof Assets,4800000.0,3700000.0,2500000.0,6100000.0,5300000.0,
Asset Impairment Charge,,2200000.0,0.0,0.0,0.0,8300000.0
Deferred Tax,4000000.0,30700000.0,29900000.0,-9600000.0,-9700000.0,
Deferred Income Tax,4000000.0,30700000.0,29900000.0,-9600000.0,-9700000.0,
Depreciation Amortization Depletion,84300000.0,78900000.0,82300000.0,82300000.0,83200000.0,
Depreciation And Amortization,84300000.0,78900000.0,82300000.0,82300000.0,83200000.0,
Amortization Cash Flow,14400000.0,17100000.0,18300000.0,16300000.0,15800000.0,
Amortization Of Intangibles,14400000.0,17100000.0,18300000.0,16300000.0,15800000.0,
Depreciation,69900000.0,61800000.0,64000000.0,66000000.0,67400000.0,
Operating Gains Losses,,,,,,8600000.0
Gain Loss On Sale Of PPE,,0.0,0.0,0.0,,-1200000.0
Gain Loss On Sale Of Business,,,0.0,,,
Net Income From Continuing Operations,234200000.0,197200000.0,225500000.0,253300000.0,232300000.0,
