,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,23954000.0,444167000.0,68543000.0,60447000.0,50720000.0,,
Repurchase Of Capital Stock,-3185000.0,,,-4668000.0,-302000.0,,
Repayment Of Debt,-10619000.0,-325257000.0,-10464000.0,-462722000.0,-13979000.0,,
Issuance Of Debt,175873000.0,0.0,,,0.0,0.0,1975000000.0
Capital Expenditure,-298341000.0,-282721000.0,-213699000.0,-198013000.0,-247723000.0,,
End Cash Position,1746835000.0,1346136000.0,1230074000.0,1177492000.0,1612105000.0,,
Beginning Cash Position,1346136000.0,1230074000.0,1177492000.0,1612105000.0,1556489000.0,,
Effect Of Exchange Rate Changes,704000.0,-3052000.0,3964000.0,-3304000.0,-2651000.0,,
Changes In Cash,399995000.0,119114000.0,48618000.0,-431309000.0,58267000.0,,
Financing Cash Flow,173083000.0,-333760000.0,-19925000.0,-513819000.0,-6703000.0,,
Cash Flow From Continuing Financing Activities,173083000.0,-333760000.0,-19925000.0,-513819000.0,-6703000.0,,
Net Other Financing Charges,1437000.0,-729000.0,-15310000.0,-46429000.0,-783000.0,,
Proceeds From Stock Option Exercised,9577000.0,7373000.0,,,8361000.0,2395000.0,7262000.0
Net Common Stock Issuance,-3185000.0,,,-4668000.0,-302000.0,,
Common Stock Payments,-3185000.0,,,-4668000.0,-302000.0,,
Net Issuance Payments Of Debt,165254000.0,-325257000.0,-10464000.0,-462722000.0,-13979000.0,,
Net Long Term Debt Issuance,165254000.0,-325257000.0,-10464000.0,-462722000.0,-13979000.0,,
Long Term Debt Payments,-10619000.0,-325257000.0,-10464000.0,-462722000.0,-13979000.0,,
Long Term Debt Issuance,175873000.0,0.0,,,0.0,0.0,1975000000.0
Investing Cash Flow,-95383000.0,-274014000.0,-213699000.0,-175950000.0,-233473000.0,,
Cash Flow From Continuing Investing Activities,-95383000.0,-274014000.0,-213699000.0,-175950000.0,-233473000.0,,
Net Other Investing Changes,0.0,8707000.0,0.0,22063000.0,-6077000.0,,
Net Investment Purchase And Sale,,,,,0.0,0.0,0.0
Sale Of Investment,,,,,0.0,0.0,
Purchase Of Investment,,,,,0.0,0.0,0.0
Net Business Purchase And Sale,,,,,20327000.0,0.0,0.0
Purchase Of Business,,,,,0.0,0.0,0.0
Net PPE Purchase And Sale,-298341000.0,-282721000.0,-213699000.0,-198013000.0,-247723000.0,,
Purchase Of PPE,-298341000.0,-282721000.0,-213699000.0,-198013000.0,-247723000.0,,
Operating Cash Flow,322295000.0,726888000.0,282242000.0,258460000.0,298443000.0,,
Cash Flow From Continuing Operating Activities,322295000.0,726888000.0,282242000.0,258460000.0,298443000.0,,
Change In Working Capital,-20058000.0,258298000.0,67568000.0,-78481000.0,103364000.0,,
Change In Other Current Liabilities,-38241000.0,277814000.0,-39573000.0,-20773000.0,-21546000.0,,
Change In Other Current Assets,-58072000.0,-4786000.0,87342000.0,-31074000.0,16306000.0,,
Change In Payables And Accrued Expense,78470000.0,60574000.0,10361000.0,-49596000.0,121604000.0,,
Change In Accrued Expense,55596000.0,83362000.0,-44059000.0,-31930000.0,74253000.0,,
Change In Payable,22874000.0,-22788000.0,54420000.0,-17666000.0,47351000.0,,
Change In Account Payable,22874000.0,-22788000.0,54420000.0,-17666000.0,47351000.0,,
Change In Inventory,1865000.0,-6865000.0,6880000.0,11170000.0,35568000.0,,
Change In Receivables,-4080000.0,-68439000.0,2558000.0,11792000.0,-48568000.0,,
Changes In Account Receivables,-4080000.0,-68439000.0,2558000.0,11792000.0,-48568000.0,,
Stock Based Compensation,22142000.0,24099000.0,20122000.0,14707000.0,16917000.0,,
Asset Impairment Charge,4056000.0,,,,99964000.0,12020000.0,
Deferred Tax,71575000.0,52340000.0,-88819000.0,21358000.0,-18249000.0,,
Deferred Income Tax,71575000.0,52340000.0,-88819000.0,21358000.0,-18249000.0,,
Depreciation Amortization Depletion,346661000.0,339855000.0,326283000.0,341666000.0,337182000.0,,
Depreciation And Amortization,346661000.0,339855000.0,326283000.0,341666000.0,337182000.0,,
Amortization Cash Flow,79674000.0,78698000.0,73613000.0,83965000.0,80390000.0,,
Amortization Of Intangibles,79674000.0,78698000.0,73613000.0,83965000.0,80390000.0,,
Depreciation,266987000.0,261157000.0,252670000.0,257701000.0,256792000.0,,
Operating Gains Losses,-168062000.0,-3914000.0,8915000.0,6934000.0,0.0,,
Gain Loss On Sale Of PPE,,,8915000.0,6646000.0,,,21136000.0
Net Income From Continuing Operations,65981000.0,37496000.0,-51827000.0,-47724000.0,-240735000.0,,
