,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-18936000.0,-22295000.0,-15476000.0,-16045000.0,-11112000.0,
Repayment Of Debt,,,,,,0.0
Issuance Of Capital Stock,123875000.0,3000.0,0.0,0.0,5093000.0,
Capital Expenditure,-13000.0,-17000.0,-32000.0,-15000.0,-49000.0,
Interest Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,0.0,0.0,
End Cash Position,225594000.0,109407000.0,139017000.0,154490000.0,170569000.0,
Beginning Cash Position,109407000.0,139017000.0,154490000.0,170569000.0,176498000.0,
Changes In Cash,116187000.0,-29610000.0,-15473000.0,-16079000.0,-5929000.0,
Financing Cash Flow,135123000.0,-7315000.0,3000.0,-34000.0,5183000.0,
Cash Flow From Continuing Financing Activities,135123000.0,-7315000.0,3000.0,-34000.0,5183000.0,
Net Other Financing Charges,,,,,,-854000.0
Proceeds From Stock Option Exercised,11248000.0,48000.0,-31000.0,0.0,90000.0,
Net Common Stock Issuance,123875000.0,3000.0,0.0,0.0,5093000.0,
Common Stock Issuance,123875000.0,3000.0,0.0,0.0,5093000.0,
Net Issuance Payments Of Debt,,,,,,0.0
Investing Cash Flow,-13000.0,-17000.0,-32000.0,-15000.0,-49000.0,
Cash Flow From Continuing Investing Activities,-13000.0,-17000.0,-32000.0,-15000.0,-49000.0,
Net Intangibles Purchase And Sale,,0.0,0.0,0.0,0.0,0.0
Purchase Of Intangibles,,0.0,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-13000.0,-17000.0,-32000.0,-15000.0,-49000.0,
Purchase Of PPE,-13000.0,-17000.0,-32000.0,-15000.0,-49000.0,
Operating Cash Flow,-18923000.0,-22278000.0,-15444000.0,-16030000.0,-11063000.0,
Cash Flow From Continuing Operating Activities,-18923000.0,-22278000.0,-15444000.0,-16030000.0,-11063000.0,
Change In Working Capital,271000.0,-2710000.0,197000.0,-3823000.0,2702000.0,
Change In Other Current Assets,,0.0,,,,
Change In Payables And Accrued Expense,-1222000.0,-3082000.0,1791000.0,-2451000.0,1579000.0,
Change In Prepaid Assets,1493000.0,372000.0,-780000.0,-1372000.0,1123000.0,
Stock Based Compensation,5008000.0,2577000.0,2379000.0,3732000.0,3644000.0,
Unrealized Gain Loss On Investment Securities,,,,,,0.0
Depreciation Amortization Depletion,16000.0,15000.0,14000.0,11000.0,9000.0,
Depreciation And Amortization,16000.0,15000.0,14000.0,11000.0,9000.0,
Operating Gains Losses,5000.0,-4989000.0,6000.0,43000.0,24000.0,
Gain Loss On Investment Securities,,,,,,0.0
Net Foreign Currency Exchange Gain Loss,2000.0,11000.0,6000.0,43000.0,24000.0,
Gain Loss On Sale Of PPE,3000.0,,,,0.0,
Net Income From Continuing Operations,-24223000.0,-17175000.0,-18040000.0,-15993000.0,-17442000.0,
