,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-2400000.0,-5040000.0,-2310000.0,-770000.0,-73500000.0,,
Tax Rate For Calcs,0.4,0.21,0.21,0.11,0.21,,
Normalized EBITDA,211000000.0,197000000.0,212000000.0,208000000.0,212000000.0,,
Total Unusual Items,-6000000.0,-24000000.0,-11000000.0,-7000000.0,-350000000.0,,
Total Unusual Items Excluding Goodwill,-6000000.0,-24000000.0,-11000000.0,-7000000.0,-350000000.0,,
Net Income From Continuing Operation Net Minority Interest,27000000.0,-22000000.0,18000000.0,36000000.0,-335000000.0,,
Reconciled Depreciation,80000000.0,80000000.0,83000000.0,83000000.0,79000000.0,,
Reconciled Cost Of Revenue,3608000000.0,3427000000.0,3441000000.0,3504000000.0,3350000000.0,,
EBITDA,205000000.0,173000000.0,201000000.0,201000000.0,-138000000.0,,
EBIT,125000000.0,93000000.0,118000000.0,118000000.0,-217000000.0,,
Net Interest Income,-47000000.0,-48000000.0,-49000000.0,-51000000.0,-49000000.0,,
Interest Expense,49000000.0,52000000.0,54000000.0,52000000.0,48000000.0,,
Interest Income,6000000.0,8000000.0,7000000.0,4000000.0,6000000.0,,
Normalized Income,30600000.0,-3040000.0,26690000.0,42230000.0,-58500000.0,,
Net Income From Continuing And Discontinued Operation,27000000.0,-22000000.0,18000000.0,36000000.0,-335000000.0,,
Total Expenses,3746000000.0,3557000000.0,3565000000.0,3633000000.0,3494000000.0,,
Diluted Average Shares,79300000.0,78700000.0,81300000.0,83700000.0,84000000.0,,
Basic Average Shares,78400000.0,78700000.0,80300000.0,83500000.0,84000000.0,,
Diluted EPS,0.34,-0.28,0.22,0.43,-3.99,,
Basic EPS,0.344388,-0.28,0.224159,0.43,-3.988095,,
Diluted NI Availto Com Stockholders,27000000.0,-22000000.0,18000000.0,36000000.0,-335000000.0,,
Net Income Common Stockholders,27000000.0,-22000000.0,18000000.0,36000000.0,-335000000.0,,
Net Income,27000000.0,-22000000.0,18000000.0,36000000.0,-335000000.0,,
Minority Interests,-17000000.0,-21000000.0,-20000000.0,-23000000.0,-22000000.0,,
Net Income Including Noncontrolling Interests,44000000.0,-1000000.0,38000000.0,59000000.0,-313000000.0,,
Net Income Continuous Operations,44000000.0,-1000000.0,38000000.0,59000000.0,-313000000.0,,
Tax Provision,32000000.0,42000000.0,26000000.0,7000000.0,48000000.0,,
Pretax Income,76000000.0,41000000.0,64000000.0,66000000.0,-265000000.0,,
Other Income Expense,4000000.0,2000000.0,-10000000.0,9000000.0,-333000000.0,,
Other Non Operating Income Expenses,-3000000.0,-1000000.0,-7000000.0,-1000000.0,-1000000.0,,
Special Income Charges,-5000000.0,-24000000.0,-11000000.0,-7000000.0,-351000000.0,,
Restructuring And Mergern Acquisition,5000000.0,24000000.0,11000000.0,7000000.0,351000000.0,,
Earnings From Equity Interest,13000000.0,27000000.0,8000000.0,17000000.0,18000000.0,,
Gain On Sale Of Security,-1000000.0,,,,1000000.0,-1000000.0,-3000000.0
Net Non Operating Interest Income Expense,-47000000.0,-48000000.0,-49000000.0,-51000000.0,-49000000.0,,
Total Other Finance Cost,4000000.0,4000000.0,2000000.0,3000000.0,7000000.0,,
Interest Expense Non Operating,49000000.0,52000000.0,54000000.0,52000000.0,48000000.0,,
Interest Income Non Operating,6000000.0,8000000.0,7000000.0,4000000.0,6000000.0,,
Operating Income,119000000.0,87000000.0,123000000.0,108000000.0,117000000.0,,
Operating Expense,138000000.0,130000000.0,124000000.0,129000000.0,144000000.0,,
Selling General And Administration,138000000.0,130000000.0,124000000.0,129000000.0,144000000.0,,
General And Administrative Expense,138000000.0,,,,144000000.0,125000000.0,124000000.0
Other Gand A,138000000.0,,,,144000000.0,125000000.0,124000000.0
Salaries And Wages,,,,,1000000.0,1000000.0,16000000.0
Gross Profit,257000000.0,217000000.0,247000000.0,237000000.0,261000000.0,,
Cost Of Revenue,3608000000.0,3427000000.0,3441000000.0,3504000000.0,3350000000.0,,
Total Revenue,3865000000.0,3644000000.0,3688000000.0,3741000000.0,3611000000.0,,
Operating Revenue,3865000000.0,3644000000.0,3688000000.0,3741000000.0,3611000000.0,,
