,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-23764000.0,-21266000.0,-22235000.0,-22169000.0,-21543000.0,
Total Unusual Items,,,,,,7194000.0
Total Unusual Items Excluding Goodwill,,,,,,7194000.0
Net Income From Continuing Operation Net Minority Interest,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Reconciled Depreciation,666000.0,666000.0,662000.0,641000.0,628000.0,
EBITDA,-23764000.0,-21266000.0,-22235000.0,-22169000.0,-21543000.0,
EBIT,-24430000.0,-21932000.0,-22897000.0,-22810000.0,-22171000.0,
Net Interest Income,912000.0,1162000.0,1372000.0,1561000.0,1864000.0,
Interest Income,912000.0,1162000.0,1372000.0,1561000.0,1864000.0,
Normalized Income,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Net Income From Continuing And Discontinued Operation,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Total Expenses,24430000.0,21932000.0,22897000.0,22810000.0,22171000.0,
Total Operating Income As Reported,-24430000.0,-21932000.0,-22897000.0,-22810000.0,-22171000.0,
Diluted Average Shares,24678420.0,,24481722.0,24378823.0,24341978.0,
Basic Average Shares,24678420.0,,24481722.0,24378823.0,24341978.0,
Diluted EPS,-0.95,,-0.88,-0.87,-0.83,
Basic EPS,-0.95,,-0.88,-0.87,-0.83,
Diluted NI Availto Com Stockholders,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Net Income Common Stockholders,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Net Income,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Net Income Including Noncontrolling Interests,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Net Income Continuous Operations,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Pretax Income,-23516000.0,-20772000.0,-21528000.0,-21254000.0,-20311000.0,
Other Income Expense,2000.0,-2000.0,-3000.0,-5000.0,-4000.0,
Other Non Operating Income Expenses,2000.0,-2000.0,-3000.0,-5000.0,-4000.0,
Gain On Sale Of Security,,,,,,7194000.0
Net Non Operating Interest Income Expense,912000.0,1162000.0,1372000.0,1561000.0,1864000.0,
Interest Income Non Operating,912000.0,1162000.0,1372000.0,1561000.0,1864000.0,
Operating Income,-24430000.0,-21932000.0,-22897000.0,-22810000.0,-22171000.0,
Operating Expense,24430000.0,21932000.0,22897000.0,22810000.0,22171000.0,
Research And Development,19312000.0,16994000.0,17633000.0,17861000.0,17052000.0,
Selling General And Administration,5118000.0,4938000.0,5264000.0,4949000.0,5119000.0,
General And Administrative Expense,5118000.0,4938000.0,5264000.0,4949000.0,5119000.0,
Other Gand A,5118000.0,4938000.0,5264000.0,4949000.0,5119000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
