,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-147180.0,-152431.0,-173955.0,-267036.0,-233878.0
Net Income From Continuing Operation Net Minority Interest,-113988.0,70438.0,480352.0,379939.0,413202.0
EBITDA,-147180.0,-152431.0,-173955.0,-267036.0,-233878.0
EBIT,-147180.0,-152431.0,-173955.0,-267036.0,-233878.0
Net Interest Income,33192.0,222869.0,654307.0,646975.0,647080.0
Interest Income,33192.0,222869.0,654307.0,646975.0,647080.0
Normalized Income,-113988.0,70438.0,480352.0,379939.0,413202.0
Net Income From Continuing And Discontinued Operation,-113988.0,70438.0,480352.0,379939.0,413202.0
Total Expenses,147180.0,152431.0,173955.0,267036.0,233878.0
Total Operating Income As Reported,-147180.0,-152431.0,-173955.0,-267036.0,-233878.0
Diluted Average Shares,2337581.0,,8055000.0,8055000.0,8055000.0
Basic Average Shares,2337581.0,,8055000.0,8055000.0,8055000.0
Diluted EPS,-0.03,,0.059634,0.047168,0.11
Basic EPS,-0.03,,0.059634,0.047168,0.11
Diluted NI Availto Com Stockholders,-113988.0,70438.0,480352.0,379939.0,413202.0
Net Income Common Stockholders,-113988.0,70438.0,480352.0,379939.0,413202.0
Net Income,-113988.0,70438.0,480352.0,379939.0,413202.0
Net Income Including Noncontrolling Interests,-113988.0,70438.0,480352.0,379939.0,413202.0
Net Income Continuous Operations,-113988.0,70438.0,480352.0,379939.0,413202.0
Tax Provision,0.0,0.0,0.0,0.0,0.0
Pretax Income,-113988.0,70438.0,480352.0,379939.0,413202.0
Net Non Operating Interest Income Expense,33192.0,222869.0,654307.0,646975.0,647080.0
Interest Income Non Operating,33192.0,222869.0,654307.0,646975.0,647080.0
Operating Income,-147180.0,-152431.0,-173955.0,-267036.0,-233878.0
Operating Expense,147180.0,152431.0,173955.0,267036.0,233878.0
Selling General And Administration,147180.0,152431.0,173955.0,267036.0,233878.0
General And Administrative Expense,147180.0,152431.0,173955.0,267036.0,233878.0
Other Gand A,147180.0,152431.0,173955.0,267036.0,233878.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
