,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-469600.0,-599340.0,616980.0,-13656720.0,-673260.0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.21
Normalized EBITDA,-205345000.0,-58335000.0,-146130000.0,-52752000.0,-44560000.0
Total Unusual Items,-1174000.0,-2854000.0,2938000.0,-65032000.0,-3206000.0
Total Unusual Items Excluding Goodwill,-1174000.0,-2854000.0,2938000.0,-65032000.0,-3206000.0
Net Income From Continuing Operation Net Minority Interest,-191012000.0,-73966000.0,-122874000.0,-99394000.0,-45706000.0
Reconciled Depreciation,17615000.0,15717000.0,12716000.0,11720000.0,10958000.0
Reconciled Cost Of Revenue,11649000.0,29413000.0,5511000.0,,0.0
EBITDA,-206519000.0,-61189000.0,-143192000.0,-117784000.0,-47766000.0
EBIT,-224134000.0,-76906000.0,-155908000.0,-129504000.0,-58724000.0
Net Interest Income,2720000.0,2648000.0,4694000.0,2360000.0,3460000.0
Interest Expense,24278000.0,18133000.0,7545000.0,5657000.0,4736000.0
Interest Income,26998000.0,20781000.0,12239000.0,8017000.0,8196000.0
Normalized Income,-190307600.0,-71711340.0,-125195020.0,-48018720.0,-43173260.0
Net Income From Continuing And Discontinued Operation,-191012000.0,-73966000.0,-122874000.0,-99394000.0,-45706000.0
Total Expenses,164147000.0,126582000.0,94415000.0,73953000.0,63681000.0
Diluted Average Shares,290689457.0,284150650.0,272831168.0,241985507.0,223974396.0
Basic Average Shares,290689457.0,284150650.0,272831168.0,241985507.0,223974396.0
Diluted EPS,-0.66,-0.26,-0.45,-0.41,-0.2
Basic EPS,-0.66,-0.26,-0.45,-0.41,-0.2
Diluted NI Availto Com Stockholders,-191012000.0,-73966000.0,-122874000.0,-99394000.0,-45706000.0
Net Income Common Stockholders,-191012000.0,-73966000.0,-122874000.0,-99394000.0,-45706000.0
Net Income,-191012000.0,-73966000.0,-122874000.0,-99394000.0,-45706000.0
Minority Interests,58569000.0,23687000.0,40953000.0,36509000.0,17922000.0
Net Income Including Noncontrolling Interests,-249581000.0,-97653000.0,-163827000.0,-135903000.0,-63628000.0
Net Income Continuous Operations,-249581000.0,-97653000.0,-163827000.0,-135903000.0,-63628000.0
Tax Provision,1169000.0,2614000.0,374000.0,742000.0,168000.0
Pretax Income,-248412000.0,-95039000.0,-163453000.0,-135161000.0,-63460000.0
Other Income Expense,-101720000.0,-25410000.0,-88471000.0,-64724000.0,-3957000.0
Other Non Operating Income Expenses,-100546000.0,-22556000.0,-91409000.0,308000.0,-751000.0
Gain On Sale Of Security,-1174000.0,-2854000.0,2938000.0,-65032000.0,-3206000.0
Net Non Operating Interest Income Expense,2720000.0,2648000.0,4694000.0,2360000.0,3460000.0
Interest Expense Non Operating,24278000.0,18133000.0,7545000.0,5657000.0,4736000.0
Interest Income Non Operating,26998000.0,20781000.0,12239000.0,8017000.0,8196000.0
Operating Income,-149412000.0,-72277000.0,-79676000.0,-72797000.0,-62963000.0
Operating Expense,152498000.0,97169000.0,88904000.0,73953000.0,63681000.0
Depreciation Amortization Depletion Income Statement,17615000.0,15717000.0,12716000.0,11720000.0,10958000.0
Depreciation And Amortization In Income Statement,17615000.0,15717000.0,12716000.0,11720000.0,10958000.0
Research And Development,91226000.0,55221000.0,46366000.0,34991000.0,34339000.0
Selling General And Administration,43657000.0,26231000.0,29822000.0,27242000.0,18384000.0
General And Administrative Expense,43657000.0,26231000.0,29822000.0,27242000.0,18384000.0
Other Gand A,43657000.0,26231000.0,29822000.0,27242000.0,18384000.0
Gross Profit,3086000.0,24892000.0,9228000.0,,718000.0
Cost Of Revenue,11649000.0,29413000.0,5511000.0,,0.0
Total Revenue,14735000.0,54305000.0,14739000.0,1156000.0,718000.0
Operating Revenue,14735000.0,54305000.0,14739000.0,1156000.0,718000.0
