,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-10476.0,-156240.0,-120750.0,-12285.0,-2076.0,
Tax Rate For Calcs,0.006,0.21,0.21,0.063,0.012,
Normalized EBITDA,34918000.0,33593000.0,20070000.0,43906000.0,33339000.0,
Total Unusual Items,-1746000.0,-744000.0,-575000.0,-195000.0,-173000.0,
Total Unusual Items Excluding Goodwill,-1746000.0,-744000.0,-575000.0,-195000.0,-173000.0,
Net Income From Continuing Operation Net Minority Interest,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Reconciled Depreciation,22995000.0,20919000.0,19311000.0,18736000.0,18277000.0,
Reconciled Cost Of Revenue,300773000.0,297522000.0,288836000.0,303477000.0,292383000.0,
EBITDA,33172000.0,32849000.0,19495000.0,43711000.0,33166000.0,
EBIT,10177000.0,11930000.0,184000.0,24975000.0,14889000.0,
Net Interest Income,-1088000.0,-1060000.0,-1183000.0,-1272000.0,-1230000.0,
Interest Expense,1088000.0,1060000.0,1183000.0,1272000.0,1230000.0,
Normalized Income,10769524.0,13230760.0,919250.0,22390715.0,13662924.0,
Net Income From Continuing And Discontinued Operation,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Total Expenses,345749000.0,343512000.0,330579000.0,344188000.0,332850000.0,
Rent Expense Supplemental,81166000.0,80260000.0,81589000.0,83300000.0,79911000.0,
Total Operating Income As Reported,10623000.0,11143000.0,-997000.0,21214000.0,14950000.0,
Diluted Average Shares,21892000.0,21728000.0,22483000.0,22962000.0,23284000.0,
Basic Average Shares,21157000.0,21126000.0,21893000.0,22220000.0,22683000.0,
Diluted EPS,0.41,0.58,0.02,0.97,0.58,
Basic EPS,0.43,0.6,0.02,1.0,0.59,
Diluted NI Availto Com Stockholders,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Net Income Common Stockholders,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Net Income,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Net Income Including Noncontrolling Interests,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Net Income Continuous Operations,9034000.0,12643000.0,465000.0,22208000.0,13492000.0,
Tax Provision,55000.0,-1773000.0,-1464000.0,1495000.0,167000.0,
Pretax Income,9089000.0,10870000.0,-999000.0,23703000.0,13659000.0,
Other Income Expense,-2192000.0,43000.0,606000.0,3566000.0,-234000.0,
Other Non Operating Income Expenses,-446000.0,914000.0,1029000.0,3761000.0,-61000.0,
Special Income Charges,-1746000.0,-744000.0,-575000.0,-195000.0,-173000.0,
Gain On Sale Of Ppe,-1746000.0,,,-195000.0,-173000.0,-15373000.0
Earnings From Equity Interest,,-127000.0,152000.0,66000.0,,
Net Non Operating Interest Income Expense,-1088000.0,-1060000.0,-1183000.0,-1272000.0,-1230000.0,
Interest Expense Non Operating,1088000.0,1060000.0,1183000.0,1272000.0,1230000.0,
Operating Income,12369000.0,11887000.0,-422000.0,21409000.0,15123000.0,
Operating Expense,44793000.0,45318000.0,41743000.0,40711000.0,40467000.0,
Other Operating Expenses,15000.0,0.0,,225000.0,438000.0,77000.0
Depreciation Amortization Depletion Income Statement,22812000.0,20247000.0,19311000.0,18736000.0,18277000.0,
Depreciation And Amortization In Income Statement,22812000.0,20247000.0,19311000.0,18736000.0,18277000.0,
Selling General And Administration,21966000.0,25071000.0,22432000.0,21750000.0,21752000.0,
General And Administrative Expense,21966000.0,25071000.0,22432000.0,21750000.0,21752000.0,
Other Gand A,21966000.0,25071000.0,22432000.0,21750000.0,21752000.0,
Gross Profit,57162000.0,57205000.0,41321000.0,62120000.0,55590000.0,
Cost Of Revenue,300956000.0,298194000.0,288836000.0,303477000.0,292383000.0,
Total Revenue,358118000.0,355399000.0,330157000.0,365597000.0,347973000.0,
Operating Revenue,358118000.0,355399000.0,330157000.0,365597000.0,347973000.0,
