,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-32684000.0,-21361000.0,-23018000.0,-17596000.0,-15517000.0,
Net Income From Continuing Operation Net Minority Interest,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Reconciled Depreciation,,117000.0,,,,118000.0
EBITDA,-32684000.0,-21361000.0,-23018000.0,-17596000.0,-15517000.0,
EBIT,-32684000.0,-21478000.0,-23018000.0,-17596000.0,-15517000.0,
Net Interest Income,,3170000.0,,,,
Interest Income,,3172000.0,,,,
Normalized Income,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Net Income From Continuing And Discontinued Operation,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Total Expenses,32684000.0,28077000.0,23018000.0,17596000.0,15517000.0,
Total Operating Income As Reported,-32684000.0,-28077000.0,-23018000.0,-17596000.0,-15517000.0,
Diluted Average Shares,39868666.0,36218289.0,33223232.0,32585043.0,32084106.0,
Basic Average Shares,39868666.0,36218289.0,33223232.0,32585043.0,32084106.0,
Diluted EPS,-0.68,-0.7,-0.65,-0.5,-0.45,
Basic EPS,-0.68,-0.7,-0.65,-0.5,-0.45,
Diluted NI Availto Com Stockholders,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Net Income Common Stockholders,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Net Income,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Net Income Including Noncontrolling Interests,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Net Income Continuous Operations,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Tax Provision,,0.0,0.0,0.0,0.0,0.0
Pretax Income,-26938000.0,-25324000.0,-21690000.0,-16320000.0,-14277000.0,
Other Income Expense,5746000.0,-417000.0,-2140000.0,1276000.0,1240000.0,
Other Non Operating Income Expenses,5746000.0,-417000.0,-2140000.0,1276000.0,1240000.0,
Net Non Operating Interest Income Expense,,3170000.0,,,,
Interest Income Non Operating,,3172000.0,,,,
Operating Income,-32684000.0,-28077000.0,-23018000.0,-17596000.0,-15517000.0,
Operating Expense,32684000.0,28077000.0,23018000.0,17596000.0,15517000.0,
Research And Development,15661000.0,14624000.0,10308000.0,11049000.0,9396000.0,
Selling General And Administration,17023000.0,13453000.0,12710000.0,6547000.0,6121000.0,
General And Administrative Expense,17023000.0,13453000.0,12710000.0,6547000.0,6121000.0,
Other Gand A,17023000.0,13453000.0,12710000.0,6547000.0,6121000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
