,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,,
Normalized EBITDA,-1409380.0,-1778348.0,-1269982.0,-1233291.0,-440605.0,,
Net Income From Continuing Operation Net Minority Interest,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Reconciled Depreciation,208001.0,157415.0,153606.0,106130.0,199430.0,,
Reconciled Cost Of Revenue,2206135.0,3705353.0,2650477.0,2693279.0,2641007.0,,
EBITDA,-1409380.0,-1778348.0,-1269982.0,-1233291.0,-440605.0,,
EBIT,-1617381.0,-1935763.0,-1423588.0,-1339421.0,-640035.0,,
Net Interest Income,-173154.0,-91071.0,-145048.0,-257135.0,-273211.0,,
Interest Expense,174903.0,94819.0,148964.0,263735.0,278347.0,,
Interest Income,1749.0,3748.0,3916.0,6600.0,5136.0,,
Normalized Income,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Net Income From Continuing And Discontinued Operation,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Total Expenses,4225925.0,5517166.0,4647531.0,4645759.0,3816034.0,,
Rent Expense Supplemental,,56396.0,50870.0,50635.0,50515.0,79462.0,
Total Operating Income As Reported,-1619130.0,-1907412.0,-1427504.0,-1346021.0,-645171.0,,
Diluted Average Shares,14424086.0,,11514580.0,9659605.0,8745747.0,,6651065.0
Basic Average Shares,14424086.0,,11514580.0,9659605.0,8745747.0,,6651065.0
Diluted EPS,-0.12,,-0.14,-0.17,-0.11,,-0.19
Basic EPS,-0.12,,-0.14,-0.17,-0.11,,-0.19
Diluted NI Availto Com Stockholders,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Net Income Common Stockholders,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Net Income,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Net Income Including Noncontrolling Interests,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Net Income Continuous Operations,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Pretax Income,-1792284.0,-2030582.0,-1572552.0,-1603156.0,-918382.0,,
Net Non Operating Interest Income Expense,-173154.0,-91071.0,-145048.0,-257135.0,-273211.0,,
Interest Expense Non Operating,174903.0,94819.0,148964.0,263735.0,278347.0,,
Interest Income Non Operating,1749.0,3748.0,3916.0,6600.0,5136.0,,
Operating Income,-1619130.0,-1505890.0,-1427504.0,-1346021.0,-645171.0,,
Operating Expense,2019790.0,1811813.0,1997054.0,1952480.0,1175027.0,,
Other Operating Expenses,,,,157807.0,,,
Research And Development,16638.0,61729.0,190875.0,,7742.0,,0.0
Selling General And Administration,2003152.0,1750084.0,1806179.0,1952480.0,1167285.0,,
Selling And Marketing Expense,739243.0,520735.0,428833.0,408383.0,301171.0,,
General And Administrative Expense,1263909.0,1229349.0,1377346.0,1544097.0,866114.0,,
Other Gand A,597573.0,722860.0,904407.0,1057299.0,551872.0,,
Rent And Landing Fees,,56396.0,50870.0,50635.0,50515.0,79462.0,
Salaries And Wages,666336.0,450093.0,422069.0,436163.0,314242.0,,
Gross Profit,400660.0,305923.0,569550.0,606459.0,529856.0,,
Cost Of Revenue,2206135.0,3705353.0,2650477.0,2693279.0,2641007.0,,
Total Revenue,2606795.0,4011276.0,3220027.0,3299738.0,3170863.0,,
Operating Revenue,2731839.0,4405437.0,3269989.0,3430029.0,3232291.0,,
