,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.25151,0.247549,0.236419,0.253248,0.25803
Net Income From Continuing Operation Net Minority Interest,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Reconciled Depreciation,535000.0,597000.0,679000.0,691000.0,683000.0
Net Interest Income,30608000.0,,,,
Interest Expense,10588000.0,11328000.0,11969000.0,12064000.0,11341000.0
Interest Income,41196000.0,43280000.0,43937000.0,42717000.0,41453000.0
Normalized Income,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Net Income From Continuing And Discontinued Operation,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Diluted Average Shares,13097176.0,13350518.0,14331032.0,13637252.0,13916341.0
Basic Average Shares,12988932.0,13251040.0,13361594.0,13563910.0,13820008.0
Diluted EPS,0.96,0.97,0.72,0.78,0.65
Basic EPS,0.96,0.97,0.73,0.78,0.66
Diluted NI Availto Com Stockholders,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Net Income Common Stockholders,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Net Income,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Net Income Including Noncontrolling Interests,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Net Income Continuous Operations,12520000.0,12894000.0,9699000.0,10633000.0,9101000.0
Tax Provision,4207000.0,4242000.0,3003000.0,3606000.0,3165000.0
Pretax Income,16727000.0,17136000.0,12702000.0,14239000.0,12266000.0
Gain On Sale Of Security,602000.0,-4000.0,0.0,318000.0,122000.0
Selling General And Administration,12817000.0,11158000.0,14000000.0,14206000.0,13217000.0
Selling And Marketing Expense,333000.0,370000.0,403000.0,405000.0,348000.0
General And Administrative Expense,12484000.0,10788000.0,13597000.0,13801000.0,12869000.0
Salaries And Wages,12484000.0,10788000.0,13597000.0,13801000.0,12869000.0
Total Revenue,36516000.0,37174000.0,37719000.0,36975000.0,34625000.0
Operating Revenue,36516000.0,37174000.0,37719000.0,36975000.0,34625000.0
Occupancy And Equipment,3085000.0,3182000.0,3234000.0,3142000.0,2978000.0
Professional Expense And Contract Services Expense,1255000.0,1631000.0,1404000.0,1130000.0,1357000.0
Other Non Interest Expense,2606000.0,4880000.0,2690000.0,3058000.0,2736000.0
