,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,4009.872793,0.0,0.0,0.0,
Tax Rate For Calcs,0.155861,0.100247,0.188604,0.16246,0.182791,
Total Unusual Items,,40000.0,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,40000.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Reconciled Depreciation,445000.0,461000.0,455000.0,452000.0,442000.0,
Net Interest Income,13865000.0,13819000.0,13092000.0,12531000.0,11283000.0,
Interest Expense,5779000.0,6166000.0,6242000.0,6220000.0,6536000.0,
Interest Income,19644000.0,19985000.0,19334000.0,18751000.0,17819000.0,
Normalized Income,3867000.0,4703009.872793,-5696000.0,3949000.0,1909000.0,
Net Income From Continuing And Discontinued Operation,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Diluted Average Shares,5318874.0,5304685.0,5319594.0,5332026.0,5471006.0,
Basic Average Shares,5053586.0,5015025.0,4985188.0,5022813.0,5125577.0,
Diluted EPS,0.73,0.89,-1.14,0.74,0.37,
Basic EPS,0.77,0.95,-1.14,0.79,0.37,
Diluted NI Availto Com Stockholders,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Net Income Common Stockholders,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Net Income,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Net Income Including Noncontrolling Interests,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Net Income Continuous Operations,3867000.0,4739000.0,-5696000.0,3949000.0,1909000.0,
Tax Provision,714000.0,528000.0,-1324000.0,766000.0,427000.0,
Pretax Income,4581000.0,5267000.0,-7020000.0,4715000.0,2336000.0,
Special Income Charges,,40000.0,0.0,0.0,0.0,0.0
Gain On Sale Of Business,,0.0,0.0,,,0.0
Other Special Charges,,,,,,0.0
Gain On Sale Of Security,8000.0,14000.0,-11752000.0,0.0,-69000.0,
Depreciation Amortization Depletion Income Statement,,0.0,0.0,0.0,0.0,88000.0
Depreciation And Amortization In Income Statement,,0.0,0.0,0.0,0.0,88000.0
Amortization,,0.0,0.0,0.0,0.0,88000.0
Amortization Of Intangibles Income Statement,,0.0,0.0,0.0,0.0,88000.0
Selling General And Administration,6312000.0,6477000.0,5552000.0,5415000.0,6331000.0,
Selling And Marketing Expense,142000.0,192000.0,132000.0,124000.0,119000.0,
General And Administrative Expense,6170000.0,6285000.0,5420000.0,5291000.0,6212000.0,
Insurance And Claims,173000.0,443000.0,173000.0,203000.0,176000.0,
Salaries And Wages,5997000.0,5842000.0,5247000.0,5088000.0,6036000.0,
Total Revenue,14429000.0,14570000.0,2051000.0,13089000.0,11788000.0,
Operating Revenue,14429000.0,14570000.0,2051000.0,13089000.0,11788000.0,
Occupancy And Equipment,1005000.0,956000.0,941000.0,988000.0,1080000.0,
Professional Expense And Contract Services Expense,221000.0,235000.0,411000.0,117000.0,262000.0,
Other Non Interest Expense,2069000.0,1313000.0,1908000.0,1846000.0,1819000.0,
