,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31
Tax Effect Of Unusual Items,7199643.10338,-167200.0,-1132198.0,-2730840.0,-150780.0,
Tax Rate For Calcs,0.151821,0.4,0.326,0.21,0.21,
Normalized EBITDA,40941000.0,34585000.0,4062000.0,55211000.0,49749000.0,
Total Unusual Items,47422000.0,-418000.0,-3473000.0,-13004000.0,-718000.0,
Total Unusual Items Excluding Goodwill,47422000.0,-418000.0,-3473000.0,-13004000.0,-718000.0,
Net Income From Continuing Operation Net Minority Interest,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Reconciled Depreciation,34221000.0,33704000.0,33386000.0,35043000.0,34174000.0,
Reconciled Cost Of Revenue,543056000.0,608385000.0,549707000.0,581342000.0,552061000.0,
EBITDA,88363000.0,34167000.0,589000.0,42207000.0,49031000.0,
EBIT,54142000.0,463000.0,-32797000.0,7164000.0,14857000.0,
Net Interest Income,-3668000.0,-4033000.0,-3724000.0,-4705000.0,-4984000.0,
Interest Expense,3668000.0,4033000.0,3724000.0,4705000.0,4984000.0,
Normalized Income,2588643.10338,1532800.0,-22281198.0,17027160.0,13141220.0,
Net Income From Continuing And Discontinued Operation,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Total Expenses,790647000.0,873936000.0,826512000.0,847841000.0,805572000.0,
Total Operating Income As Reported,6720000.0,463000.0,-32797000.0,3978000.0,14857000.0,
Diluted Average Shares,22500168.0,22461839.0,22288991.0,22549821.0,22459281.0,
Basic Average Shares,22351318.0,22345041.0,22288991.0,22267328.0,22264782.0,
Diluted EPS,1.9,0.06,-1.1,0.3,0.56,
Basic EPS,1.92,0.06,-1.1,0.3,0.56,
Diluted NI Availto Com Stockholders,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Net Income Common Stockholders,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Net Income,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Net Income Including Noncontrolling Interests,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Net Income Continuous Operations,42811000.0,1282000.0,-24622000.0,6754000.0,12574000.0,
Tax Provision,7663000.0,-4852000.0,-11899000.0,-4295000.0,-2701000.0,
Pretax Income,50474000.0,-3570000.0,-36521000.0,2459000.0,9873000.0,
Other Income Expense,47422000.0,-418000.0,-3473000.0,-13004000.0,-718000.0,
Special Income Charges,47422000.0,-418000.0,-3473000.0,-13004000.0,-718000.0,
Gain On Sale Of Business,,,-3473000.0,,,
Other Special Charges,-47422000.0,,,,,
Write Off,0.0,418000.0,,15903000.0,718000.0,2451000.0
Impairment Of Capital Assets,,,,0.0,0.0,
Net Non Operating Interest Income Expense,-3668000.0,-4033000.0,-3724000.0,-4705000.0,-4984000.0,
Interest Expense Non Operating,3668000.0,4033000.0,3724000.0,4705000.0,4984000.0,
Operating Income,6720000.0,881000.0,-29324000.0,20168000.0,15575000.0,
Operating Expense,247591000.0,265551000.0,276805000.0,266499000.0,253511000.0,
Other Operating Expenses,198198000.0,217503000.0,228845000.0,216330000.0,207486000.0,
Selling General And Administration,49393000.0,48048000.0,47960000.0,50169000.0,46025000.0,
General And Administrative Expense,49393000.0,48048000.0,47960000.0,50169000.0,46025000.0,
Other Gand A,49393000.0,48048000.0,47960000.0,50169000.0,46025000.0,
Gross Profit,254311000.0,266432000.0,247481000.0,286667000.0,269086000.0,
Cost Of Revenue,543056000.0,608385000.0,549707000.0,581342000.0,552061000.0,
Total Revenue,797367000.0,874817000.0,797188000.0,868009000.0,821147000.0,
Operating Revenue,797367000.0,874817000.0,797188000.0,868009000.0,821147000.0,
