,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,-1914150.0,0.0,0.0,-4399500.0
Tax Rate For Calcs,0.4,0.21,0.000247,0.21,0.21
Normalized EBITDA,-10897000.0,-12127000.0,-13859000.0,-16288000.0,-18429000.0
Total Unusual Items,0.0,-9115000.0,0.0,0.0,-20950000.0
Total Unusual Items Excluding Goodwill,0.0,-9115000.0,0.0,0.0,-20950000.0
Net Income From Continuing Operation Net Minority Interest,-21222000.0,-31286000.0,-23541000.0,-25372000.0,-46886000.0
Reconciled Depreciation,1197000.0,1294000.0,1420000.0,1575000.0,1634000.0
EBITDA,-10897000.0,-21242000.0,-13859000.0,-16288000.0,-39379000.0
EBIT,-12094000.0,-22536000.0,-15279000.0,-17863000.0,-41013000.0
Net Interest Income,-9093000.0,-9351000.0,-8872000.0,-8562000.0,-8258000.0
Interest Expense,9121000.0,9406000.0,9030000.0,8668000.0,8377000.0
Interest Income,28000.0,55000.0,158000.0,106000.0,119000.0
Normalized Income,-21222000.0,-24085150.0,-23541000.0,-25372000.0,-30335500.0
Net Income From Continuing And Discontinued Operation,-21222000.0,-31286000.0,-23541000.0,-25372000.0,-46886000.0
Total Expenses,13801000.0,14516000.0,16053000.0,18879000.0,21655000.0
Total Operating Income As Reported,-12120000.0,-22574000.0,-15438000.0,-17946000.0,-41571000.0
Diluted Average Shares,65202244.0,53154451.0,52925776.0,41618893.0,35052692.0
Basic Average Shares,65202244.0,53154451.0,52925776.0,41618893.0,35052692.0
Diluted EPS,-0.33,-0.59,-0.44,-0.61,-1.34
Basic EPS,-0.33,-0.59,-0.44,-0.61,-1.34
Diluted NI Availto Com Stockholders,-21222000.0,-31286000.0,-23541000.0,-25372000.0,-46886000.0
Net Income Common Stockholders,-21222000.0,-31286000.0,-23541000.0,-25372000.0,-46886000.0
Net Income,-21222000.0,-31286000.0,-23541000.0,-25372000.0,-46886000.0
Minority Interests,0.0,662000.0,762000.0,1186000.0,2506000.0
Net Income Including Noncontrolling Interests,-21222000.0,-31948000.0,-24303000.0,-26558000.0,-49392000.0
Net Income Continuous Operations,-21222000.0,-31948000.0,-24303000.0,-26558000.0,-49392000.0
Tax Provision,7000.0,6000.0,-6000.0,27000.0,2000.0
Pretax Income,-21215000.0,-31942000.0,-24309000.0,-26531000.0,-49390000.0
Other Income Expense,-2000.0,-9132000.0,1000.0,-23000.0,-20511000.0
Other Non Operating Income Expenses,-2000.0,-17000.0,1000.0,-23000.0,439000.0
Special Income Charges,0.0,-9115000.0,0.0,0.0,-20950000.0
Impairment Of Capital Assets,0.0,9115000.0,0.0,0.0,20950000.0
Net Non Operating Interest Income Expense,-9093000.0,-9351000.0,-8872000.0,-8562000.0,-8258000.0
Interest Expense Non Operating,9121000.0,9406000.0,9030000.0,8668000.0,8377000.0
Interest Income Non Operating,28000.0,55000.0,158000.0,106000.0,119000.0
Operating Income,-12120000.0,-13459000.0,-15438000.0,-17946000.0,-20621000.0
Operating Expense,13801000.0,14516000.0,16053000.0,18879000.0,21655000.0
Research And Development,8717000.0,9387000.0,10784000.0,12228000.0,11799000.0
Selling General And Administration,5084000.0,5129000.0,5269000.0,6651000.0,9856000.0
Total Revenue,1681000.0,1057000.0,615000.0,933000.0,1034000.0
Operating Revenue,1681000.0,1057000.0,615000.0,933000.0,1034000.0
