,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.262069,0.242753,0.252696,0.256783,0.260197
Normalized EBITDA,449400000.0,501700000.0,517700000.0,495000000.0,436000000.0
Net Income From Continuing Operation Net Minority Interest,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Reconciled Depreciation,75100000.0,74100000.0,73300000.0,73300000.0,74900000.0
Reconciled Cost Of Revenue,4489800000.0,4256600000.0,4481900000.0,4735400000.0,4076800000.0
EBITDA,449400000.0,501700000.0,517700000.0,495000000.0,436000000.0
EBIT,374300000.0,427600000.0,444400000.0,421700000.0,361100000.0
Net Interest Income,-55300000.0,-58500000.0,-55000000.0,-56800000.0,-57100000.0
Interest Expense,55300000.0,58500000.0,55000000.0,56800000.0,57100000.0
Normalized Income,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Net Income From Continuing And Discontinued Operation,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Total Expenses,5303800000.0,5080300000.0,5294100000.0,5556400000.0,4837700000.0
Total Operating Income As Reported,376000000.0,430700000.0,443300000.0,420200000.0,361400000.0
Diluted Average Shares,129500000.0,130600000.0,131800000.0,132400000.0,133500000.0
Basic Average Shares,129000000.0,130000000.0,131000000.0,131600000.0,132500000.0
Diluted EPS,1.82,2.14,2.21,2.05,1.69
Basic EPS,1.82,2.15,2.22,2.06,1.7
Diluted NI Availto Com Stockholders,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Net Income Common Stockholders,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Net Income,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Net Income Including Noncontrolling Interests,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Net Income Continuous Operations,235400000.0,279500000.0,291000000.0,271200000.0,224900000.0
Tax Provision,83600000.0,89600000.0,98400000.0,93700000.0,79100000.0
Pretax Income,319000000.0,369100000.0,389400000.0,364900000.0,304000000.0
Other Income Expense,-1700000.0,-3100000.0,1100000.0,1500000.0,-300000.0
Other Non Operating Income Expenses,-1700000.0,-3100000.0,1100000.0,1500000.0,-300000.0
Net Non Operating Interest Income Expense,-55300000.0,-58500000.0,-55000000.0,-56800000.0,-57100000.0
Interest Expense Non Operating,55300000.0,58500000.0,55000000.0,56800000.0,57100000.0
Operating Income,376000000.0,430700000.0,443300000.0,420200000.0,361400000.0
Operating Expense,814000000.0,823700000.0,812200000.0,821000000.0,760900000.0
Selling General And Administration,814000000.0,823700000.0,812200000.0,821000000.0,760900000.0
Gross Profit,1190000000.0,1254400000.0,1255500000.0,1241200000.0,1122300000.0
Cost Of Revenue,4489800000.0,4256600000.0,4481900000.0,4735400000.0,4076800000.0
Total Revenue,5679800000.0,5511000000.0,5737400000.0,5976600000.0,5199100000.0
Operating Revenue,5650300000.0,5482300000.0,5707700000.0,5947400000.0,5171900000.0
