,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-3984926.0,-4367724.0,-4795432.0,-4582700.0,-4551691.0,
Net Income From Continuing Operation Net Minority Interest,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Reconciled Depreciation,418580.0,403525.0,449265.0,455327.0,479316.0,
Reconciled Cost Of Revenue,1749388.0,1398336.0,1212230.0,1919781.0,2701531.0,
EBITDA,-3984926.0,-4367724.0,-4795432.0,-4582700.0,-4551691.0,
EBIT,-4403506.0,-4771249.0,-5244697.0,-5038027.0,-5031007.0,
Net Interest Income,-252402.0,-13400.0,-14427.0,-32132.0,-77681.0,
Interest Expense,262966.0,17412.0,14929.0,32504.0,77681.0,
Interest Income,10564.0,4012.0,502.0,372.0,,74549.0
Normalized Income,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Net Income From Continuing And Discontinued Operation,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Total Expenses,4738165.0,4888578.0,5399699.0,5194661.0,5316181.0,
Total Operating Income As Reported,-4414070.0,-4775261.0,-5245199.0,-5038399.0,-5031007.0,
Diluted Average Shares,85260439.0,84822891.0,80822891.0,77433172.0,75738312.0,
Basic Average Shares,77842891.0,77842891.0,73842891.0,68301466.0,60182901.0,
Diluted EPS,-0.06,-0.06,-0.18,-0.07,-0.08,
Basic EPS,-0.06,-0.06,-0.07,-0.07,-0.08,
Diluted NI Availto Com Stockholders,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Net Income Common Stockholders,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Net Income Including Noncontrolling Interests,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Net Income Continuous Operations,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Tax Provision,0.0,0.0,0.0,0.0,0.0,
Pretax Income,-4666472.0,-4788661.0,-5259626.0,-5070531.0,-5108688.0,
Net Non Operating Interest Income Expense,-252402.0,-13400.0,-14427.0,-32132.0,-77681.0,
Interest Expense Non Operating,262966.0,17412.0,14929.0,32504.0,77681.0,
Interest Income Non Operating,10564.0,4012.0,502.0,372.0,,74549.0
Operating Income,-4414070.0,-4775261.0,-5245199.0,-5038399.0,-5031007.0,
Operating Expense,2988777.0,3490242.0,4187469.0,3274880.0,2614650.0,
Other Operating Expenses,3187033.0,3730628.0,4339480.0,3505153.0,2721977.0,
Depreciation And Amortization In Income Statement,418580.0,403525.0,449265.0,455327.0,479316.0,
Depreciation Income Statement,418580.0,403525.0,449265.0,455327.0,479316.0,
Gross Profit,-1425293.0,-1285019.0,-1057730.0,-1763519.0,-2416357.0,
Cost Of Revenue,1749388.0,1398336.0,1212230.0,1919781.0,2701531.0,
Total Revenue,324095.0,113317.0,154500.0,156262.0,285174.0,
Operating Revenue,324095.0,113317.0,154500.0,156262.0,285174.0,
