,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31
Tax Effect Of Unusual Items,-83396.801219,-227315.914489,0.0,64864.864865,-537227.214377,,
Tax Rate For Calcs,0.277989,0.068884,0.145743,0.162162,0.198973,,
Normalized EBITDA,169800000.0,80400000.0,103500000.0,107100000.0,111900000.0,,
Total Unusual Items,-300000.0,-3300000.0,,400000.0,-2700000.0,3292000.0,
Total Unusual Items Excluding Goodwill,-300000.0,-3300000.0,,400000.0,-2700000.0,3292000.0,
Net Income From Continuing Operation Net Minority Interest,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Reconciled Depreciation,37000000.0,34400000.0,32800000.0,32100000.0,30000000.0,,
Reconciled Cost Of Revenue,2345800000.0,2305000000.0,2188400000.0,2162000000.0,2192200000.0,,
EBITDA,169500000.0,77100000.0,103500000.0,107500000.0,109200000.0,,
EBIT,132500000.0,42700000.0,70700000.0,75400000.0,79200000.0,,
Net Interest Income,2800000.0,4600000.0,3500000.0,3900000.0,3200000.0,,
Interest Expense,1200000.0,600000.0,1400000.0,1400000.0,1300000.0,,
Interest Income,4000000.0,5200000.0,4900000.0,5300000.0,4500000.0,,
Normalized Income,95016603.198781,42272684.085511,59200000.0,61664864.864865,64562772.785623,,
Net Income From Continuing And Discontinued Operation,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Total Expenses,3228700000.0,3222200000.0,3051400000.0,3034500000.0,3039100000.0,,
Total Operating Income As Reported,128500000.0,42500000.0,65200000.0,69700000.0,76900000.0,,
Diluted Average Shares,419100000.0,424100000.0,425500000.0,428400000.0,425300000.0,,
Basic Average Shares,413800000.0,414400000.0,414200000.0,414200000.0,413700000.0,,
Diluted EPS,0.23,0.09,0.14,0.14,0.15,,
Basic EPS,0.23,0.09,0.14,0.15,0.15,,
Diluted NI Availto Com Stockholders,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Net Income Common Stockholders,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Net Income,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Net Income Including Noncontrolling Interests,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Net Income Continuous Operations,94800000.0,39200000.0,59200000.0,62000000.0,62400000.0,,
Tax Provision,36500000.0,2900000.0,10100000.0,12000000.0,15500000.0,,
Pretax Income,131300000.0,42100000.0,69300000.0,74000000.0,77900000.0,,
Other Income Expense,,-5000000.0,600000.0,400000.0,-2200000.0,3292000.0,
Other Non Operating Income Expenses,300000.0,,600000.0,,500000.0,530000.0,500000.0
Gain On Sale Of Security,-300000.0,-3300000.0,,400000.0,-2700000.0,3292000.0,
Net Non Operating Interest Income Expense,2800000.0,4600000.0,3500000.0,3900000.0,3200000.0,,
Interest Expense Non Operating,1200000.0,600000.0,1400000.0,1400000.0,1300000.0,,
Interest Income Non Operating,4000000.0,5200000.0,4900000.0,5300000.0,4500000.0,,
Operating Income,128500000.0,42500000.0,65200000.0,69700000.0,76900000.0,,
Operating Expense,882900000.0,917200000.0,863000000.0,872500000.0,846900000.0,,
Selling General And Administration,882900000.0,917200000.0,863000000.0,872500000.0,846900000.0,,
Selling And Marketing Expense,206100000.0,232600000.0,197900000.0,200600000.0,193800000.0,,
General And Administrative Expense,676800000.0,684600000.0,665100000.0,671900000.0,653100000.0,,
Other Gand A,676800000.0,684600000.0,665100000.0,671900000.0,653100000.0,,
Gross Profit,1011400000.0,959700000.0,928200000.0,942200000.0,923800000.0,,
Cost Of Revenue,2345800000.0,2305000000.0,2188400000.0,2162000000.0,2192200000.0,,
Total Revenue,3357200000.0,3264700000.0,3116600000.0,3104200000.0,3116000000.0,,
Operating Revenue,3249900000.0,4654600000.0,2524500000.0,2495500000.0,3016800000.0,,
