,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-31557.0,-67262.387036,-370260.0,-86562.0,-111986.0
Tax Rate For Calcs,0.201,0.27454,0.255,0.229,0.133
Normalized EBITDA,6489000.0,12030000.0,11128000.0,10439000.0,7653000.0
Total Unusual Items,-157000.0,-245000.0,-1452000.0,-378000.0,-842000.0
Total Unusual Items Excluding Goodwill,-157000.0,-245000.0,-1452000.0,-378000.0,-842000.0
Net Income From Continuing Operation Net Minority Interest,3334000.0,6984000.0,4696000.0,5968000.0,3684000.0
Reconciled Depreciation,2147000.0,2195000.0,2145000.0,2092000.0,1907000.0
Reconciled Cost Of Revenue,155712000.0,163850000.0,135441000.0,132866000.0,114478000.0
EBITDA,6332000.0,11785000.0,9676000.0,10061000.0,6811000.0
EBIT,4185000.0,9590000.0,7531000.0,7969000.0,4904000.0
Net Interest Income,142000.0,282000.0,224000.0,151000.0,186000.0
Normalized Income,3459443.0,7161737.612964,5777740.0,6259438.0,4414014.0
Net Income From Continuing And Discontinued Operation,3334000.0,6984000.0,4696000.0,5968000.0,3684000.0
Total Expenses,178191000.0,184256000.0,153812000.0,151315000.0,133140000.0
Total Operating Income As Reported,3884000.0,9516000.0,6937000.0,7956000.0,4778000.0
Diluted Average Shares,18216000.0,18168000.0,18144000.0,18084000.0,17988000.0
Basic Average Shares,18216000.0,18168000.0,18144000.0,18084000.0,17988000.0
Diluted EPS,0.18,0.38,0.255,0.325,0.2025
Basic EPS,0.18,0.38,0.255,0.325,0.2025
Diluted NI Availto Com Stockholders,3334000.0,6869000.0,4627000.0,5875000.0,3623000.0
Net Income Common Stockholders,3334000.0,6869000.0,4627000.0,5875000.0,3623000.0
Otherunder Preferred Stock Dividend,0.0,115000.0,69000.0,93000.0,61000.0
Net Income,3334000.0,6984000.0,4696000.0,5968000.0,3684000.0
Net Income Including Noncontrolling Interests,3334000.0,6984000.0,4696000.0,5968000.0,3684000.0
Net Income Continuous Operations,3334000.0,6984000.0,4696000.0,5968000.0,3684000.0
Tax Provision,836000.0,2643000.0,1607000.0,1774000.0,564000.0
Pretax Income,4170000.0,9627000.0,6303000.0,7742000.0,4248000.0
Other Income Expense,-157000.0,-245000.0,-1452000.0,-378000.0,-842000.0
Special Income Charges,-301000.0,-74000.0,-1454000.0,-392000.0,-262000.0
Restructuring And Mergern Acquisition,301000.0,74000.0,1454000.0,392000.0,262000.0
Gain On Sale Of Security,144000.0,-171000.0,2000.0,14000.0,-580000.0
Net Non Operating Interest Income Expense,142000.0,282000.0,224000.0,151000.0,186000.0
Total Other Finance Cost,-142000.0,-282000.0,-224000.0,-151000.0,-186000.0
Operating Income,4185000.0,9590000.0,7531000.0,7969000.0,4904000.0
Operating Expense,22315000.0,20243000.0,18202000.0,18339000.0,18492000.0
Depreciation Amortization Depletion Income Statement,1983000.0,2032000.0,1976000.0,1982000.0,1737000.0
Depreciation And Amortization In Income Statement,1983000.0,2032000.0,1976000.0,1982000.0,1737000.0
Selling General And Administration,20332000.0,18211000.0,16226000.0,16357000.0,16755000.0
Gross Profit,26500000.0,29833000.0,25733000.0,26308000.0,23396000.0
Cost Of Revenue,155876000.0,164013000.0,135610000.0,132976000.0,114648000.0
Total Revenue,182376000.0,193846000.0,161343000.0,159284000.0,138044000.0
Operating Revenue,182376000.0,193846000.0,161343000.0,159284000.0,138044000.0
