,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-2960000.0,3971652.892562,1624214.046823,-924000.0,-1218000.0,,
Tax Rate For Calcs,0.4,0.159504,0.28495,0.21,0.21,,
Normalized EBITDA,78700000.0,-604300000.0,373100000.0,306500000.0,70000000.0,,
Total Unusual Items,-7400000.0,24900000.0,5700000.0,-4400000.0,-5800000.0,,
Total Unusual Items Excluding Goodwill,-7400000.0,24900000.0,5700000.0,-4400000.0,-5800000.0,,
Net Income From Continuing Operation Net Minority Interest,231700000.0,-101700000.0,106900000.0,29400000.0,341100000.0,,
Reconciled Depreciation,39100000.0,49100000.0,74700000.0,75200000.0,78000000.0,,
Reconciled Cost Of Revenue,233100000.0,-1426200000.0,938900000.0,772800000.0,148800000.0,,
EBITDA,71300000.0,-579400000.0,378800000.0,302100000.0,64200000.0,,
EBIT,32200000.0,-628500000.0,304100000.0,226900000.0,-13800000.0,,
Net Interest Income,20700000.0,489700000.0,-150700000.0,-153000000.0,4400000.0,,
Interest Expense,,,154600000.0,156100000.0,173700000.0,183700000.0,168000000.0
Interest Income,20700000.0,5300000.0,3900000.0,3100000.0,4400000.0,,
Normalized Income,236140000.0,-122628347.107438,102824214.046823,32876000.0,345682000.0,,
Net Income From Continuing And Discontinued Operation,5508000000.0,1359500000.0,108400000.0,31800000.0,784000000.0,,
Total Expenses,439600000.0,-1570900000.0,1335600000.0,1159400000.0,401900000.0,,
Total Operating Income As Reported,23700000.0,-623300000.0,300900000.0,236000000.0,-16300000.0,,
Diluted Average Shares,237900000.0,221800000.0,,227300000.0,271900000.0,215900000.0,
Basic Average Shares,225200000.0,221800000.0,,218100000.0,216300000.0,215900000.0,
Diluted EPS,23.15,6.05,,0.06,2.88,-0.05,
Basic EPS,24.45,6.05,,0.07,3.55,-0.05,
Diluted NI Availto Com Stockholders,5506300000.0,1341900000.0,91100000.0,14700000.0,767100000.0,,
Net Income Common Stockholders,5506300000.0,1341900000.0,91100000.0,14700000.0,767100000.0,,
Preferred Stock Dividends,1700000.0,17600000.0,17300000.0,17100000.0,16900000.0,,
Net Income,5508000000.0,1359500000.0,108400000.0,31800000.0,784000000.0,,
Net Income Including Noncontrolling Interests,5508000000.0,1359500000.0,108400000.0,31800000.0,784000000.0,,
Net Income Discontinuous Operations,5276300000.0,1461200000.0,1500000.0,2400000.0,442900000.0,,
Net Income Continuous Operations,231700000.0,-101700000.0,106900000.0,29400000.0,341100000.0,,
Tax Provision,-185200000.0,-19300000.0,42600000.0,41400000.0,-357500000.0,,
Pretax Income,46500000.0,-121000000.0,149500000.0,70800000.0,-16400000.0,,
Other Income Expense,-6400000.0,16800000.0,6100000.0,-4900000.0,-7000000.0,,
Other Non Operating Income Expenses,1000000.0,-8100000.0,400000.0,-500000.0,-1200000.0,,
Special Income Charges,-8500000.0,4200000.0,6800000.0,7300000.0,-2500000.0,,
Gain On Sale Of Business,1100000.0,7900000.0,8600000.0,10300000.0,8700000.0,,
Write Off,,,,,,0.0,0.0
Restructuring And Mergern Acquisition,9600000.0,3700000.0,1800000.0,3000000.0,11200000.0,,
Gain On Sale Of Security,1100000.0,,-1100000.0,-11700000.0,-3300000.0,,-10200000.0
Net Non Operating Interest Income Expense,20700000.0,489700000.0,-150700000.0,-153000000.0,4400000.0,,
Interest Expense Non Operating,,,154600000.0,156100000.0,173700000.0,183700000.0,168000000.0
Interest Income Non Operating,20700000.0,5300000.0,3900000.0,3100000.0,4400000.0,,
Operating Income,32200000.0,-627500000.0,294100000.0,228700000.0,-13800000.0,,
Operating Expense,201500000.0,-144700000.0,373700000.0,363000000.0,211400000.0,,
Other Operating Expenses,,0.0,-100000.0,4900000.0,,,
Depreciation Amortization Depletion Income Statement,34100000.0,-18900000.0,51700000.0,51600000.0,36300000.0,,
Depreciation And Amortization In Income Statement,34100000.0,-18900000.0,51700000.0,51600000.0,36300000.0,,
Amortization,34100000.0,-18900000.0,51700000.0,51600000.0,36300000.0,,
Amortization Of Intangibles Income Statement,34100000.0,-18900000.0,51700000.0,51600000.0,36300000.0,,
Research And Development,58200000.0,13400000.0,95300000.0,90900000.0,66200000.0,,
Selling General And Administration,109200000.0,-139200000.0,226800000.0,215600000.0,108900000.0,,
Gross Profit,233700000.0,-772200000.0,667800000.0,591700000.0,197600000.0,,
Cost Of Revenue,238100000.0,-1426200000.0,961900000.0,796400000.0,190500000.0,,
Total Revenue,471800000.0,-2198400000.0,1629700000.0,1388100000.0,388100000.0,,
Operating Revenue,471800000.0,-2198400000.0,1629700000.0,1388100000.0,388100000.0,,
