,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-50123600.0,-22310.0,-48930.0,292110.0,-4632.121386,
Tax Rate For Calcs,0.4,0.23,0.21,0.21,0.231606,
Normalized EBITDA,-14682000.0,28323000.0,24348000.0,17935000.0,16625000.0,
Total Unusual Items,-125309000.0,-97000.0,-233000.0,1391000.0,-20000.0,
Total Unusual Items Excluding Goodwill,-125309000.0,-97000.0,-233000.0,1391000.0,-20000.0,
Net Income From Continuing Operation Net Minority Interest,-238230000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Reconciled Depreciation,40418000.0,12135000.0,12219000.0,12266000.0,11957000.0,
Reconciled Cost Of Revenue,320336000.0,164985000.0,166351000.0,154067000.0,162520000.0,
EBITDA,-139991000.0,28226000.0,24115000.0,19326000.0,16605000.0,
EBIT,-180409000.0,16091000.0,11896000.0,7060000.0,4648000.0,
Net Interest Income,-35388000.0,-8312000.0,-8747000.0,-8698000.0,-8141000.0,
Interest Expense,35388000.0,8312000.0,8747000.0,8698000.0,8141000.0,
Normalized Income,-163044600.0,6072690.0,4779070.0,-2996890.0,-2668632.121386,
Net Income From Continuing And Discontinued Operation,-238230000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Total Expenses,494316000.0,242487000.0,248859000.0,230428000.0,241958000.0,
Total Operating Income As Reported,-153181000.0,16168000.0,12188000.0,5492000.0,4931000.0,
Diluted Average Shares,28742000.0,28941000.0,28874000.0,28658000.0,,28888000.0
Basic Average Shares,28742000.0,28729000.0,28726000.0,28658000.0,,28631000.0
Diluted EPS,-5.78,0.21,0.16,-0.07,,0.14
Basic EPS,-5.78,0.21,0.16,-0.07,,0.14
Diluted NI Availto Com Stockholders,-238230000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Net Income Common Stockholders,-238230000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Net Income,-238230000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Net Income Including Noncontrolling Interests,-238132000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Net Income Continuous Operations,-238132000.0,5998000.0,4595000.0,-1898000.0,-2684000.0,
Tax Provision,22335000.0,1781000.0,-1446000.0,260000.0,-809000.0,
Pretax Income,-215797000.0,7779000.0,3149000.0,-1638000.0,-3493000.0,
Other Income Expense,-123922000.0,-77000.0,-292000.0,1568000.0,-283000.0,
Other Non Operating Income Expenses,1387000.0,20000.0,-59000.0,177000.0,-263000.0,
Gain On Sale Of Security,-4430000.0,-97000.0,-233000.0,1391000.0,-20000.0,
Net Non Operating Interest Income Expense,-35388000.0,-8312000.0,-8747000.0,-8698000.0,-8141000.0,
Interest Expense Non Operating,35388000.0,8312000.0,8747000.0,8698000.0,8141000.0,
Operating Income,-56487000.0,16168000.0,12188000.0,5492000.0,4931000.0,
Operating Expense,159379000.0,72989000.0,77972000.0,71730000.0,74879000.0,
Depreciation Amortization Depletion Income Statement,25817000.0,7622000.0,7683000.0,7635000.0,7398000.0,
Depreciation And Amortization In Income Statement,25817000.0,7622000.0,7683000.0,7635000.0,7398000.0,
Amortization,25817000.0,7622000.0,7683000.0,7635000.0,7398000.0,
Amortization Of Intangibles Income Statement,25817000.0,7622000.0,7683000.0,7635000.0,7398000.0,
Research And Development,7365000.0,4442000.0,4781000.0,4821000.0,6276000.0,
Selling General And Administration,126197000.0,60925000.0,65508000.0,59274000.0,61205000.0,
Selling And Marketing Expense,47149000.0,28777000.0,29122000.0,28531000.0,27999000.0,
General And Administrative Expense,79048000.0,32148000.0,36386000.0,30743000.0,33206000.0,
Other Gand A,79048000.0,32148000.0,36386000.0,30743000.0,33206000.0,
Gross Profit,102892000.0,89157000.0,90160000.0,77222000.0,79810000.0,
Cost Of Revenue,334937000.0,169498000.0,170887000.0,158698000.0,167079000.0,
Total Revenue,437829000.0,258655000.0,261047000.0,235920000.0,246889000.0,
Operating Revenue,437829000.0,258655000.0,261047000.0,235920000.0,246889000.0,
