,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.4,0.0,0.0,0.0,0.233767
Normalized EBITDA,26185400.0,10906800.0,15536600.0,12090100.0,12474200.0
Total Unusual Items,0.0,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Reconciled Depreciation,94500.0,94100.0,69400.0,65100.0,37400.0
Reconciled Cost Of Revenue,492189300.0,453853600.0,396702100.0,215274100.0,184744200.0
EBITDA,26185400.0,10906800.0,15536600.0,12090100.0,12474200.0
EBIT,26090900.0,10812700.0,15467200.0,12025000.0,12436800.0
Net Interest Income,-1100.0,-3600.0,-3900.0,-300.0,-500.0
Interest Expense,1100.0,3600.0,3900.0,300.0,500.0
Normalized Income,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Net Income From Continuing And Discontinued Operation,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Total Expenses,495165500.0,455874000.0,398449600.0,218602800.0,192475300.0
Diluted Average Shares,201815385.0,203945283.0,204000000.0,203808475.0,204000000.0
Basic Average Shares,201815385.0,203945283.0,204000000.0,203808475.0,204000000.0
Diluted EPS,0.039,0.053,0.758,0.059,0.093
Basic EPS,0.039,0.053,0.758,0.059,0.093
Diluted NI Availto Com Stockholders,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Net Income Common Stockholders,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Net Income Including Noncontrolling Interests,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0
Net Income Continuous Operations,7870800.0,10809100.0,15463300.0,12024700.0,9529100.0
Tax Provision,18218900.0,0.0,0.0,0.0,2907200.0
Pretax Income,26089800.0,10809100.0,15463300.0,12024700.0,12436300.0
Other Non Operating Income Expenses,12767000.0,11425700.0,12747000.0,12747600.0,574400.0
Special Income Charges,0.0,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-1100.0,-3600.0,-3900.0,-300.0,-500.0
Interest Expense Non Operating,1100.0,3600.0,3900.0,300.0,500.0
Operating Income,13323900.0,-613000.0,2720200.0,-722500.0,11862400.0
Operating Expense,2976200.0,2020400.0,1747500.0,3328700.0,7731100.0
Other Operating Expenses,2881700.0,1926300.0,1678100.0,3263600.0,7693700.0
Depreciation And Amortization In Income Statement,94500.0,94100.0,69400.0,65100.0,37400.0
Depreciation Income Statement,94500.0,94100.0,69400.0,65100.0,37400.0
Gross Profit,16300100.0,1407400.0,4467700.0,2606200.0,19593500.0
Cost Of Revenue,492189300.0,453853600.0,396702100.0,215274100.0,184744200.0
Total Revenue,508489400.0,455261000.0,401169800.0,217880300.0,204337700.0
Operating Revenue,508489400.0,455261000.0,401169800.0,217880300.0,204337700.0
