,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-09-30
Tax Effect Of Unusual Items,-8400000.0,-189000000.0,-4950000.0,1650000.0,16701754.385965,
Tax Rate For Calcs,0.4,0.15,0.15,0.15,0.397661,
Normalized EBITDA,692000000.0,1811000000.0,73000000.0,607000000.0,658000000.0,
Total Unusual Items,-21000000.0,-1260000000.0,-33000000.0,11000000.0,42000000.0,
Total Unusual Items Excluding Goodwill,-21000000.0,-1260000000.0,-33000000.0,11000000.0,42000000.0,
Net Income From Continuing Operation Net Minority Interest,193000000.0,13000000.0,-947000000.0,285000000.0,204000000.0,
Reconciled Depreciation,263000000.0,317000000.0,720000000.0,272000000.0,278000000.0,
Reconciled Cost Of Revenue,3104000000.0,3701000000.0,3626000000.0,3617000000.0,3621000000.0,
EBITDA,671000000.0,551000000.0,40000000.0,618000000.0,700000000.0,
EBIT,408000000.0,234000000.0,-680000000.0,346000000.0,422000000.0,
Net Interest Income,-63000000.0,-71000000.0,-73000000.0,-70000000.0,-61000000.0,
Interest Expense,81000000.0,96000000.0,93000000.0,84000000.0,80000000.0,
Interest Income,18000000.0,25000000.0,20000000.0,14000000.0,19000000.0,
Normalized Income,205600000.0,1084000000.0,-918950000.0,275650000.0,178701754.385965,
Net Income From Continuing And Discontinued Operation,200000000.0,17000000.0,-756000000.0,506000000.0,68000000.0,
Total Expenses,3916000000.0,4671000000.0,4492000000.0,4499000000.0,4483000000.0,
Diluted Average Shares,200000000.0,,200000000.0,200000000.0,200000000.0,200000000.0
Basic Average Shares,200000000.0,,200000000.0,200000000.0,200000000.0,200000000.0
Diluted EPS,1.0,,-3.78,2.53,0.34,2.43
Basic EPS,1.0,,-3.78,2.53,0.34,2.43
Diluted NI Availto Com Stockholders,200000000.0,17000000.0,-756000000.0,506000000.0,68000000.0,
Net Income Common Stockholders,200000000.0,17000000.0,-756000000.0,506000000.0,68000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,200000000.0,17000000.0,-756000000.0,506000000.0,68000000.0,
Minority Interests,2000000.0,-4000000.0,-6000000.0,-16000000.0,-3000000.0,
Net Income Including Noncontrolling Interests,198000000.0,21000000.0,-750000000.0,522000000.0,71000000.0,
Net Income Discontinuous Operations,7000000.0,4000000.0,191000000.0,221000000.0,-136000000.0,
Net Income Continuous Operations,191000000.0,17000000.0,-940000000.0,302000000.0,207000000.0,
Tax Provision,136000000.0,121000000.0,167000000.0,-40000000.0,136000000.0,
Pretax Income,327000000.0,138000000.0,-773000000.0,262000000.0,342000000.0,
Other Non Operating Income Expenses,-68000000.0,1220000000.0,-1155000000.0,-24000000.0,-12000000.0,
Special Income Charges,-29000000.0,,,,0.0,
Other Special Charges,29000000.0,,,,,
Net Non Operating Interest Income Expense,-63000000.0,-71000000.0,-73000000.0,-70000000.0,-61000000.0,
Interest Expense Non Operating,81000000.0,96000000.0,93000000.0,84000000.0,80000000.0,
Interest Income Non Operating,18000000.0,25000000.0,20000000.0,14000000.0,19000000.0,
Operating Income,480000000.0,293000000.0,458000000.0,357000000.0,422000000.0,
Operating Expense,812000000.0,970000000.0,866000000.0,882000000.0,862000000.0,
Research And Development,133000000.0,130000000.0,144000000.0,139000000.0,149000000.0,
Selling General And Administration,679000000.0,822000000.0,722000000.0,743000000.0,713000000.0,
Selling And Marketing Expense,458000000.0,499000000.0,453000000.0,460000000.0,471000000.0,
General And Administrative Expense,221000000.0,323000000.0,269000000.0,283000000.0,242000000.0,
Gross Profit,1292000000.0,1263000000.0,1324000000.0,1239000000.0,1284000000.0,
Cost Of Revenue,3104000000.0,3701000000.0,3626000000.0,3617000000.0,3621000000.0,
Total Revenue,4396000000.0,4965000000.0,4950000000.0,4856000000.0,4905000000.0,
Operating Revenue,4396000000.0,4965000000.0,4950000000.0,4856000000.0,4905000000.0,
