,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-216000.0,-274500.0,-6000.0,-68700.0,-1262100.0,
Tax Rate For Calcs,0.4,0.3,0.3,0.3,0.3,
Normalized EBITDA,6599000.0,1248000.0,7229000.0,6307000.0,10656000.0,
Total Unusual Items,-540000.0,-915000.0,-20000.0,-229000.0,-4207000.0,
Total Unusual Items Excluding Goodwill,-540000.0,-915000.0,-20000.0,-229000.0,-4207000.0,
Net Income From Continuing Operation Net Minority Interest,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Reconciled Depreciation,3434000.0,3927000.0,3436000.0,3632000.0,3332000.0,
Reconciled Cost Of Revenue,54927000.0,54667000.0,56134000.0,53822000.0,59553000.0,
EBITDA,6059000.0,333000.0,7209000.0,6078000.0,6449000.0,
EBIT,2625000.0,-3594000.0,3773000.0,2446000.0,3117000.0,
Net Interest Income,-2856000.0,-89000.0,-2976000.0,-2896000.0,990000.0,
Interest Expense,,,2976000.0,2896000.0,,-637000.0
Interest Income,,,,,990000.0,
Normalized Income,-1019000.0,769500.0,42000.0,-1106700.0,1964900.0,
Net Income From Continuing And Discontinued Operation,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Total Expenses,82378000.0,80616000.0,81711000.0,79816000.0,85535000.0,
Total Operating Income As Reported,2085000.0,2366000.0,3753000.0,2217000.0,-1090000.0,
Diluted Average Shares,90709210.0,92432382.0,91744069.0,89470719.0,88742804.0,
Basic Average Shares,90709210.0,90612915.0,90296561.0,89470719.0,88742804.0,
Diluted EPS,-0.01,0.0,0.0,-0.01,-0.01,
Basic EPS,-0.01,0.0,0.0,-0.01,-0.01,
Diluted NI Availto Com Stockholders,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Net Income Common Stockholders,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Net Income,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Net Income Including Noncontrolling Interests,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Net Income Continuous Operations,-1343000.0,129000.0,28000.0,-1267000.0,-980000.0,
Tax Provision,572000.0,581000.0,749000.0,588000.0,880000.0,
Pretax Income,-771000.0,710000.0,777000.0,-679000.0,-100000.0,
Other Income Expense,-540000.0,-915000.0,-20000.0,-229000.0,-4207000.0,
Special Income Charges,-540000.0,2647000.0,-20000.0,-229000.0,-4207000.0,
Restructuring And Mergern Acquisition,540000.0,-2647000.0,20000.0,229000.0,4207000.0,
Net Non Operating Interest Income Expense,-2856000.0,-89000.0,-2976000.0,-2896000.0,990000.0,
Total Other Finance Cost,2856000.0,-4699000.0,2976000.0,,-990000.0,-6187000.0
Interest Expense Non Operating,,,2976000.0,2896000.0,,-637000.0
Interest Income Non Operating,,,,,990000.0,
Operating Income,2625000.0,1714000.0,3773000.0,2446000.0,3117000.0,
Operating Expense,27451000.0,25949000.0,25577000.0,25994000.0,25982000.0,
Research And Development,7941000.0,7891000.0,6955000.0,7332000.0,8249000.0,
Selling General And Administration,19510000.0,18058000.0,18622000.0,18662000.0,17733000.0,
Selling And Marketing Expense,13990000.0,12053000.0,12609000.0,11722000.0,12297000.0,
General And Administrative Expense,5520000.0,6005000.0,6013000.0,6940000.0,5436000.0,
Other Gand A,5520000.0,6005000.0,6013000.0,6940000.0,5436000.0,
Gross Profit,30076000.0,27663000.0,29350000.0,28440000.0,29099000.0,
Cost Of Revenue,54927000.0,54667000.0,56134000.0,53822000.0,59553000.0,
Total Revenue,85003000.0,82330000.0,85484000.0,82262000.0,88652000.0,
Operating Revenue,85003000.0,82330000.0,85484000.0,82262000.0,88652000.0,
