,2026-03-31,2025-12-31
Tax Effect Of Unusual Items,81455.6,0.0
Tax Rate For Calcs,0.4,0.0
Normalized EBITDA,-412294.0,-46492.0
Total Unusual Items,203639.0,
Total Unusual Items Excluding Goodwill,203639.0,
Net Income From Continuing Operation Net Minority Interest,414794.0,-46492.0
EBITDA,-208655.0,-46492.0
EBIT,-208655.0,-46492.0
Net Interest Income,419810.0,
Interest Income,419810.0,
Normalized Income,292610.6,-46492.0
Net Income From Continuing And Discontinued Operation,414794.0,-46492.0
Total Expenses,208655.0,46492.0
Diluted Average Shares,9018556.0,17606667.0
Basic Average Shares,9015445.0,17606667.0
Diluted EPS,0.05,-0.002641
Basic EPS,0.05,-0.002641
Diluted NI Availto Com Stockholders,414794.0,-46492.0
Net Income Common Stockholders,414794.0,-46492.0
Net Income,414794.0,-46492.0
Net Income Including Noncontrolling Interests,414794.0,-46492.0
Net Income Continuous Operations,414794.0,-46492.0
Pretax Income,414794.0,-46492.0
Other Income Expense,203639.0,
Gain On Sale Of Security,203639.0,
Net Non Operating Interest Income Expense,419810.0,
Interest Income Non Operating,419810.0,
Operating Income,-208655.0,-46492.0
Operating Expense,208655.0,46492.0
Selling General And Administration,208655.0,46492.0
General And Administrative Expense,208655.0,46492.0
Other Gand A,208655.0,46492.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
