,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-11122557.0,-13956820.0,-2905172.0,-1572367.0,-1536762.0,
Total Unusual Items,,-5674004.0,0.0,,,-788000.0
Total Unusual Items Excluding Goodwill,,-5674004.0,0.0,,,-788000.0
Net Income From Continuing Operation Net Minority Interest,-11392033.0,-20592836.0,-3451950.0,-2117862.0,-2089910.0,
Reconciled Depreciation,145650.0,838186.0,418213.0,418225.0,418225.0,
Reconciled Cost Of Revenue,1270603.0,2840060.0,947167.0,1539827.0,999246.0,
EBITDA,-11122557.0,-19630824.0,-2905172.0,-1572367.0,-1536762.0,
EBIT,-11268207.0,-20469010.0,-3323385.0,-1990592.0,-1954987.0,
Net Interest Income,-123826.0,-123826.0,-128565.0,-127270.0,-134923.0,
Interest Expense,123826.0,123826.0,128565.0,127270.0,134923.0,
Normalized Income,-11392033.0,-14918832.0,-3451950.0,-2117862.0,-2089910.0,
Net Income From Continuing And Discontinued Operation,-11392033.0,-20592836.0,-3451950.0,-2117862.0,-2089910.0,
Total Expenses,8735116.0,18152857.0,4982980.0,4236596.0,3868261.0,
Total Operating Income As Reported,-7419132.0,-22222796.0,-3329204.0,-1985217.0,-1996560.0,
Diluted Average Shares,10703563.0,,2930735.0,2615695.0,2278447.0,
Basic Average Shares,10703563.0,,2930735.0,2615695.0,2278447.0,
Diluted EPS,-1.06,,-1.18,-0.81,-0.92,
Basic EPS,-1.06,,-1.18,-0.81,-0.92,
Diluted NI Availto Com Stockholders,-11392033.0,-22697524.0,-3451950.0,-2117862.0,-2089910.0,
Net Income Common Stockholders,-11392033.0,-22697524.0,-3451950.0,-2117862.0,-2089910.0,
Net Income,-11392033.0,-20592836.0,-3451950.0,-2117862.0,-2089910.0,
Net Income Including Noncontrolling Interests,-11392033.0,-20592836.0,-3451950.0,-2117862.0,-2089910.0,
Net Income Discontinuous Operations,,,,,,0.0
Net Income Continuous Operations,-11392033.0,-20592836.0,-3451950.0,-2117862.0,-2089910.0,
Tax Provision,,0.0,0.0,0.0,0.0,-119044.0
Pretax Income,-11392033.0,-20592836.0,-3451950.0,-2117862.0,-2089910.0,
Other Income Expense,-3849075.0,-3920218.0,5819.0,-5375.0,41573.0,
Other Non Operating Income Expenses,-3849075.0,1753786.0,5819.0,-5375.0,41573.0,
Special Income Charges,,-5674004.0,0.0,,,-788000.0
Impairment Of Capital Assets,,5674004.0,0.0,,,788000.0
Restructuring And Mergern Acquisition,,,,,,0.0
Net Non Operating Interest Income Expense,-123826.0,-123826.0,-128565.0,-127270.0,-134923.0,
Interest Expense Non Operating,123826.0,123826.0,128565.0,127270.0,134923.0,
Operating Income,-7419132.0,-16548792.0,-3329204.0,-1985217.0,-1996560.0,
Operating Expense,7464513.0,15312797.0,4035813.0,2696769.0,2869015.0,
Selling General And Administration,7464513.0,15312797.0,4035813.0,2696769.0,2869015.0,
Selling And Marketing Expense,4892229.0,11332355.0,1842608.0,1169520.0,895212.0,
General And Administrative Expense,2572284.0,3980442.0,2193205.0,1527249.0,1973803.0,
Other Gand A,2572284.0,3980442.0,2193205.0,1527249.0,1973803.0,
Gross Profit,45381.0,-1235995.0,706609.0,711552.0,872455.0,
Cost Of Revenue,1270603.0,2840060.0,947167.0,1539827.0,999246.0,
Total Revenue,1315984.0,1604065.0,1653776.0,2251379.0,1871701.0,
Operating Revenue,1315984.0,1604065.0,1653776.0,2251379.0,1871701.0,
