,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,937526.205451,0.0,-390527.740189,0.0,,
Tax Rate For Calcs,0.19024,0.240391,0.212468,0.150203,0.113274,,
Normalized EBITDA,211900000.0,203500000.0,214300000.0,212600000.0,221900000.0,,
Total Unusual Items,,3900000.0,,-2600000.0,,-100000.0,0.0
Total Unusual Items Excluding Goodwill,,3900000.0,,-2600000.0,,-100000.0,0.0
Net Income From Continuing Operation Net Minority Interest,114500000.0,108700000.0,123800000.0,125600000.0,150300000.0,,
Reconciled Depreciation,39100000.0,40700000.0,39600000.0,39000000.0,38100000.0,,
Reconciled Cost Of Revenue,128100000.0,132100000.0,128300000.0,123700000.0,116700000.0,,
EBITDA,211900000.0,207400000.0,214300000.0,210000000.0,221900000.0,,
EBIT,172800000.0,166700000.0,174700000.0,171000000.0,183800000.0,,
Net Interest Income,-36700000.0,-25100000.0,-20300000.0,-18600000.0,-14600000.0,,
Interest Income,,,,,,-1900000.0,3800000.0
Normalized Income,114500000.0,105737526.205451,123800000.0,127809472.259811,150300000.0,,
Net Income From Continuing And Discontinued Operation,114500000.0,108700000.0,123800000.0,125600000.0,150300000.0,,
Total Expenses,456700000.0,477900000.0,459700000.0,454700000.0,440900000.0,,
Total Operating Income As Reported,172800000.0,162200000.0,174700000.0,168400000.0,183800000.0,,
Diluted Average Shares,236700000.0,254200000.0,265100000.0,276700000.0,295700000.0,,
Basic Average Shares,235200000.0,250400000.0,261100000.0,272400000.0,290300000.0,,
Diluted EPS,0.48,0.43,0.47,0.45,0.51,,
Basic EPS,0.49,0.43,0.47,0.46,0.52,,
Diluted NI Availto Com Stockholders,114500000.0,108700000.0,123800000.0,160500000.0,150300000.0,,
Average Dilution Earnings,,,,34900000.0,,,26800000.0
Net Income Common Stockholders,114500000.0,108700000.0,123800000.0,125600000.0,150300000.0,,
Net Income,114500000.0,108700000.0,123800000.0,125600000.0,150300000.0,,
Net Income Including Noncontrolling Interests,114500000.0,108700000.0,123800000.0,125600000.0,150300000.0,,
Net Income Continuous Operations,114500000.0,108700000.0,123800000.0,125600000.0,150300000.0,,
Tax Provision,26900000.0,34400000.0,33400000.0,22200000.0,19200000.0,,
Pretax Income,141400000.0,143100000.0,157200000.0,147800000.0,169500000.0,,
Other Income Expense,5300000.0,9900000.0,2800000.0,-4600000.0,300000.0,,
Other Non Operating Income Expenses,5300000.0,6000000.0,2800000.0,-2000000.0,300000.0,,
Special Income Charges,,,,-2600000.0,,-100000.0,0.0
Gain On Sale Of Ppe,,,,-2600000.0,,-100000.0,0.0
Gain On Sale Of Security,,3900000.0,,,,,
Net Non Operating Interest Income Expense,-36700000.0,-25100000.0,-20300000.0,-18600000.0,-14600000.0,,
Total Other Finance Cost,36700000.0,,20300000.0,18600000.0,14600000.0,,-3800000.0
Interest Income Non Operating,,,,,,-1900000.0,3800000.0
Operating Income,172800000.0,158300000.0,174700000.0,171000000.0,183800000.0,,
Operating Expense,328600000.0,345800000.0,331400000.0,331000000.0,324200000.0,,
Research And Development,184200000.0,186900000.0,182300000.0,184400000.0,178400000.0,,
Selling General And Administration,144400000.0,158900000.0,149100000.0,146600000.0,145800000.0,,
Selling And Marketing Expense,86900000.0,98600000.0,91500000.0,87800000.0,92000000.0,,
General And Administrative Expense,57500000.0,60300000.0,57600000.0,58800000.0,53800000.0,,
Other Gand A,57500000.0,60300000.0,57600000.0,58800000.0,53800000.0,,
Gross Profit,501400000.0,504100000.0,506100000.0,502000000.0,508000000.0,,
Cost Of Revenue,128100000.0,132100000.0,128300000.0,123700000.0,116700000.0,,
Total Revenue,629500000.0,636200000.0,634400000.0,625700000.0,624700000.0,,
Operating Revenue,629500000.0,636200000.0,634400000.0,625700000.0,624700000.0,,
