,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-1926382.0,-1900393.0,-1760671.0,-1772731.0,-2339803.0,
Net Income From Continuing Operation Net Minority Interest,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
EBITDA,-1926382.0,-1900393.0,-1760671.0,-1772731.0,-2339803.0,
EBIT,-1926382.0,-1900393.0,-1760671.0,-1772731.0,-2339803.0,
Net Interest Income,78676.0,38505.0,68682.0,71638.0,36216.0,
Interest Income,78676.0,38505.0,68682.0,71638.0,36216.0,
Normalized Income,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Net Income From Continuing And Discontinued Operation,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Total Expenses,1926382.0,1900393.0,1760671.0,1772731.0,2339803.0,
Total Operating Income As Reported,-1926382.0,-1900393.0,-1760671.0,-1772731.0,-2339803.0,
Diluted Average Shares,3858921.0,,1026457.0,1026506.0,515465.0,
Basic Average Shares,3858921.0,,1026457.0,1026506.0,515465.0,
Diluted EPS,-0.48,,-1.65,-1.66,-4.47,
Basic EPS,-0.48,,-1.65,-1.66,-4.47,
Diluted NI Availto Com Stockholders,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Net Income Common Stockholders,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Net Income,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Net Income Including Noncontrolling Interests,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Net Income Continuous Operations,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Pretax Income,-1847706.0,-1861888.0,-1691989.0,-1701093.0,-2303587.0,
Net Non Operating Interest Income Expense,78676.0,38505.0,68682.0,71638.0,36216.0,
Interest Income Non Operating,78676.0,38505.0,68682.0,71638.0,36216.0,
Operating Income,-1926382.0,-1900393.0,-1760671.0,-1772731.0,-2339803.0,
Operating Expense,1926382.0,1900393.0,1760671.0,1772731.0,2339803.0,
Research And Development,383724.0,526620.0,504387.0,617835.0,1281141.0,
Selling General And Administration,1542658.0,1373773.0,1256284.0,1154896.0,1058662.0,
Selling And Marketing Expense,206333.0,,472940.0,,0.0,
General And Administrative Expense,1336325.0,,783344.0,1154896.0,1058662.0,1007798.0
Other Gand A,1011796.0,,475503.0,1154896.0,719644.0,1007798.0
Salaries And Wages,324529.0,,307841.0,,339018.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
