,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-84588.0,-66150.0,-94500.0,-238350.0,-164256.0,
Tax Rate For Calcs,0.266,0.21,0.21,0.21,0.087,
Normalized EBITDA,6163000.0,9389000.0,8153000.0,7640000.0,8091000.0,
Total Unusual Items,-318000.0,-315000.0,-450000.0,-1135000.0,-1888000.0,
Total Unusual Items Excluding Goodwill,-318000.0,-315000.0,-450000.0,-1135000.0,-1888000.0,
Net Income From Continuing Operation Net Minority Interest,-1540000.0,1216000.0,-903000.0,-2407000.0,-1669000.0,
Reconciled Depreciation,6927000.0,6904000.0,6834000.0,6830000.0,6722000.0,
Reconciled Cost Of Revenue,18039000.0,16930000.0,16947000.0,16726000.0,17968000.0,
EBITDA,5845000.0,9074000.0,7703000.0,6505000.0,6203000.0,
EBIT,-1082000.0,2170000.0,869000.0,-325000.0,-519000.0,
Net Interest Income,-905000.0,-977000.0,-1233000.0,-1233000.0,-1211000.0,
Interest Expense,1013000.0,1072000.0,1336000.0,1336000.0,1309000.0,
Interest Income,108000.0,95000.0,103000.0,103000.0,98000.0,
Normalized Income,-1306588.0,1464850.0,-547500.0,-1510350.0,54744.0,
Net Income From Continuing And Discontinued Operation,-1540000.0,1216000.0,-903000.0,-2407000.0,-1669000.0,
Total Expenses,38265000.0,36123000.0,37361000.0,37749000.0,39577000.0,
Total Operating Income As Reported,,,,,3303000.0,1812000.0
Diluted Average Shares,35116094.0,35257536.0,35386122.0,35573749.0,35592737.0,
Basic Average Shares,35116094.0,35196495.0,35386122.0,35573749.0,35592737.0,
Diluted EPS,-0.04,0.03,-0.03,-0.07,-0.05,
Basic EPS,-0.04,0.03,-0.03,-0.07,-0.05,
Diluted NI Availto Com Stockholders,-1540000.0,1216000.0,-903000.0,-2407000.0,-1669000.0,
Average Dilution Earnings,,,,,0.0,0.0
Net Income Common Stockholders,-1540000.0,1216000.0,-903000.0,-2407000.0,-1669000.0,
Net Income,-1540000.0,1216000.0,-903000.0,-2407000.0,-1669000.0,
Minority Interests,-2000.0,-1000.0,1000.0,,0.0,
Net Income Including Noncontrolling Interests,-1538000.0,1217000.0,-904000.0,-2407000.0,-1669000.0,
Net Income Continuous Operations,-1538000.0,1217000.0,-904000.0,-2407000.0,-1669000.0,
Tax Provision,-557000.0,-119000.0,437000.0,746000.0,-159000.0,
Pretax Income,-2095000.0,1098000.0,-467000.0,-1661000.0,-1828000.0,
Other Income Expense,-883000.0,-310000.0,-690000.0,-2100000.0,-3920000.0,
Other Non Operating Income Expenses,-565000.0,5000.0,-240000.0,-965000.0,-2032000.0,
Special Income Charges,-213000.0,-320000.0,-490000.0,-714000.0,-1888000.0,
Gain On Sale Of Ppe,0.0,5000.0,1000.0,-85000.0,13000.0,
Impairment Of Capital Assets,0.0,0.0,0.0,0.0,1901000.0,
Restructuring And Mergern Acquisition,213000.0,325000.0,491000.0,629000.0,0.0,
Gain On Sale Of Security,-105000.0,5000.0,40000.0,-421000.0,,0.0
Net Non Operating Interest Income Expense,-905000.0,-977000.0,-1233000.0,-1233000.0,-1211000.0,
Interest Expense Non Operating,1013000.0,1072000.0,1336000.0,1336000.0,1309000.0,
Interest Income Non Operating,108000.0,95000.0,103000.0,103000.0,98000.0,
Operating Income,-306000.0,2385000.0,1456000.0,1672000.0,3303000.0,
Operating Expense,20226000.0,19193000.0,20414000.0,21023000.0,21609000.0,
Selling General And Administration,20226000.0,19193000.0,20414000.0,21023000.0,21609000.0,
General And Administrative Expense,,19193000.0,20414000.0,21023000.0,,21280000.0
Other Gand A,,19193000.0,20414000.0,21023000.0,,21280000.0
Salaries And Wages,,,,,,0.0
Gross Profit,19920000.0,21578000.0,21870000.0,22695000.0,24912000.0,
Cost Of Revenue,18039000.0,16930000.0,16947000.0,16726000.0,17968000.0,
Total Revenue,37959000.0,38508000.0,38817000.0,39421000.0,42880000.0,
Operating Revenue,37959000.0,38508000.0,38817000.0,39421000.0,42880000.0,
