,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.001,0.0,0.21,0.002971,0.003
Normalized EBITDA,10169000.0,2776000.0,277000.0,-1124000.0,2342000.0
Net Income From Continuing Operation Net Minority Interest,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Reconciled Depreciation,1997000.0,1876000.0,1349000.0,1174000.0,1271000.0
Reconciled Cost Of Revenue,1997000.0,23530000.0,21808000.0,1174000.0,1271000.0
EBITDA,10169000.0,2776000.0,277000.0,-1124000.0,2342000.0
EBIT,8172000.0,900000.0,-1072000.0,-2298000.0,1071000.0
Net Interest Income,-492000.0,-312000.0,-12000.0,-23000.0,-72000.0
Interest Expense,501000.0,331000.0,71000.0,58000.0,76000.0
Interest Income,9000.0,19000.0,59000.0,35000.0,4000.0
Normalized Income,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Net Income From Continuing And Discontinued Operation,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Total Expenses,28559000.0,26105000.0,23918000.0,12222000.0,15044000.0
Total Operating Income As Reported,8140000.0,845000.0,-1172000.0,-2371000.0,1034000.0
Diluted Average Shares,31107820.0,31047910.0,31047801.0,30986929.0,31035189.0
Basic Average Shares,31052840.0,31047910.0,31047801.0,30986929.0,30983445.0
Diluted EPS,0.25,0.02,-0.04,-0.08,0.03
Basic EPS,0.25,0.02,-0.04,-0.08,0.03
Diluted NI Availto Com Stockholders,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Net Income Common Stockholders,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Net Income,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Net Income Including Noncontrolling Interests,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Net Income Continuous Operations,7661000.0,569000.0,-1153000.0,-2349000.0,992000.0
Tax Provision,10000.0,0.0,10000.0,-7000.0,3000.0
Pretax Income,7671000.0,569000.0,-1143000.0,-2356000.0,995000.0
Other Income Expense,23000.0,36000.0,41000.0,38000.0,33000.0
Other Non Operating Income Expenses,23000.0,36000.0,41000.0,38000.0,33000.0
Net Non Operating Interest Income Expense,-492000.0,-312000.0,-12000.0,-23000.0,-72000.0
Interest Expense Non Operating,501000.0,331000.0,71000.0,58000.0,76000.0
Interest Income Non Operating,9000.0,19000.0,59000.0,35000.0,4000.0
Operating Income,8140000.0,845000.0,-1172000.0,-2371000.0,1034000.0
Operating Expense,26562000.0,2575000.0,2110000.0,11048000.0,13773000.0
Other Operating Expenses,23621000.0,,,8717000.0,11779000.0
Selling General And Administration,2941000.0,2575000.0,2110000.0,2331000.0,1994000.0
General And Administrative Expense,2941000.0,2575000.0,2110000.0,2331000.0,1994000.0
Other Gand A,2941000.0,2575000.0,2110000.0,2331000.0,1994000.0
Gross Profit,34702000.0,3420000.0,938000.0,8677000.0,14807000.0
Cost Of Revenue,1997000.0,23530000.0,21808000.0,1174000.0,1271000.0
Total Revenue,36699000.0,26950000.0,22746000.0,9851000.0,16078000.0
Operating Revenue,36699000.0,26950000.0,22746000.0,9851000.0,16078000.0
