,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,-473340.0,0.0,-195510.0,-830955.0,,
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.155,,
Normalized EBITDA,-3408000.0,-18158000.0,11939000.0,4613000.0,-3620000.0,,
Total Unusual Items,,-2254000.0,0.0,-931000.0,-5361000.0,-16421000.0,
Total Unusual Items Excluding Goodwill,,-2254000.0,0.0,-931000.0,-5361000.0,-16421000.0,
Net Income From Continuing Operation Net Minority Interest,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Reconciled Depreciation,15048000.0,15799000.0,16499000.0,15562000.0,13783000.0,,
Reconciled Cost Of Revenue,140091000.0,140794000.0,133691000.0,131778000.0,113548000.0,,
EBITDA,-3408000.0,-20412000.0,11939000.0,3682000.0,-8981000.0,,
EBIT,-18456000.0,-36211000.0,-4560000.0,-11880000.0,-22764000.0,,
Net Interest Income,-23355000.0,-23644000.0,-23134000.0,-22621000.0,-22545000.0,,
Interest Expense,23512000.0,23597000.0,23832000.0,23799000.0,23799000.0,,
Interest Income,841000.0,1448000.0,1383000.0,1866000.0,1935000.0,,
Normalized Income,-43277000.0,-63335340.0,-28482000.0,-86150510.0,-34820955.0,,
Net Income From Continuing And Discontinued Operation,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Total Expenses,155762000.0,155644000.0,149114000.0,146393000.0,130049000.0,,
Total Operating Income As Reported,-30661000.0,-39187000.0,-5116000.0,-14553000.0,-18210000.0,,
Diluted Average Shares,26089860.0,26043244.0,25933254.0,25918347.0,25836910.0,,
Basic Average Shares,26089860.0,26043244.0,25933254.0,25918347.0,25836910.0,,
Diluted EPS,-1.66,-2.5,-1.1,-3.4,-1.5,,
Basic EPS,-1.66,-2.5,-1.1,-3.4,-1.5,,
Diluted NI Availto Com Stockholders,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Net Income Common Stockholders,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Net Income,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Net Income Including Noncontrolling Interests,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Net Income Continuous Operations,-43277000.0,-65116000.0,-28482000.0,-86886000.0,-39351000.0,,
Tax Provision,1309000.0,5308000.0,90000.0,51207000.0,-7212000.0,,
Pretax Income,-41968000.0,-59808000.0,-28392000.0,-35679000.0,-46563000.0,,
Other Income Expense,12048000.0,3023000.0,-142000.0,1495000.0,-5808000.0,,
Other Non Operating Income Expenses,12048000.0,5277000.0,-142000.0,2426000.0,-447000.0,,
Special Income Charges,,0.0,0.0,-931000.0,0.0,-18370000.0,
Other Special Charges,,0.0,,931000.0,,,
Restructuring And Mergern Acquisition,,0.0,0.0,0.0,0.0,0.0,
Gain On Sale Of Security,,,,,-5361000.0,1949000.0,1876000.0
Net Non Operating Interest Income Expense,-23355000.0,-23644000.0,-23134000.0,-22621000.0,-22545000.0,,
Total Other Finance Cost,684000.0,1495000.0,685000.0,688000.0,681000.0,,
Interest Expense Non Operating,23512000.0,23597000.0,23832000.0,23799000.0,23799000.0,,
Interest Income Non Operating,841000.0,1448000.0,1383000.0,1866000.0,1935000.0,,
Operating Income,-30661000.0,-39187000.0,-5116000.0,-14553000.0,-18210000.0,,
Operating Expense,15671000.0,14850000.0,15423000.0,14615000.0,16501000.0,,
Research And Development,1443000.0,1609000.0,1639000.0,1348000.0,1879000.0,,
Selling General And Administration,14228000.0,13241000.0,13784000.0,13267000.0,14622000.0,,
Gross Profit,-14990000.0,-24337000.0,10307000.0,62000.0,-1709000.0,,
Cost Of Revenue,140091000.0,140794000.0,133691000.0,131778000.0,113548000.0,,
Total Revenue,125101000.0,116457000.0,143998000.0,131840000.0,111839000.0,,
Operating Revenue,125101000.0,116457000.0,143998000.0,131840000.0,111839000.0,,
