,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,33407.64,0.0
Tax Rate For Calcs,0.4,0.21,0.21,0.21,0.0
Normalized EBITDA,-324045.0,-216919.0,-200990.0,-344136.0,-50142.0
Total Unusual Items,,0.0,,159084.0,
Total Unusual Items Excluding Goodwill,,0.0,,159084.0,
Net Income From Continuing Operation Net Minority Interest,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
EBITDA,-324045.0,-216919.0,-200990.0,-185052.0,-50142.0
EBIT,-324045.0,-216919.0,-200990.0,-185052.0,-50142.0
Net Interest Income,1349375.0,1473437.0,1560125.0,834274.0,0.0
Interest Income,1349375.0,1473437.0,1560125.0,834274.0,0.0
Normalized Income,1025330.0,1256518.0,1359135.0,682629.64,-50142.0
Net Income From Continuing And Discontinued Operation,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Total Expenses,324045.0,216919.0,200990.0,185052.0,50142.0
Total Operating Income As Reported,-324045.0,-216919.0,-200990.0,-185052.0,-50142.0
Diluted NI Availto Com Stockholders,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Net Income Common Stockholders,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Net Income,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Net Income Including Noncontrolling Interests,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Net Income Continuous Operations,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Pretax Income,1025330.0,1256518.0,1359135.0,808306.0,-50142.0
Other Income Expense,,0.0,,159084.0,
Gain On Sale Of Security,,0.0,,159084.0,
Net Non Operating Interest Income Expense,1349375.0,1473437.0,1560125.0,834274.0,0.0
Interest Income Non Operating,1349375.0,1473437.0,1560125.0,834274.0,0.0
Operating Income,-324045.0,-216919.0,-200990.0,-185052.0,-50142.0
Operating Expense,324045.0,216919.0,200990.0,185052.0,50142.0
Selling General And Administration,324045.0,216919.0,200990.0,185052.0,50142.0
General And Administrative Expense,324045.0,216919.0,200990.0,185052.0,50142.0
Other Gand A,324045.0,216919.0,200990.0,185052.0,50142.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
