,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-3160000.0,1757000.0,-699310.344828,-4070000.0,-3715200.0,
Tax Rate For Calcs,0.4,0.251,0.089655,0.37,0.344,
Normalized EBITDA,52800000.0,88900000.0,68200000.0,121600000.0,85000000.0,
Total Unusual Items,-7900000.0,7000000.0,-7800000.0,-11000000.0,-10800000.0,
Total Unusual Items Excluding Goodwill,-7900000.0,7000000.0,-7800000.0,-11000000.0,-10800000.0,
Net Income From Continuing Operation Net Minority Interest,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Reconciled Depreciation,12800000.0,12900000.0,5300000.0,11800000.0,11700000.0,
Reconciled Cost Of Revenue,83800000.0,89200000.0,102800000.0,89200000.0,85900000.0,
EBITDA,44900000.0,95900000.0,60400000.0,110600000.0,74200000.0,
EBIT,32100000.0,83000000.0,55100000.0,98800000.0,62500000.0,
Net Interest Income,-22600000.0,-24100000.0,-26100000.0,-26600000.0,-26700000.0,
Interest Expense,22600000.0,24100000.0,26100000.0,26600000.0,26700000.0,
Normalized Income,640000.0,38857000.0,33500689.655172,52430000.0,30584800.0,
Net Income From Continuing And Discontinued Operation,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Total Expenses,178900000.0,184900000.0,199700000.0,190500000.0,185300000.0,
Total Operating Income As Reported,35000000.0,83300000.0,56500000.0,94000000.0,62900000.0,
Diluted Average Shares,59398000.0,59290000.0,58867000.0,58495000.0,58547000.0,
Basic Average Shares,59299000.0,58796000.0,58666667.0,58490000.0,58290000.0,
Diluted EPS,-0.07,0.74,0.45,0.78,0.4,
Basic EPS,-0.07,0.75,0.45,0.78,0.4,
Diluted NI Availto Com Stockholders,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Net Income Common Stockholders,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Net Income,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Net Income Including Noncontrolling Interests,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Net Income Continuous Operations,-4100000.0,44100000.0,26400000.0,45500000.0,23500000.0,
Tax Provision,13600000.0,14800000.0,2600000.0,26700000.0,12300000.0,
Pretax Income,9500000.0,58900000.0,29000000.0,72200000.0,35800000.0,
Other Income Expense,-10800000.0,6700000.0,-9200000.0,-6200000.0,-11200000.0,
Other Non Operating Income Expenses,-2900000.0,-300000.0,-1400000.0,4800000.0,-400000.0,
Special Income Charges,-7900000.0,7000000.0,-7800000.0,-11000000.0,-10800000.0,
Gain On Sale Of Ppe,0.0,10100000.0,,,0.0,0.0
Other Special Charges,100000.0,,100000.0,300000.0,1000000.0,14300000.0
Restructuring And Mergern Acquisition,7800000.0,3100000.0,7700000.0,10700000.0,9800000.0,
Net Non Operating Interest Income Expense,-22600000.0,-24100000.0,-26100000.0,-26600000.0,-26700000.0,
Interest Expense Non Operating,22600000.0,24100000.0,26100000.0,26600000.0,26700000.0,
Operating Income,42900000.0,76300000.0,64300000.0,105000000.0,73700000.0,
Operating Expense,84900000.0,85400000.0,94200000.0,92100000.0,90400000.0,
Other Operating Expenses,700000.0,600000.0,100000.0,700000.0,100000.0,
Depreciation Amortization Depletion Income Statement,2600000.0,2600000.0,2600000.0,2600000.0,2700000.0,
Depreciation And Amortization In Income Statement,2600000.0,2600000.0,2600000.0,2600000.0,2700000.0,
Amortization,2600000.0,2600000.0,2600000.0,2600000.0,2700000.0,
Amortization Of Intangibles Income Statement,2600000.0,2600000.0,2600000.0,2600000.0,2700000.0,
Research And Development,5400000.0,4600000.0,4600000.0,4400000.0,8000000.0,
Selling General And Administration,76200000.0,77600000.0,86900000.0,84400000.0,79600000.0,
Gross Profit,127800000.0,161700000.0,158500000.0,197100000.0,164100000.0,
Cost Of Revenue,94000000.0,99500000.0,105500000.0,98400000.0,94900000.0,
Total Revenue,221800000.0,261200000.0,264000000.0,295500000.0,259000000.0,
Operating Revenue,221800000.0,261200000.0,264000000.0,295500000.0,259000000.0,
