,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,-5170295.844457,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.047629,0.0,0.0,0.0,
Normalized EBITDA,-4304430.0,-2636100.0,-19744681.0,-3599894.0,-1842583.0,
Total Unusual Items,-78922178.0,-108552929.0,-14231599.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-78922178.0,-108552929.0,-14231599.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-85403548.0,-107655214.0,-34555301.0,-3899897.0,-2076375.0,
Reconciled Depreciation,118905.0,121450.0,217557.0,225539.0,144609.0,
Reconciled Cost Of Revenue,162624.0,-586866.0,291602.0,851476.0,504592.0,
EBITDA,-83226608.0,-111189029.0,-33976280.0,-3599894.0,-1842583.0,
EBIT,-83345513.0,-111310479.0,-34193837.0,-3825433.0,-1987192.0,
Net Interest Income,-2015496.0,-1677511.0,-277330.0,30057.0,-36412.0,
Interest Expense,2058035.0,1728708.0,361464.0,74464.0,89183.0,
Interest Income,42539.0,51197.0,84134.0,104521.0,52771.0,
Normalized Income,-6481370.0,-4272580.844457,-20323702.0,-3899897.0,-2076375.0,
Net Income From Continuing And Discontinued Operation,-85403548.0,-109136858.0,-34555301.0,-3899897.0,-2460430.0,
Total Expenses,5182988.0,3405117.0,20573876.0,4574742.0,2584748.0,
Total Operating Income As Reported,-83311322.0,-112620355.0,-34481797.0,-3871806.0,-2122416.0,
Diluted Average Shares,33022103.0,,36134736.0,64436.0,338235.0,
Basic Average Shares,33022103.0,,36134736.0,64436.0,338235.0,
Diluted EPS,-2.59,,-0.96,-60.56,-7.27,
Basic EPS,-2.59,,-0.96,-60.56,-7.27,
Diluted NI Availto Com Stockholders,-85403548.0,-109136858.0,-34555301.0,-3899897.0,-2460430.0,
Net Income Common Stockholders,-85403548.0,-109136858.0,-34555301.0,-3899897.0,-2460430.0,
Net Income,-85403548.0,-109136858.0,-34555301.0,-3899897.0,-2460430.0,
Net Income Including Noncontrolling Interests,-85403548.0,-109136858.0,-34555301.0,-3899897.0,-2460430.0,
Net Income Discontinuous Operations,0.0,,,,-384055.0,
Net Income Continuous Operations,-85403548.0,-107655214.0,-34555301.0,-3899897.0,-2076375.0,
Tax Provision,0.0,-5383973.0,0.0,0.0,0.0,
Pretax Income,-85403548.0,-113039187.0,-34555301.0,-3899897.0,-2076375.0,
Other Income Expense,-78430766.0,-107294250.0,-13902396.0,-58148.0,82453.0,
Other Non Operating Income Expenses,491412.0,1258679.0,329203.0,-58148.0,82453.0,
Special Income Charges,-568142.0,0.0,-125377.0,0.0,0.0,
Other Special Charges,568142.0,0.0,125377.0,,,0.0
Gain On Sale Of Security,-78354036.0,-108552929.0,-14106222.0,-63242.0,28432.0,
Net Non Operating Interest Income Expense,-2015496.0,-1677511.0,-277330.0,30057.0,-36412.0,
Interest Expense Non Operating,2058035.0,1728708.0,361464.0,74464.0,89183.0,
Interest Income Non Operating,42539.0,51197.0,84134.0,104521.0,52771.0,
Operating Income,-4957286.0,-4067426.0,-20375575.0,-3871806.0,-2122416.0,
Operating Expense,5020364.0,3991983.0,20282274.0,3723266.0,2080156.0,
Research And Development,124946.0,-392747.0,181671.0,221159.0,234652.0,
Selling General And Administration,4895418.0,4384730.0,20100603.0,3502107.0,1845504.0,
Selling And Marketing Expense,323636.0,-375566.0,699843.0,622772.0,296224.0,
General And Administrative Expense,4571782.0,4760296.0,19400760.0,2879335.0,1549280.0,
Other Gand A,4571782.0,4760296.0,19400760.0,2879335.0,1549280.0,
Gross Profit,63078.0,-75443.0,-93301.0,-148540.0,-42260.0,
Cost Of Revenue,162624.0,-586866.0,291602.0,851476.0,504592.0,
Total Revenue,225702.0,-662309.0,198301.0,702936.0,462332.0,
Operating Revenue,225702.0,-662309.0,198301.0,702936.0,462332.0,
