,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-1040338.0,-1073729.0,-3625017.0,-2045762.0,-1051045.0,
Total Unusual Items,,149363.0,3033554.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,149363.0,3033554.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Reconciled Depreciation,304443.0,311406.0,313694.0,346151.0,360595.0,
Reconciled Cost Of Revenue,3194928.0,2763058.0,4908271.0,3552293.0,3699264.0,
EBITDA,-1040338.0,-924366.0,-591463.0,-2045762.0,-1051045.0,
EBIT,-1344781.0,-1235772.0,-905157.0,-2391913.0,-1411640.0,
Net Interest Income,-126386.0,-147617.0,-251426.0,-318988.0,-325242.0,
Interest Expense,126386.0,147617.0,251426.0,318988.0,325242.0,
Normalized Income,-1471167.0,-1532752.0,-4190137.0,-2710901.0,-1736882.0,
Net Income From Continuing And Discontinued Operation,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Total Expenses,5066600.0,3932445.0,6409658.0,5458490.0,5643362.0,
Total Operating Income As Reported,-1239808.0,-1320358.0,-3913683.0,-2371813.0,-1407142.0,
Diluted Average Shares,425201.0,,145674.0,79961.0,65318.0,
Basic Average Shares,425201.0,,145674.0,79961.0,65318.0,
Diluted EPS,-3.6,,-8.0,-34.0,-26.4,
Basic EPS,-3.6,,-8.0,-34.0,-26.4,
Diluted NI Availto Com Stockholders,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Net Income Common Stockholders,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Net Income,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Net Income Including Noncontrolling Interests,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Net Income Discontinuous Operations,,,,,,0.0
Net Income Continuous Operations,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Pretax Income,-1471167.0,-1383389.0,-1156583.0,-2710901.0,-1736882.0,
Other Income Expense,-104973.0,84586.0,3008526.0,-20100.0,-4498.0,
Other Non Operating Income Expenses,-78943.0,-64777.0,-25028.0,-20100.0,-4498.0,
Special Income Charges,,149363.0,3033554.0,0.0,0.0,0.0
Gain On Sale Of Business,,149363.0,3033554.0,,,
Write Off,,0.0,0.0,0.0,0.0,0.0
Impairment Of Capital Assets,,,,,,0.0
Restructuring And Mergern Acquisition,,0.0,0.0,0.0,0.0,0.0
Earnings From Equity Interest,-26030.0,,,,0.0,
Gain On Sale Of Security,,,-8558.0,,,0.0
Net Non Operating Interest Income Expense,-126386.0,-147617.0,-251426.0,-318988.0,-325242.0,
Interest Expense Non Operating,126386.0,147617.0,251426.0,318988.0,325242.0,
Operating Income,-1239808.0,-1320358.0,-3913683.0,-2371813.0,-1407142.0,
Operating Expense,1871672.0,1169387.0,1501387.0,1906197.0,1944098.0,
Depreciation Amortization Depletion Income Statement,304443.0,311406.0,313694.0,346151.0,360595.0,
Depreciation And Amortization In Income Statement,304443.0,311406.0,313694.0,346151.0,360595.0,
Selling General And Administration,1567229.0,857981.0,1187693.0,1560046.0,1583503.0,
Selling And Marketing Expense,210648.0,77000.0,66917.0,67207.0,67275.0,
General And Administrative Expense,1356581.0,780981.0,1120776.0,1492839.0,1516228.0,
Other Gand A,1356581.0,780981.0,1120776.0,1492839.0,1516228.0,
Gross Profit,631864.0,-150971.0,-2412296.0,-465616.0,536956.0,
Cost Of Revenue,3194928.0,2763058.0,4908271.0,3552293.0,3699264.0,
Total Revenue,3826792.0,2612087.0,2495975.0,3086677.0,4236220.0,
Operating Revenue,3826792.0,2612087.0,2495975.0,3086677.0,4236220.0,
