,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-2778800.0,18562950.0,-32111100.0,0.0,7147770.0,
Tax Rate For Calcs,0.4,0.21,0.21,0.0,0.21,
Normalized EBITDA,-23782000.0,-115899000.0,-46891000.0,-27518000.0,-23923000.0,
Total Unusual Items,-6947000.0,88395000.0,-152910000.0,-75822000.0,34037000.0,
Total Unusual Items Excluding Goodwill,-6947000.0,88395000.0,-152910000.0,-75822000.0,34037000.0,
Net Income From Continuing Operation Net Minority Interest,-38856000.0,-33555000.0,-222187000.0,-124676000.0,-10278000.0,
Reconciled Depreciation,9091000.0,9098000.0,20137000.0,20524000.0,18080000.0,
Reconciled Cost Of Revenue,11890000.0,15753000.0,34256000.0,26912000.0,21381000.0,
EBITDA,-30729000.0,-27504000.0,-199801000.0,-103340000.0,10114000.0,
EBIT,-39820000.0,-36602000.0,-219938000.0,-123864000.0,-7966000.0,
Net Interest Income,-2478000.0,-3291000.0,-2244000.0,-812000.0,-2302000.0,
Interest Expense,2478000.0,3291000.0,2244000.0,812000.0,2302000.0,
Normalized Income,-34687800.0,-103387050.0,-101388100.0,-48854000.0,-37167230.0,
Net Income From Continuing And Discontinued Operation,-38856000.0,-33555000.0,-222187000.0,-124676000.0,-10278000.0,
Total Expenses,33691000.0,23993000.0,66966000.0,47886000.0,44103000.0,
Total Operating Income As Reported,-35905000.0,-32304000.0,-206807000.0,-48108000.0,-43831000.0,
Diluted NI Availto Com Stockholders,-38856000.0,-33555000.0,-222187000.0,-124676000.0,-10278000.0,
Net Income Common Stockholders,-38856000.0,-33555000.0,-222187000.0,-124676000.0,-10278000.0,
Otherunder Preferred Stock Dividend,,,0.0,,,
Net Income,-38856000.0,-33555000.0,-222187000.0,-124676000.0,-10278000.0,
Minority Interests,3461000.0,,,,0.0,
Net Income Including Noncontrolling Interests,-42317000.0,-39941000.0,-222187000.0,-124676000.0,-10278000.0,
Net Income Continuous Operations,-42317000.0,-39941000.0,-222187000.0,-124676000.0,-10278000.0,
Tax Provision,19000.0,48000.0,5000.0,0.0,10000.0,
Pretax Income,-42298000.0,-39893000.0,-222182000.0,-124676000.0,-10268000.0,
Other Income Expense,-6641000.0,-12738000.0,-153009000.0,-76032000.0,35821000.0,
Other Non Operating Income Expenses,306000.0,-101133000.0,-99000.0,-210000.0,1784000.0,
Special Income Charges,-11157000.0,74367000.0,-186395000.0,-24594000.0,-17144000.0,
Gain On Sale Of Ppe,-328000.0,-744000.0,-1395000.0,-276000.0,-44000.0,
Other Special Charges,8431000.0,-82807000.0,46517000.0,24318000.0,17100000.0,
Write Off,143000.0,,,,0.0,
Impairment Of Capital Assets,2255000.0,3402000.0,138483000.0,0.0,0.0,
Restructuring And Mergern Acquisition,,,,,,0.0
Gain On Sale Of Security,4210000.0,14028000.0,33485000.0,-51228000.0,51181000.0,
Net Non Operating Interest Income Expense,-2478000.0,-3291000.0,-2244000.0,-812000.0,-2302000.0,
Interest Expense Non Operating,2478000.0,3291000.0,2244000.0,812000.0,2302000.0,
Operating Income,-33179000.0,-23864000.0,-66929000.0,-47832000.0,-43787000.0,
Operating Expense,21801000.0,8240000.0,32710000.0,20974000.0,22722000.0,
Research And Development,6990000.0,-1460000.0,6640000.0,5004000.0,6419000.0,
Selling General And Administration,14811000.0,9700000.0,26070000.0,15970000.0,16303000.0,
Selling And Marketing Expense,5616000.0,1428000.0,6380000.0,1873000.0,2629000.0,
General And Administrative Expense,9195000.0,8272000.0,19690000.0,14097000.0,13674000.0,
Other Gand A,9195000.0,8272000.0,19690000.0,14097000.0,13674000.0,
Gross Profit,-11378000.0,-15624000.0,-34219000.0,-26858000.0,-21065000.0,
Cost Of Revenue,11890000.0,15753000.0,34256000.0,26912000.0,21381000.0,
Total Revenue,512000.0,129000.0,37000.0,54000.0,316000.0,
Operating Revenue,512000.0,129000.0,37000.0,54000.0,316000.0,
