,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-327200.0,-2729100.618325,1043490.0,56669.695062,-3188850.0,,
Tax Rate For Calcs,0.4,0.293704,0.21,0.100657,0.21,,
Normalized EBITDA,60521000.0,47585000.0,70144000.0,49298000.0,30717000.0,,
Total Unusual Items,-818000.0,-9292000.0,4969000.0,563000.0,-15185000.0,,
Total Unusual Items Excluding Goodwill,-818000.0,-9292000.0,4969000.0,563000.0,-15185000.0,,
Net Income From Continuing Operation Net Minority Interest,44945000.0,15160000.0,89576000.0,29942000.0,-820000.0,,
Reconciled Depreciation,4712000.0,3873000.0,4304000.0,4134000.0,3943000.0,,
Reconciled Cost Of Revenue,8071000.0,7706000.0,8750000.0,6558000.0,6501000.0,,
EBITDA,59703000.0,38293000.0,75113000.0,49861000.0,15532000.0,,
EBIT,54991000.0,34420000.0,70809000.0,45727000.0,11589000.0,,
Net Interest Income,2487000.0,11236000.0,5414000.0,3656000.0,252000.0,,
Interest Expense,16889000.0,13072000.0,12450000.0,12376000.0,10972000.0,,
Interest Income,19376000.0,24308000.0,17864000.0,16032000.0,11224000.0,,
Normalized Income,45435800.0,21722899.381675,85650490.0,29435669.695062,11176150.0,,
Net Income From Continuing And Discontinued Operation,44945000.0,15160000.0,89576000.0,29942000.0,-820000.0,,
Total Expenses,105631000.0,123055000.0,86719000.0,68702000.0,53250000.0,,
Total Operating Income As Reported,41941000.0,29012000.0,52718000.0,27724000.0,8072000.0,,
Diluted Average Shares,248829672.0,247808987.0,129922329.0,208516488.0,208516488.0,,
Basic Average Shares,217277605.0,215052478.0,103571820.0,208516488.0,208516488.0,,
Diluted EPS,0.18,0.06,0.34,0.143595,-0.003933,,
Basic EPS,0.21,0.07,0.42,0.143595,-0.003933,,
Diluted NI Availto Com Stockholders,44945000.0,94859000.0,43784000.0,29942000.0,-820000.0,,
Net Income Common Stockholders,44945000.0,94859000.0,43784000.0,29942000.0,-820000.0,,
Otherunder Preferred Stock Dividend,0.0,,45792000.0,,0.0,,20969000.0
Net Income,44945000.0,15160000.0,89576000.0,29942000.0,-820000.0,,
Minority Interests,-102000.0,82000.0,-246000.0,-52000.0,-207000.0,,
Net Income Including Noncontrolling Interests,45047000.0,15078000.0,89822000.0,29994000.0,-613000.0,,
Net Income Continuous Operations,45047000.0,15078000.0,89822000.0,29994000.0,-613000.0,,
Tax Provision,-6945000.0,6270000.0,-31463000.0,3357000.0,1230000.0,,
Pretax Income,38102000.0,21348000.0,58359000.0,33351000.0,617000.0,,
Other Income Expense,-471000.0,-9537000.0,4738000.0,1812000.0,-14084000.0,,
Other Non Operating Income Expenses,347000.0,-245000.0,-231000.0,1249000.0,1101000.0,,
Special Income Charges,,0.0,0.0,0.0,0.0,-8000.0,
Write Off,,0.0,0.0,0.0,0.0,8000.0,
Impairment Of Capital Assets,,0.0,0.0,0.0,0.0,0.0,
Gain On Sale Of Security,-818000.0,-9292000.0,4969000.0,563000.0,-15185000.0,,
Net Non Operating Interest Income Expense,2487000.0,11236000.0,5414000.0,3656000.0,252000.0,,
Interest Expense Non Operating,16889000.0,13072000.0,12450000.0,12376000.0,10972000.0,,
Interest Income Non Operating,19376000.0,24308000.0,17864000.0,16032000.0,11224000.0,,
Operating Income,36086000.0,19649000.0,48207000.0,27883000.0,14449000.0,,
Operating Expense,97560000.0,115349000.0,77969000.0,62144000.0,46749000.0,,
Other Operating Expenses,24828000.0,32042000.0,17049000.0,23716000.0,6682000.0,,
Research And Development,15605000.0,15573000.0,15915000.0,16018000.0,17416000.0,,
Selling General And Administration,57127000.0,67734000.0,45005000.0,22410000.0,22651000.0,,
Selling And Marketing Expense,25483000.0,22017000.0,22144000.0,16966000.0,14967000.0,,
General And Administrative Expense,31644000.0,45717000.0,22861000.0,5444000.0,7684000.0,,
Other Gand A,8170000.0,6974000.0,6011000.0,3649000.0,5961000.0,,
Salaries And Wages,23474000.0,38743000.0,16850000.0,1795000.0,1723000.0,,
Gross Profit,133646000.0,134998000.0,126176000.0,90027000.0,61198000.0,,
Cost Of Revenue,8071000.0,7706000.0,8750000.0,6558000.0,6501000.0,,
Total Revenue,141717000.0,142704000.0,134926000.0,96585000.0,67699000.0,,
Operating Revenue,134639000.0,136456000.0,130411000.0,94203000.0,64919000.0,,
