,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-145424.077247,-232351.96625,-280524.0,0.0,0.0,
Tax Rate For Calcs,0.020558,0.136357,0.291,0.159,0.143793,
Normalized EBITDA,39968000.0,46143000.0,29704000.0,21866000.0,12099000.0,
Total Unusual Items,-7074000.0,-1704000.0,-964000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-7074000.0,-1704000.0,-964000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Reconciled Depreciation,9172000.0,9428000.0,9771000.0,9560000.0,8830000.0,
Reconciled Cost Of Revenue,139350000.0,124399000.0,122050000.0,122860000.0,106833000.0,
EBITDA,32894000.0,44439000.0,28740000.0,21866000.0,12099000.0,
EBIT,23722000.0,35011000.0,18969000.0,12306000.0,3269000.0,
Net Interest Income,2174000.0,2184000.0,1976000.0,2642000.0,3317000.0,
Interest Income,2174000.0,2705000.0,1976000.0,2642000.0,3317000.0,
Normalized Income,27312575.922753,24689648.03375,16339476.0,9086000.0,6401000.0,
Net Income From Continuing And Discontinued Operation,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Total Expenses,202422000.0,189969000.0,183707000.0,183492000.0,168087000.0,
Total Operating Income As Reported,16648000.0,23490000.0,18005000.0,12306000.0,3269000.0,
Diluted Average Shares,79415000.0,78864000.0,77734000.0,77527000.0,77884000.0,
Basic Average Shares,77825000.0,77581000.0,77387000.0,77107000.0,77345000.0,
Diluted EPS,0.26,0.29,0.2,0.12,0.08,
Basic EPS,0.26,0.3,0.2,0.12,0.08,
Diluted NI Availto Com Stockholders,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Net Income Common Stockholders,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Net Income,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Net Income Including Noncontrolling Interests,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Net Income Continuous Operations,20384000.0,23218000.0,15656000.0,9086000.0,6401000.0,
Earnings From Equity Interest Net Of Tax,1517000.0,290000.0,1168000.0,-3484000.0,0.0,
Tax Provision,396000.0,3620000.0,5937000.0,2372000.0,1075000.0,
Pretax Income,19263000.0,26548000.0,20425000.0,14942000.0,7476000.0,
Other Income Expense,-6633000.0,-830000.0,-520000.0,-6000.0,890000.0,
Other Non Operating Income Expenses,441000.0,874000.0,444000.0,-6000.0,890000.0,
Special Income Charges,-7074000.0,-1704000.0,-964000.0,0.0,0.0,
Gain On Sale Of Business,,0.0,0.0,0.0,0.0,0.0
Other Special Charges,7074000.0,1704000.0,964000.0,,,
Net Non Operating Interest Income Expense,2174000.0,2184000.0,1976000.0,2642000.0,3317000.0,
Interest Income Non Operating,2174000.0,2705000.0,1976000.0,2642000.0,3317000.0,
Operating Income,23722000.0,25194000.0,18969000.0,12306000.0,3269000.0,
Operating Expense,63072000.0,65570000.0,61657000.0,60632000.0,61254000.0,
Research And Development,30780000.0,30403000.0,28686000.0,28793000.0,27800000.0,
Selling General And Administration,32292000.0,35167000.0,32971000.0,31839000.0,33454000.0,
Gross Profit,86794000.0,90764000.0,80626000.0,72938000.0,64523000.0,
Cost Of Revenue,139350000.0,124399000.0,122050000.0,122860000.0,106833000.0,
Total Revenue,226144000.0,215163000.0,202676000.0,195798000.0,171356000.0,
Operating Revenue,226144000.0,215163000.0,202676000.0,195798000.0,171356000.0,
