,2026-03-31,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,858400.0,0.0,-22613.402062
Tax Rate For Calcs,0.4,0.0,0.012432
Normalized EBITDA,-2882000.0,-1246000.0,-1331000.0
Total Unusual Items,2146000.0,1125000.0,-1819000.0
Total Unusual Items Excluding Goodwill,2146000.0,1125000.0,-1819000.0
Net Income From Continuing Operation Net Minority Interest,-872000.0,-253000.0,-3257000.0
Reconciled Depreciation,78000.0,66000.0,75000.0
Reconciled Cost Of Revenue,931000.0,864000.0,947000.0
EBITDA,-736000.0,-121000.0,-3150000.0
EBIT,-814000.0,-187000.0,-3225000.0
Net Interest Income,-54000.0,-66000.0,-73000.0
Interest Expense,54000.0,66000.0,73000.0
Normalized Income,-2159600.0,-1378000.0,-1460613.402062
Net Income From Continuing And Discontinued Operation,-872000.0,-253000.0,-3257000.0
Total Expenses,4914000.0,3270000.0,3518000.0
Total Operating Income As Reported,-3035000.0,-1316000.0,-1348000.0
Diluted NI Availto Com Stockholders,-956000.0,-253000.0,-3257000.0
Net Income Common Stockholders,-956000.0,-253000.0,-3257000.0
Otherunder Preferred Stock Dividend,84000.0,,
Net Income,-872000.0,-253000.0,-3257000.0
Net Income Including Noncontrolling Interests,-872000.0,-253000.0,-3257000.0
Net Income Continuous Operations,-872000.0,-253000.0,-3257000.0
Earnings From Equity Interest Net Of Tax,,,0.0
Tax Provision,4000.0,0.0,-41000.0
Pretax Income,-868000.0,-253000.0,-3298000.0
Other Income Expense,2221000.0,1129000.0,-1877000.0
Other Non Operating Income Expenses,75000.0,4000.0,-58000.0
Special Income Charges,498000.0,-391000.0,-52000.0
Other Special Charges,-498000.0,391000.0,52000.0
Gain On Sale Of Security,1648000.0,1516000.0,-1767000.0
Net Non Operating Interest Income Expense,-54000.0,-66000.0,-73000.0
Interest Expense Non Operating,54000.0,66000.0,73000.0
Operating Income,-3035000.0,-1316000.0,-1348000.0
Operating Expense,3983000.0,2406000.0,2571000.0
Research And Development,298000.0,165000.0,136000.0
Selling General And Administration,3685000.0,2241000.0,2435000.0
Selling And Marketing Expense,412000.0,308000.0,388000.0
General And Administrative Expense,3273000.0,1933000.0,2047000.0
Other Gand A,3273000.0,1933000.0,2047000.0
Gross Profit,948000.0,1090000.0,1223000.0
Cost Of Revenue,931000.0,864000.0,947000.0
Total Revenue,1879000.0,1954000.0,2170000.0
Operating Revenue,1879000.0,1954000.0,2170000.0
