,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.005816,0.001864,0.010986,0.033314,0.21,
Normalized EBITDA,143362000.0,162046000.0,143757000.0,125637000.0,105776000.0,
Net Income From Continuing Operation Net Minority Interest,6800000.0,19871000.0,9207000.0,-406000.0,-45330000.0,
Reconciled Depreciation,58909000.0,62927000.0,57069000.0,55905000.0,75033000.0,
Reconciled Cost Of Revenue,352418000.0,335179000.0,320122000.0,294889000.0,335696000.0,
EBITDA,143362000.0,162046000.0,143757000.0,125637000.0,105776000.0,
EBIT,84453000.0,99119000.0,86688000.0,69732000.0,30743000.0,
Net Interest Income,-67978000.0,-67530000.0,-66407000.0,-60754000.0,-70038000.0,
Interest Expense,65196000.0,64776000.0,63659000.0,59376000.0,67160000.0,
Normalized Income,6800000.0,19871000.0,9207000.0,-406000.0,-45330000.0,
Net Income From Continuing And Discontinued Operation,6800000.0,19871000.0,9207000.0,-406000.0,-469075000.0,
Total Expenses,369942000.0,350844000.0,335410000.0,309633000.0,376338000.0,
Total Operating Income As Reported,76613000.0,89911000.0,78591000.0,67715000.0,21973000.0,
Diluted Average Shares,122464318.0,122464318.0,122464000.0,122464318.0,122464318.0,
Basic Average Shares,122464318.0,122464318.0,122464000.0,122464318.0,122464318.0,
Diluted EPS,-0.06,0.04,-0.05,-0.12,-4.06,
Basic EPS,-0.06,0.04,-0.05,-0.12,-4.06,
Diluted NI Availto Com Stockholders,-6783000.0,5003000.0,-5661000.0,-15274000.0,-497477000.0,
Net Income Common Stockholders,-6783000.0,5003000.0,-5661000.0,-15274000.0,-497477000.0,
Preferred Stock Dividends,13583000.0,14868000.0,14868000.0,14868000.0,28402000.0,
Net Income,6800000.0,19871000.0,9207000.0,-406000.0,-469075000.0,
Minority Interests,-12345000.0,-14408000.0,-13569000.0,-10417000.0,-8769000.0,
Net Income Including Noncontrolling Interests,19145000.0,34279000.0,22776000.0,10011000.0,-460306000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,-423745000.0,
Net Income Continuous Operations,19145000.0,34279000.0,22776000.0,10011000.0,-36561000.0,
Tax Provision,112000.0,64000.0,253000.0,345000.0,144000.0,
Pretax Income,19257000.0,34343000.0,23029000.0,10356000.0,-36417000.0,
Other Income Expense,10622000.0,11962000.0,10845000.0,3395000.0,11648000.0,
Other Non Operating Income Expenses,-3540000.0,0.0,,-8935000.0,-844000.0,-13938000.0
Earnings From Equity Interest,14162000.0,11962000.0,10845000.0,12330000.0,12492000.0,
Net Non Operating Interest Income Expense,-67978000.0,-67530000.0,-66407000.0,-60754000.0,-70038000.0,
Total Other Finance Cost,2782000.0,2754000.0,2748000.0,1378000.0,2878000.0,
Interest Expense Non Operating,65196000.0,64776000.0,63659000.0,59376000.0,67160000.0,
Operating Income,76613000.0,89911000.0,78591000.0,67715000.0,21973000.0,
Operating Expense,17524000.0,15665000.0,15288000.0,14744000.0,40642000.0,
Selling General And Administration,17524000.0,15665000.0,15288000.0,14744000.0,40642000.0,
General And Administrative Expense,17524000.0,15665000.0,15288000.0,14744000.0,40642000.0,
Other Gand A,18073000.0,11995000.0,12457000.0,12605000.0,36307000.0,
Salaries And Wages,-549000.0,3670000.0,2831000.0,2139000.0,4335000.0,
Gross Profit,94137000.0,105576000.0,93879000.0,82459000.0,62615000.0,
Cost Of Revenue,352418000.0,335179000.0,320122000.0,294889000.0,335696000.0,
Total Revenue,446555000.0,440755000.0,414001000.0,377348000.0,398311000.0,
Operating Revenue,446555000.0,440755000.0,414001000.0,377348000.0,398311000.0,
