,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30
Tax Effect Of Unusual Items,-32103000.0,-23312000.0,-5471223.021583,-13860000.0,-27470355.731225
Tax Rate For Calcs,0.087,0.188,0.046763,0.21,0.197628
Normalized EBITDA,1247000000.0,1130000000.0,1284000000.0,1139000000.0,996000000.0
Total Unusual Items,-369000000.0,-124000000.0,-117000000.0,-66000000.0,-139000000.0
Total Unusual Items Excluding Goodwill,-369000000.0,-124000000.0,-117000000.0,-66000000.0,-139000000.0
Net Income From Continuing Operation Net Minority Interest,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Reconciled Depreciation,264000000.0,214000000.0,208000000.0,306000000.0,205000000.0
Reconciled Cost Of Revenue,11217000000.0,11445000000.0,11527000000.0,10934000000.0,10341000000.0
EBITDA,878000000.0,1006000000.0,1167000000.0,1073000000.0,857000000.0
EBIT,614000000.0,792000000.0,959000000.0,767000000.0,652000000.0
Net Interest Income,-121000000.0,-121000000.0,-125000000.0,-143000000.0,-146000000.0
Interest Expense,121000000.0,121000000.0,125000000.0,143000000.0,146000000.0
Normalized Income,786897000.0,645688000.0,906528776.978417,815140000.0,517529644.268775
Net Income From Continuing And Discontinued Operation,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Total Expenses,13427000000.0,13555000000.0,13563000000.0,13098000000.0,12427000000.0
Total Operating Income As Reported,612000000.0,759000000.0,959000000.0,716000000.0,654000000.0
Diluted Average Shares,925000000.0,932000000.0,948000000.0,954000000.0,956000000.0
Basic Average Shares,922000000.0,926000000.0,938000000.0,947000000.0,950000000.0
Diluted EPS,0.49,0.58,0.84,0.8,0.42
Basic EPS,0.49,0.59,0.85,0.81,0.43
Diluted NI Availto Com Stockholders,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Net Income Common Stockholders,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Net Income,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Net Income Including Noncontrolling Interests,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Net Income Continuous Operations,450000000.0,545000000.0,795000000.0,763000000.0,406000000.0
Tax Provision,43000000.0,126000000.0,39000000.0,-139000000.0,100000000.0
Pretax Income,493000000.0,671000000.0,834000000.0,624000000.0,506000000.0
Other Income Expense,-367000000.0,-91000000.0,-117000000.0,-67000000.0,-141000000.0
Other Non Operating Income Expenses,2000000.0,33000000.0,0.0,-1000000.0,-2000000.0
Special Income Charges,-369000000.0,-124000000.0,-117000000.0,-66000000.0,-139000000.0
Other Special Charges,,,0.0,-52000000.0,
Restructuring And Mergern Acquisition,369000000.0,124000000.0,117000000.0,118000000.0,139000000.0
Net Non Operating Interest Income Expense,-121000000.0,-121000000.0,-125000000.0,-143000000.0,-146000000.0
Interest Expense Non Operating,121000000.0,121000000.0,125000000.0,143000000.0,146000000.0
Operating Income,981000000.0,883000000.0,1076000000.0,834000000.0,793000000.0
Operating Expense,2035000000.0,1952000000.0,1886000000.0,2017000000.0,1946000000.0
Depreciation Amortization Depletion Income Statement,89000000.0,56000000.0,58000000.0,159000000.0,65000000.0
Depreciation And Amortization In Income Statement,89000000.0,56000000.0,58000000.0,159000000.0,65000000.0
Amortization,89000000.0,56000000.0,58000000.0,159000000.0,65000000.0
Amortization Of Intangibles Income Statement,89000000.0,56000000.0,58000000.0,159000000.0,65000000.0
Research And Development,432000000.0,392000000.0,398000000.0,406000000.0,401000000.0
Selling General And Administration,1514000000.0,1504000000.0,1430000000.0,1452000000.0,1480000000.0
Gross Profit,3016000000.0,2835000000.0,2962000000.0,2851000000.0,2739000000.0
Cost Of Revenue,11392000000.0,11603000000.0,11677000000.0,11081000000.0,10481000000.0
Total Revenue,14408000000.0,14438000000.0,14639000000.0,13932000000.0,13220000000.0
Operating Revenue,14408000000.0,14438000000.0,14639000000.0,13932000000.0,13220000000.0
